date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,DAH SING SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,OCBC BANK (HONG KONG) LTD,CMB WING LUNG BANK LTD,UBS SECURITIES HONG KONG LTD
2024-03-01,48.411642064839846,18.477759240490474,0.0,7.954324702551801,8.380291603085206,6.775739253109305,2.7316806343650013,0.0,3.0578756490079244,4.210686852550446
2024-03-04,45.96820585234299,17.614038128922882,4.844671059806198,7.577703867506948,7.985690860670895,6.465865728264135,2.61525479755121,0.0,2.9128726823994753,4.015697022535264
2024-03-05,45.87108553238456,17.668121746411707,4.851620096543228,7.587206249848035,8.001183579742058,6.466741958216335,2.6161236683043194,0.0,2.9132381678212766,4.024679000728484
2024-03-06,45.83240219537234,17.624853380324467,4.819228338908374,7.545565256419931,8.048283416584082,6.418883853351237,2.7771074508921587,0.0,2.9160903628351376,4.017585745312273
2024-03-07,45.8420639774772,17.54963248864967,4.792622270178095,7.54657536747851,8.0510102128668,6.418439418185627,2.8673359821158573,0.0,2.9158884565328975,4.016431826515341
2024-03-08,45.890936808457084,17.600200708894263,4.700728111202829,7.567133382583277,8.055768609726737,6.378813113177655,2.907810605648208,0.0,2.919596701565754,3.979011958744192
2024-03-11,46.04446171928326,17.499791531826876,4.708591089192015,7.5674377070654835,8.023209009025747,6.330401954314792,2.9131889201748717,0.0,2.9173026555872035,3.9956154135297446
2024-03-12,46.038089588784146,17.42885479891632,4.7042816272182435,7.550817516064918,8.019051470869588,6.318230863923932,2.917872409318769,0.0,2.9130051477611736,4.109796577142911
2024-03-13,46.02485710283503,17.42566797625487,4.700347329151333,7.548014857723079,8.035768785483862,6.326826690864036,2.9178834726052947,0.0,2.911923919382945,4.108709865699548
2024-03-14,45.98536068047843,17.425972187014864,4.704223368865062,7.552129676834792,8.051096451969102,6.331370470913416,2.933924134230174,0.0,2.9073810715866903,4.108541958107467
2024-03-15,45.98923797815728,17.423520628020214,4.716760160711578,7.547929812398552,8.048952523984626,6.321585905373752,2.9381771137603074,0.0,2.9066068645357506,4.1072290130579425
2024-03-18,45.986318978817216,17.427010935233866,4.702672176410889,7.547231868302975,8.067264186385872,6.320965798990054,2.9358019561905047,0.0,2.905984644757627,4.106749454910996
2024-03-19,45.98176597899472,17.39653583331239,4.713452077534953,7.546544435907047,8.097080402420554,6.322578527994866,2.931595308845677,0.0,2.905719955925784,4.104727479064006
2024-03-20,46.02712178263758,17.379494223113472,4.729622857725346,7.5365919966961,8.086401912261824,6.314240264172167,2.9253249588826464,0.0,2.901887870728247,4.099314133782618
2024-03-21,46.02693229285091,17.3699302132302,4.735540325338106,7.532539304411949,8.097125973925918,6.310844873681331,2.9248441114544588,0.0,2.9051331176348225,4.0971097874723
2024-03-22,46.11653798916761,17.341831452390405,4.735571607377369,7.5169510263669705,8.093448624097004,6.297784841650427,2.915572120849553,0.0,2.893671349605286,4.088630988495373
2024-03-25,46.115423542492124,17.342174389103,4.726212506040409,7.5166272510271925,8.066672216054469,6.292064098426339,2.9592603637882555,0.0,2.8931107529288576,4.088454880139354
2024-03-26,46.094577397461876,17.339740358305047,4.725192812105806,7.515005517089766,8.075828418167754,6.290706567509333,2.9788895891474128,0.0,2.8924865559670994,4.087572784245899
2024-03-27,46.08918647214946,17.334303794531575,4.724423852307547,7.513782553846545,8.074514188751486,6.289682841992637,2.994529174163381,0.0,2.8963737783967036,4.083203343860669
2024-03-28,44.503807148787686,16.738670186957222,4.560822852487398,7.258332635475287,7.77812448581188,6.094600514493214,2.859650261602083,3.4536193373027784,2.7968498757952953,3.955522701287159
2024-04-02,44.5019046069696,16.735818225755665,4.569933331971514,7.259199685348397,7.7767971328769585,6.103239292893059,2.8640016229061858,3.4530309041569596,2.7963733440730465,3.939701853048605
2024-04-03,44.52652514741517,16.748512937257097,4.663547720241519,7.256515818082939,7.7444336067296975,6.063224520891679,2.8357704220350466,3.457084213459595,2.7674308966855308,3.9369547172017274
