date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BOCI SECURITIES LTD,KINGSWAY FINANCIAL SERVICES GROUP LTD,INTERACTIVE BROKERS HONG KONG LTD,DAIWA CAPITAL MARKETS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD
2024-03-01,31.616717430032757,16.284265272110797,14.892822251594737,14.502040112637204,9.341417159933336,0.0,4.465260617205908,4.315843917016263,4.581633239468996,0.0
2024-03-04,29.938510930634344,16.590213443251848,14.074467072059205,13.697642465548437,8.906392414534274,0.0,4.256621638166755,4.104259342393449,4.338244296616741,4.09364839679495
2024-03-05,27.374965769623344,14.729393313251512,12.863153177823694,12.520849411237522,8.153053349597949,8.89491896736289,3.907241902959994,3.7541387637232693,4.006821180512335,3.7954641639074906
2024-03-06,27.3665546845838,14.72601717058604,12.85678735846709,12.535772054249097,8.143585915142467,8.89137737961926,3.9056862013189004,3.775040437974368,4.005225830533781,3.793952967525196
2024-03-07,27.381901038424182,14.705157257763279,12.825908309883708,12.538287222651096,8.17043105809697,8.897577010234828,3.9333117513758493,3.73658390816047,4.0080185272804245,3.802823916129193
2024-03-08,27.37072186519205,14.70918646938674,12.83066806157525,12.5691227021372,8.147760673541574,8.875105863597868,3.9343894784038262,3.750062272704628,4.009116723957555,3.803865889503313
2024-03-11,27.361277295842058,14.716447302821816,12.82156745438229,12.57852228537242,8.121447801376009,8.881742945458171,3.937331737959916,3.7528666866088343,4.01211486688603,3.816681623292452
2024-03-12,27.357185583968896,14.714246548028513,12.819650067294752,12.575395045112407,8.107771297542495,8.880414735058073,3.961666915906485,3.75604406559992,4.011514879617168,3.8161108618712927
2024-03-13,27.362641471805354,14.717181034052947,12.82220671087401,12.571670738395573,8.109388243506007,8.882185770553921,3.9487460736899833,3.756793139552276,4.0123149025277955,3.8168719150421295
2024-03-14,27.357420609202855,14.715713644747993,12.824667231666584,12.566678299017898,8.10857968991475,8.88130016451468,3.9483523605364175,3.768881798693853,4.011914851188993,3.8164913505159777
2024-03-15,27.29501141424348,14.729114429350199,12.828861195314548,12.564400034928832,8.158377306238538,8.889387872210373,3.961927572570887,3.7723139104075445,4.015568279630253,3.785037985105348
2024-03-18,27.027577875443757,15.560883539494197,12.710576830434233,12.46970584093621,8.07844241701068,8.802290621348334,3.888522435588627,3.737823662671914,3.97622418048278,3.747952596589267
2024-03-19,27.04628665936549,15.571654952645359,12.721847411996508,12.482045779862101,8.060548676023052,8.808383662833961,3.8392982959251025,3.7404110249418423,3.978976566188959,3.750546970217626
2024-03-20,27.00989517240017,15.563047160075646,12.689916700819165,12.465250860396102,8.18302118771695,8.796531751949162,3.8341324195276583,3.739081487040978,3.9736227490210987,3.7455005110530655
2024-03-21,27.02223726167746,15.570158647041824,12.668545500801509,12.45859690115867,8.18676039430817,8.800551300322827,3.8321794393631397,3.738320065405164,3.975438483825313,3.7472120060959195
2024-03-22,27.029915057838743,15.574582577715407,12.672144999579984,12.427547153029307,8.189086488810267,8.80305179050565,3.8332682719532745,3.7455589431396477,3.976568020437509,3.748276696990211
2024-03-25,27.04194124073699,15.581512040062684,12.661716506083062,12.433076432522752,8.192729987196156,8.806968455085203,3.8510403741293135,3.7027332993874915,3.978337279949378,3.749944384846972
