date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,GOLDMAN SACHS (ASIA) SECURITIES LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,CHINA CITIC BANK INTERNATIONAL LTD
2024-03-01,0.0,0.0,0.0,4.418526349681267,0.051535158757737634,4.045215475860932,1.4478925555745334,0.4834488702511578,0.3251623112095351,89.22821927866484
2024-03-04,0.0,0.0,0.0,4.4608886325197314,0.051415291593257056,4.132516303544129,1.5143027547823567,0.48722109652657875,0.3329752217468076,89.02068069928714
2024-03-05,0.0,0.0,0.0,4.250757563172609,0.05252372851046615,4.184504376325919,1.7845852872974661,0.5875328700821911,0.31514237106279686,88.82495380354855
2024-03-06,0.0,0.3931761231222482,0.46765979862056234,4.269990380616466,0.052504886007008304,4.055257607286408,1.0256768429276042,0.6154061057565625,0.3272397546483308,88.79308850101481
2024-03-07,0.0,2.4025715203496607,2.0926397942245547,2.201956798400464,0.051655287687517704,3.5872074598884676,1.1916754740934317,0.7387907425075206,0.38200887173559606,87.3514940511128
2024-03-08,0.0,6.289881970813041,3.7537307522008914,1.8167239825494639,0.048793960805513396,3.274483277628786,1.4910526627545257,0.4970175542515086,0.31432388704947,82.51399195194679
2024-03-11,0.0,8.891115361042331,7.147633260577447,1.339264460715038,0.04610684521524605,2.563626374144825,0.9990602781593805,0.5103920540106307,0.3624212484361201,78.14038011769898
2024-03-12,0.0,12.633469086986507,8.293053234602647,1.5105894710971968,0.003118861690335708,1.888553923143347,0.9100214640061529,0.6331289231381487,0.42104632819532056,73.70701870714035
2024-03-13,0.0,13.362817873720282,8.690445922220043,1.7047210243465214,0.005184611575122325,1.7294619907830049,0.8537396188522431,0.6885164171762449,0.4489873624055934,72.51612517892094
2024-03-14,0.0,14.124761551504875,10.00055472392963,1.4793535065175922,0.007244528931750741,1.5336460761975412,1.1967340835629505,0.8144920384696906,0.5288506120178041,70.31436287886817
2024-03-15,0.0,14.082281037463403,10.242977087630585,1.633718596316505,0.007249832114602032,1.2999984671783529,1.2535374002267747,0.9963340706067364,0.5354518861784644,69.94845162228458
2024-03-18,0.0,14.630409676558815,10.355018452128581,1.8067656968532284,0.016725246843736854,0.2801478846325923,1.187847937400746,1.0808690772764944,0.4202218269488885,70.22199420135692
2024-03-19,0.0,13.68445978526441,10.671550523017137,1.8503436688111143,0.025168751233530986,0.6361401874274957,1.8733101543117112,0.8442018642913518,0.40374871770455956,70.0110763479387
2024-03-20,0.0,12.731655708891381,10.318895642826703,1.9414661863761742,0.023321933854755235,0.561316544367859,2.0394819138402958,1.1077918581008737,0.45053735855777155,70.82553285318419
