date,HAITONG INTERNATIONAL SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD,HANG SENG SECURITIES LTD
2024-03-04,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-12,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-19,0.0,0.0,36.222954578019774,63.777045421980226,0.0,0.0,0.0
2024-04-02,0.0,0.0,37.17713479181369,62.82286520818631,0.0,0.0,0.0
2024-04-08,0.0,44.329652996845425,20.56782334384858,35.102523659305994,0.0,0.0,0.0
2024-05-06,0.0,44.329652996845425,20.757097791798106,34.913249211356465,0.0,0.0,0.0
2024-05-07,0.0,44.28774030885597,20.832020170185945,34.880239520958085,0.0,0.0,0.0
2024-05-09,0.0,44.20895052001261,20.91080995902931,34.880239520958085,0.0,0.0,0.0
2024-05-10,0.0,44.23319659198485,20.84253707794257,34.92426633007258,0.0,0.0,0.0
2024-05-17,0.0,44.22970734400884,20.84878125739528,34.92151139859588,0.0,0.0,0.0
2024-05-22,0.0,38.880798835032245,18.32743915123778,30.698287220026348,12.093474793703626,0.0,0.0
2024-05-28,37.76272064218204,24.345086530577014,11.259764360623192,19.10577877519313,7.526649691424625,0.0,0.0
2024-05-30,37.725273777701126,24.32094507200138,11.347762352332499,19.086832801586617,7.519185996378373,0.0,0.0
2024-05-31,37.71551724137931,24.314655172413794,11.370689655172415,19.081896551724135,7.517241379310345,0.0,0.0
2024-06-03,37.74643026616626,24.334584357879297,11.298045813381648,19.097536775807775,7.523402786765023,0.0,0.0
2024-06-04,36.15403685645814,23.24188083629452,11.342037848111726,18.287744814478142,7.206016031732915,0.0,3.7682836129245514
2024-06-07,36.11225753198514,23.215022699133307,11.444490301279405,18.266611638464713,7.197688815517952,0.0,3.76392901361948
2024-06-13,35.93134034165571,23.09871879106439,11.888140604467806,18.17509855453351,7.1616294349540075,0.0,3.7450722733245727
2024-06-18,35.93134034165571,23.09871879106439,11.953843626806833,18.17509855453351,7.1616294349540075,0.0,3.679369250985545
2024-06-21,35.75368773750664,22.984513545539983,12.38916356801373,18.085236791566217,7.126220733052752,0.0,3.66117762432068
2024-06-26,35.76830315169848,22.993909168949024,12.676286636961942,18.09262968564771,7.1291337938928185,0.0,3.339737562850018
2024-06-27,35.75368773750664,22.984513545539983,12.711968291586647,18.085236791566217,7.126220733052752,0.0,3.338372900747763
2024-07-09,35.7493054420657,22.98169635561366,12.722667102467724,18.083020101323747,7.125347278967152,0.0,3.3379637195620195
2024-07-18,35.752226852986844,22.98357440549154,12.723706790880119,18.084497834436544,7.117757620331782,0.0,3.3382364958731716
2024-07-24,33.37911039902342,21.45799954222934,11.905851834897382,16.88410772869459,6.645304036011292,6.610971236743725,3.116655222400244
2024-07-29,33.388026099896976,21.46373106421948,11.882321517151906,16.888617544930742,6.64707902468806,6.61273705498531,3.117487694127523
2024-07-30,33.37783711615487,21.457181003242418,11.90921228304406,16.883463665840168,6.645050543581919,6.610719053976731,3.1165363341598322
2024-08-01,33.36510962821735,21.448999046711155,11.94280266920877,16.877025738798856,6.642516682554814,6.608198284080076,3.11534795042898
2024-08-02,33.314296592423375,21.416333523700743,12.076908433276223,16.851323053493243,6.632400533028745,6.598134399390824,3.1106034646868457
2024-08-07,33.309223799916246,21.413072442803305,12.09029654726103,16.848757090106208,6.631390612509041,6.597129696600555,3.110129810803609
2024-08-08,33.30795584316711,21.412257327750286,12.089836315188428,16.85192234488009,6.631138180433956,6.596878568709555,3.110011419870575
2024-08-12,33.306687982946976,21.41144227475163,12.09318259677972,16.85128088005786,6.630885767576415,6.596627459936813,3.109893037950592
2024-08-15,33.32952424484821,21.42612272883099,12.12051955966937,17.003770997600274,6.635432141088637,6.601150344722508,2.8834799832400106
2024-09-02,33.35620616041476,21.44327538883806,12.050167734065264,17.017383348581884,6.640744129307715,6.606434888685575,2.88578835010674
2024-09-03,33.35112059765208,21.440006098490624,12.063576764750724,17.01478883976216,6.639731666412563,6.605427656654977,2.8853483762768715
2024-09-04,33.34222459322486,21.434287238501696,12.071790572724154,17.02549251228899,6.63796059901688,6.603665739435279,2.8845787448081395
2024-09-05,33.32952424484821,21.42612272883099,12.105283205728869,17.019007351540775,6.635432141088637,6.601150344722508,2.8834799832400106
2024-09-26,33.30795584316711,21.412257327750286,12.162162162162163,17.007993909402362,6.631138180433956,6.596878568709555,2.881614008374572
2024-09-30,33.30795584316711,21.412257327750286,12.733155690902171,16.437000380662354,6.631138180433956,6.596878568709555,2.881614008374572
2024-10-02,33.242154851455055,21.36995669022111,12.449661879796368,16.860420940658006,6.618038142998252,6.583846212293899,2.8759212825773117
2024-10-03,33.28388299288676,21.381566434630454,12.860892388451445,16.375670432500286,6.626345619840998,6.5921107687626,2.87953136292746
2024-10-04,33.542896572874334,21.52878938894426,12.907306601242047,15.759411178409874,6.677911523422525,6.681744997316569,2.9019397377903857
2024-10-07,33.58151673319006,21.630334663801044,12.714921707092417,15.777556033159348,6.700951796131409,6.689438133251459,2.905280933374271
2024-10-08,33.5750738651625,21.595487510072523,12.720156555772993,15.774528989678064,6.741874832124631,6.688154713940371,2.904723533248916
2024-10-10,33.6137681994545,21.620375705889135,12.619568975452344,15.79270869348085,6.749644654450463,6.695862625331336,2.9080711459413777
2024-10-16,33.61505954667691,21.62120630042259,12.616212063004225,15.793315405301575,6.749903956972723,6.696119861698041,2.908182865923934
2024-10-17,33.61505954667691,21.690357280061466,12.54706108336535,15.793315405301575,6.749903956972723,6.696119861698041,2.908182865923934
2024-10-18,33.58409457281032,21.78552237660244,12.512474092269901,15.77876717586551,6.743686190220312,6.689951638903816,2.905503953327704
2024-10-24,33.58538364103942,21.7863585767474,12.520631021379497,15.779372816950064,6.743945035120716,6.690208421295052,2.894100487467854
2024-10-25,33.66031929217157,21.834968263127525,13.567993844970186,14.572033083285246,6.758992113868051,6.705135603000577,2.9005577995768417
2024-10-29,33.65902446530236,21.83412832743499,13.57131866440991,14.571472534236035,6.758732112632712,6.7048776734882285,2.9004462224957686
2024-11-01,33.42884431709647,21.68481375358166,14.204393505253105,14.471824259789875,6.670487106017192,6.659025787965617,2.880611270296084
2024-11-06,33.33841347252915,21.62615255658005,14.436485559704334,14.432675455307475,6.652442276918387,6.641011963727807,2.8728187152327975
2024-11-11,33.33841347252915,21.62996266097691,14.432675455307475,14.432675455307475,6.652442276918387,6.641011963727807,2.8728187152327975
2024-11-12,33.34984944925105,21.62975949994283,14.410946373442085,14.437626253001486,6.654724244387697,6.64329001029081,2.873804169684034
2024-11-13,33.34730744311902,21.628110827394337,14.417470177979345,14.436525782232554,6.654217005221236,6.6427836426693085,2.8735851213841994
2024-11-14,33.34603658536585,21.627286585365855,14.420731707317072,14.435975609756097,6.653963414634147,6.642530487804878,2.8734756097560976
2024-11-20,33.34476582447316,21.6264624061583,14.4239929880721,14.435425479211919,6.653709843374872,6.642277352235052,2.8733661064746006
2024-11-21,33.4941050375134,19.61797580768642,16.448476496708007,14.19767263818711,6.683509416628388,6.672025723472669,2.886234879804012
2024-11-27,33.13138962514199,19.405528209011738,17.353275274517227,14.043922756531616,6.611132146914048,6.5997728133282845,2.8549791745550928
2024-11-28,33.18793855490234,19.438649725014223,17.212213161388203,14.067893040015173,6.622416081926796,6.611037360136544,2.859852076616727
2024-12-02,33.08503800052936,19.41619087231066,17.431088592278897,14.02427496502439,6.60188301130563,6.590539569705449,2.8509849888456156
2024-12-05,33.08503800052936,19.454002344311263,17.39327712027829,14.02427496502439,6.60188301130563,6.590539569705449,2.8509849888456156
2024-12-09,33.09129415324106,19.45768096210574,17.377656758187733,14.026926858785266,6.603131381892443,6.591785795325618,2.8515240904621435
2024-12-12,33.09379727685325,19.455370650529503,17.37518910741301,14.027987897125568,6.603630862329804,6.592284417549169,2.8517397881996978
2024-12-13,33.32571602681292,19.59171237050579,17.496953077391833,13.425502742230346,6.649908592321754,6.638482632541133,2.8717245581962216
2024-12-17,33.32571602681292,19.59171237050579,17.531230956733697,13.425502742230346,6.649908592321754,6.604204753199269,2.8717245581962216
2024-12-19,33.542896572874334,19.71938971095607,17.553476960821897,12.953308287970557,6.693245418998697,6.647243732270184,2.890439316108257
2024-12-20,33.63314883148831,19.764760147601475,17.335485854858547,12.988161131611317,6.711254612546126,6.6689729397293975,2.8982164821648215
2024-12-23,33.59956992550495,19.729667460256508,13.70862452960602,16.699946240688117,6.704554181706474,6.662314722371554,2.89532293986637
2024-12-27,33.59956992550495,19.729667460256508,13.747024038092311,16.661546732201828,6.704554181706474,6.662314722371554,2.89532293986637
2024-12-30,33.616350993123056,19.739521303161858,13.703945599139422,16.669868223904107,6.7079027238848985,6.6656421683506855,2.8967689884359755
2025-01-03,33.60344099235762,19.6935366181497,13.775490610238489,16.66346633895311,6.705326625446446,6.663082299627482,2.895656515227159
2025-01-10,35.15185601799775,20.68134340350313,15.245862124377311,11.14414269644866,7.014301783705608,6.970110878997268,3.7923830949702717
