date,CEPA ALLIANCE SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,CHEONG LEE SECURITIES LTD,CINDA INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,KINGSTON SECURITIES LTD,FUTU SECURITIES INTERNATIONAL
2024-03-01,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,72.18787686448746,18.813075214217708,0.0,0.0,0.0,0.0,0.0,8.999047921294826
2024-03-05,0.0,72.06093303713106,18.940019041574104,0.0,0.0,0.0,0.0,0.0,8.999047921294826
2024-03-06,0.0,71.94156875198475,18.990155604953955,0.0,0.0,0.0,0.0,0.0,9.06827564306129
2024-03-07,0.0,48.82762196966423,12.920789939933453,32.16801348256342,0.0,0.0,0.0,0.0,6.083574607838901
2024-03-12,0.0,41.896698971445545,11.102446994170286,27.75240429245108,0.0,14.021016672236456,0.0,0.0,5.227433069696632
2024-03-13,0.0,41.83039524958248,10.354425681944702,27.856745221748003,0.0,14.726294303210244,0.0,0.0,5.232139543514567
2024-03-15,0.0,41.813119501058026,10.357500835282325,27.86501837621116,0.0,14.730667854623752,0.0,0.0,5.233693432824739
2024-03-19,0.0,41.816224243549286,10.358269909040283,27.86708743270837,0.0,14.731761648412844,0.0,0.0,5.226656766289215
2024-03-21,0.0,41.84107879193135,10.364426613172851,27.883650952858574,0.0,14.740517849845833,0.0,0.0,5.170325792191389
2024-03-26,0.0,30.507868577155396,34.643408543026624,20.33099488068474,0.0,10.74785340881389,0.0,0.0,3.769874590319348
2024-04-02,0.0,30.469903963208438,34.7247396185581,20.305694575950223,0.0,10.734478560800758,0.0,0.0,3.7651832814824835
2024-04-05,0.0,7.198542805100182,8.205029878886652,4.797238999137187,76.37490812641805,2.5360304221391363,0.0,0.0,0.8882497683187933
2024-04-08,0.0,7.202643031050503,8.212822790391535,4.796564570858921,76.36417082569159,2.535673889843885,0.0,0.0,0.8881248921635663
2024-04-09,0.0,7.202274833061758,8.217514936579445,4.796319371225918,76.36026710118534,2.5355442665899868,0.0,0.0,0.8880794913575513
2024-04-10,0.0,7.191600043456865,8.218460220990945,4.796871105657701,76.36905104264524,2.5358359375499275,0.0,0.0,0.8881816496993168
2024-04-11,0.0,7.19068097152022,8.217409918400993,4.796258075234669,76.35929123241979,2.535511862847211,0.0,0.0,0.9008479395771165
2024-04-17,0.0,7.190864767114184,8.213785920137003,4.7963806687839075,76.36124299489434,2.53557667116101,0.0,0.0,0.9021489779095551
2024-04-18,0.0,7.190956668434606,8.21389089468404,4.796441967908698,76.36221891354774,2.5356090765603136,0.0,0.0,0.9008824788645993
2024-04-19,0.0,7.190129641106902,8.200167402513593,4.795890332185369,76.35343654358535,2.5353174577819804,0.0,0.0,0.9250586228268023
2024-04-22,0.0,7.184566524592468,8.197276520694482,4.796441967908698,76.36221891354774,2.5356090765603136,0.0,0.0,0.9238869966962956
2024-04-23,0.0,7.19068097152022,8.193128302778966,4.796258075234669,76.35929123241979,2.535511862847211,0.0,0.0,0.9251295551991412
2024-04-29,0.0,7.192151599399227,8.175630332662257,4.797238999137187,76.37490812641805,2.5360304221391363,0.0,0.0,0.9240405202441441
2024-04-30,0.0,7.188859989391682,8.186297377956429,4.796748487036765,76.3670988810143,2.535771115982132,0.0,0.0,0.9252241486186821
2024-05-02,0.0,7.18650309101719,8.157472462137436,4.7985884248278685,76.3963917888263,2.535465186899457,0.0,0.0,0.9255790462917383
2024-05-03,0.0,7.187513986662319,8.144553353921701,4.799263422400399,76.40713815305725,2.5358218402930963,0.0,0.0,0.9257092436652409
