date,UBS SECURITIES HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,MORGAN STANLEY HONG KONG SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,GOLDMAN SACHS (ASIA) SECURITIES LTD,BOCI SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,64.88857157619569,12.983405534663905,3.7108182512477135,0.8046275590029919,1.717329288121253,0.11071652891094129,1.7375390944774458,0.6298398438319934,0.0,0.0,86.58284767645192
2024-03-04,64.8875406283857,12.989864095728793,3.685412693978845,0.8890254515745164,1.72007417657383,0.11089543105243867,1.7294658931463365,0.6548373815055875,0.0,0.0,86.66711575194604
2024-03-05,64.8882610808725,12.986957743249592,3.69820936394476,0.774446864610799,1.721834134464012,0.11071652891094129,1.7169362846804548,0.974242612617122,1.386685030508628,0.0,88.2582896438588
2024-03-06,64.88828271705206,12.987216085692188,3.6870399284391433,0.9025850390662213,1.7256285390896335,0.12024290648165042,1.7039868697453548,0.6374929157658319,1.386685030508628,0.0,88.03916003184071
2024-03-07,64.88763686094556,12.986085837505835,3.684295039986566,0.5540273164840239,1.7144552284473782,0.11685216192258445,1.7031795496122442,0.9751878230289683,1.386685030508628,0.0,88.00840484844178
2024-03-08,64.8877983249722,12.985213931762074,3.669230446302716,0.5541887805106461,1.7165704071961287,0.11443020152325162,1.7078620063842875,0.9857475703700593,1.386685030508628,0.0,88.00772669952998
2024-03-11,64.88763799119374,12.983922219549097,3.6800002583424427,0.5541887805106461,1.7320709537518588,0.11168531307067442,1.7180342400614854,0.9826317990483311,1.386636591300641,0.0,88.03680814682893
2024-03-12,64.88812238327361,12.983599291495851,3.6783533252708964,0.4008336387694504,1.7377221946836354,0.11120092099080785,1.7186800961679742,0.8846197441441035,1.386636591300641,0.0,87.78976818609698
2024-03-13,64.89221097535575,12.99086517269385,3.697505542252714,0.3485108980144769,1.7418395273625011,0.12597504089076472,1.6022968257787005,0.9775306660552562,1.386636591300641,0.0,87.76337123970464
2024-03-14,64.90238320903295,12.985310810178047,3.6802017654476673,0.34773425604642416,1.7533357660580011,0.125329184784276,1.5723936880482712,0.9899582292563128,1.3863136632473967,0.0,87.74296057209934
2024-03-15,64.89341242917784,12.98976721731282,3.696671742019237,0.3903853016067285,1.763572585345848,0.12929651738240977,1.5694873355690717,0.9774846488076688,1.3863136632473967,0.0,87.79639144046902
2024-03-18,64.8930895011246,12.978626199475887,3.6947290068509187,0.40860829311533536,1.767286257958158,0.1305882295953873,1.571909295968405,0.9771065000573197,1.3863136632473967,0.0,87.8082569473934
2024-03-19,64.89751361545405,12.975090137292861,3.6943148516226327,0.4089617378696114,1.783594124646999,0.1305882295953873,1.570456119728805,0.976018716909966,1.3863136632473967,0.0,87.82285119636771
2024-03-20,64.8965448312943,12.959353853258262,3.674901224381714,0.5244159442497008,1.824315352161115,0.03610513245701424,1.5679695737188235,0.9774718931495656,1.3409422717665618,0.0,87.80202007643707
2024-03-21,64.88990865980014,12.960609397529277,3.7120836448243515,0.38872141481238687,1.813222773532171,0.1300752583828086,1.5704238269234807,0.9768265214351568,1.3202748763589216,0.0,87.7621463735987
2024-03-22,64.89249208422609,12.97045870315323,3.691519263465696,0.380099235790762,1.8463228989897198,0.1150760576297404,1.5678404024975254,0.9857141473165486,1.305097257856436,0.0,87.75462005092575
2024-03-25,64.89346086838583,12.969538358201484,3.7199865016073743,0.36944309442577744,1.8748051532858738,0.12557073496810278,1.567953427316161,0.9877707146236354,1.2799088697033745,0.0,87.78843772251761
2024-03-26,64.89071597993326,12.963612628424452,3.721946351962514,0.3591093967219573,1.8901603822176438,0.1151729360457137,1.5669684967537658,0.9814736175853701,1.2569809779230237,0.0,87.7461407675677
2024-03-27,64.88357926995654,12.965227268690672,3.7156492549242492,0.36007818088169047,1.9158816016585585,0.11956475756983723,1.5713118790699026,0.9808277614788813,1.2311467336634736,0.0,87.74326670789382
2024-03-28,64.88345009873525,12.969263869356226,3.671036744368538,0.3494475508329122,1.9498051936518803,0.1151729360457137,1.55710304472715,0.9746921284672382,1.2295320933972516,0.0,87.69950365958216
2024-04-02,64.88635645121445,12.969150844537591,3.6559309773578996,0.35275481849021445,1.8976523130529135,0.1151729360457137,1.47640332422138,1.062111335904917,1.2296935574238739,0.0,87.64522655824895
2024-04-03,64.88345009873525,12.952876723830315,3.669389003976859,0.43492918995112484,1.8175661558483078,0.11598025617882465,1.4790028950499974,1.0539267243954382,1.2364750465420058,0.0,87.64359609450813
2024-04-05,64.88554913108135,12.951875646865258,3.672101599624112,0.38504164964566717,1.78658120913951,0.11617401301077127,1.4745626343178873,0.9769907303502317,1.231550393730029,0.0,87.4804270077648
2024-04-08,64.8866793792677,12.951988671683893,3.6820154908587144,0.36643954060255146,1.7799450376453376,0.11539898568298475,1.4847348679950851,0.9748124191670716,1.2313566368980824,0.0,87.47337102980141
2024-04-09,64.88797109148068,12.941638827577409,3.6857291634710245,0.3607913674872807,1.7799450376453376,0.11585108495752688,1.4847348679950851,0.9752937434304325,1.232955130761642,0.0,87.46491031480642
2024-04-10,64.88425741886836,12.928818583863608,3.696353496422764,0.3601293649781297,1.803131271868284,0.11520522885103814,1.478389331748833,0.9925703942790066,1.208089670661825,0.0,87.46694476154185
2024-04-11,64.88345009873525,12.91829112932784,3.6952232482364096,0.3486342565308162,1.8173401062110368,0.11875743743672629,1.4669092394559955,0.9907942899861626,1.2093652364721401,0.4290745043458043,87.87783954673817
2024-04-12,64.89023158785339,12.901142680916406,3.7343228925311585,0.3688698971312686,1.8089221791830887,0.1358726242586783,1.4637929837421872,0.98691915334723,1.2093652364721401,0.4369862416502915,87.93642547708583
2024-04-15,64.88345009873525,12.893957531731717,3.730923105986602,0.3698386812910018,1.7989275559351754,0.15767026785267374,1.458545402876966,0.9822295921580151,1.2088808443922736,0.4369862416502915,87.92140932260996
2024-04-16,64.89840166760047,12.891535571332385,3.7934619986340143,0.3613941126986613,1.8329964655524573,0.15747457345240767,1.4558005144243888,0.9828896570988467,1.219537470149338,0.4369862416502915,88.03047827259326
2024-04-17,64.88309487787667,12.888613072450521,3.7888788422383435,0.31744360465210153,1.8304453339318267,0.1551651534796305,1.5666940079085079,0.9778842722735588,1.2162274576035832,0.4369862416502915,88.06143286406505
2024-04-18,64.88391947466064,12.879571086959682,3.7330523321056686,0.3106299841926718,1.8425389895258284,0.2008404202585685,1.5598640795823895,0.9774321729990166,1.2202479118664757,0.4369862416502915,88.04508269380123
2024-04-19,64.88460860312627,12.884624910992956,3.7553991148542063,0.3369316668092932,1.8697456780116675,0.24492009952642602,1.5735400826372887,0.9827482146115255,1.2506031488714473,0.4369862416502915,88.22010776109137
2024-04-22,62.69774644658044,12.872176034540384,3.552411545969616,0.4872508004579119,2.025526170896755,0.3249634687639767,1.5749932588768885,1.013910771749608,1.253832429403891,0.4369862416502915,86.23979716888975
2024-04-23,62.71437724132252,12.849611436819933,3.548049595290417,0.36617990644774295,2.0279481312960876,0.29713352913537633,1.58984794932613,0.9748093513505659,1.2539938934305133,0.4369862416502915,86.05893727606959
2024-04-24,62.32845319077136,12.873185184706774,2.5967240563638625,0.3829699047200779,2.029885699615554,0.31545517516424926,1.6009889671630608,0.9748093513505659,1.2260606168248744,0.4369862416502915,84.76551838833068
2024-04-25,62.3294219749311,12.873185184706774,2.5956517737630644,0.4127280477546005,2.0344066923609754,0.31529371113762705,1.5966294384442619,0.9781774909459047,1.225576224745008,0.4369862416502915,84.7980567804396
2024-04-26,62.33168247130381,12.859589913665184,2.5728595117650763,0.3966171671782385,2.0777436371063707,0.29753266820918634,1.5812903559151537,0.9748093513505659,1.2029712610179015,0.43537160138406966,84.73046793889554
2024-04-29,62.332812719490164,12.85619916910612,2.578300849462244,0.39790887939121605,2.099896501558935,0.2962409559962088,1.5804830357820427,0.9748093513505659,1.1932834194205701,0.43537160138406966,84.74530648294213
2024-04-30,62.32784818506361,12.863852563968011,2.4273965701811466,0.4755021934888017,2.086527280154618,0.2962409559962088,1.6078350418918415,0.9812679124154533,1.1427128862825007,0.4398925941294909,84.64907618357168
2024-05-02,62.37557033130804,12.820564058430604,2.3030636184411297,0.4614178479105747,2.1732657552560575,0.2933948295989395,1.5691644075158278,0.9812679124154533,1.125519389407637,0.46411219812281923,84.56734034840707
2024-05-03,62.32632380318827,12.800558665532114,2.3059053853096803,0.49134568963707725,2.2012959102776697,0.3261720270032438,1.5683409409800544,0.9812679124154533,1.0932265840831992,0.46411219812281923,84.55854911654957
2024-05-06,62.325241994209904,12.798185144340767,2.3092961298687458,0.46410234881719525,2.2012959102776697,0.293057854175379,1.5683409409800544,0.9820619924983812,1.0918702862595728,0.45846095719104263,84.4919135586187
2024-05-07,62.32621077836963,12.800639397545424,2.2647966441316707,0.49235855347607826,2.2012959102776697,0.33314937198566846,1.5683409409800544,0.9867444492704248,1.0970371351114827,0.4608829175903754,84.53145609873847
2024-05-08,62.33008591500857,12.800849300780031,2.2615350707939026,0.4850786249077637,2.2449880758816336,0.32880389063718546,1.5983248107237946,0.9914269060424683,1.0742707073577542,0.46039852551050886,84.57576182764362
2024-05-09,62.32491906615666,12.825989249725108,2.2710614483646117,0.45888915978964473,2.271984861132864,0.32933478435671926,1.6359136361214401,0.9899737298028686,1.074916563464243,0.46039852551050886,84.64338102442467
2024-05-10,62.331432202062544,12.834724453565368,2.293686595095046,0.5144489313503398,2.286823405179443,0.4135765412145001,1.6746650025107657,1.0046801962756706,1.0805678043960196,0.46039852551050886,84.8950036571602
2024-05-13,62.33240098622227,12.818578050903149,2.2889211458133185,0.4879710914806735,2.3126737958416554,0.4430598724757118,1.6712581115490375,0.9939266921026331,1.0744321713843765,0.46039852551050886,84.88362044328333
2024-05-14,62.33958613540697,12.81276534594475,2.2676078942991893,0.8305722446567517,2.360289537292539,0.4395076638900236,1.689826474610589,0.6502760227535106,1.0852502611680632,0.4605599895371311,84.93624156955951
2024-05-16,62.32844511757003,12.79765683404566,2.2237361806976215,0.5890985947785763,2.5007470940511807,0.3835862129096948,1.668916883163016,0.9655306595966952,1.0942922466589056,0.4605599895371311,85.01256981300851
2024-05-17,62.339442916815344,12.807457216069546,2.2476977651764076,0.7262119086178195,2.7377762851325538,0.32635964820217883,1.6346703631164496,0.9911243224565782,1.1145559819999902,0.4605276967318066,85.38582410431867
2024-05-20,62.37722549904494,12.830595011084506,2.343875265810154,0.6601521314058835,2.781226254696585,0.40341464123500603,1.6511074010265883,1.019029342857558,1.0826829831447702,0.4661789376635832,85.61548746796957
2024-05-21,59.7526911769257,12.30060486491505,2.3304173242967225,4.8342216754866465,2.658829573236778,0.358980905517903,1.5997668121189614,0.9948395382663325,1.0371078203818895,0.44582675703277325,86.31328644817874
2024-05-22,59.73771268529694,12.299885340265527,2.3498831739547548,4.915810509701977,2.551566242688701,0.35912032308977815,1.5982503945780335,0.9819988858973169,1.0315373069662366,0.44582675703277325,86.27159161947205
2024-05-23,59.709768514220286,12.280152570172996,2.358703153529539,4.965070405100114,2.376265280227772,0.42707331414600935,1.698798161730573,0.9954609599851453,1.0437614891839198,0.44582675703277325,86.30088060532913
2024-05-24,59.70357905486956,12.28185157676477,2.3616688329774393,5.008905239377341,2.3517240739021448,0.2973422461547984,1.7221478971311857,0.989600934608362,1.0432972797326154,0.44582675703277325,86.20594389255099
2024-05-27,59.704816946739705,12.278818741682914,2.3723068115000157,4.9939303066877105,2.3626484696561754,0.3026651811964225,1.723849998452635,0.9835395970661962,1.0434520162163836,0.44582675703277325,86.21185482623093
