date,CHINA INTERNATIONAL CAPITAL CORPORATION,MORGAN STANLEY HONG KONG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,UOB KAY HIAN (HONG KONG) LTD,CHINA SUNRISE SECURITIES (INTL) LTD,INTERACTIVE BROKERS HONG KONG LTD,CITIC SECURITIES BROKERAGE (HK) LTD,CITIBANK N.A.,TIGER BROKERS (HK) GLOBAL LTD,TOTAL_CCASS_PCT
2024-05-17,57.3075,0.0,0.11249999999999999,0.017499999999999998,4.125,5.64,0.09749999999999999,2.335,0.0025,1.73,71.36749999999999
2024-05-21,57.3075,0.0,0.73,0.017499999999999998,3.6374999999999997,4.1075,1.9875,2.1774999999999998,0.0625,1.7925,71.82
2024-05-22,57.36750000000001,3.0,0.7825000000000001,0.015,3.9149999999999996,3.1774999999999998,3.2099999999999995,2.175,0.09,1.7274999999999998,75.46000000000001
2024-05-23,57.36750000000001,3.0,0.7025,0.015,3.8,2.5125,3.8575,2.175,0.055,1.7774999999999999,75.2625
2024-05-24,57.36750000000001,3.675,0.8225,0.015,3.675,2.5125,4.0649999999999995,2.175,0.0825,1.7575,76.14750000000001
2024-05-27,57.36750000000001,3.675,0.8500000000000001,0.015,3.675,2.5125,4.1025,2.175,0.0675,1.765,76.205
2024-05-28,57.36750000000001,4.2425,0.9025,0.0375,3.5525,2.5125,4.1475,2.175,0.0675,1.7325,76.7375
2024-05-29,57.36750000000001,4.2425,0.8775,0.0375,3.5525,2.5625,4.3075,2.1725000000000003,0.0675,1.7624999999999997,76.95
2024-05-30,57.36750000000001,4.4225,0.8625,0.0375,3.56,2.5625,4.38,2.1725000000000003,0.0675,1.7774999999999999,77.21000000000001
2024-05-31,57.36750000000001,4.745,0.8625,0.0375,3.4425,2.5625,4.38,2.1725000000000003,0.0675,1.78,77.41749999999999
2024-06-03,57.36750000000001,4.9399999999999995,0.9375,0.0375,3.4425,2.5625,4.3425,2.1725000000000003,0.0775,1.7675,77.64750000000001
2024-06-04,57.36750000000001,5.244999999999999,0.8625,0.0375,3.4525,2.5625,4.279999999999999,2.1725000000000003,0.0925,1.7624999999999997,77.835
2024-06-05,57.36750000000001,6.0475,0.8125,0.0375,4.025,2.5625,4.2700000000000005,2.1725000000000003,0.08499999999999999,1.7624999999999997,79.1425
2024-06-06,57.36750000000001,6.697500000000001,0.8049999999999999,0.01,4.035,2.5625,4.255,2.2225,0.12,1.7725000000000002,79.84750000000001
2024-06-07,57.36750000000001,6.9475,0.815,0.01,4.035,2.5625,4.234999999999999,2.2225,0.12,1.7675,80.0825
2024-06-11,57.36750000000001,6.9475,0.8699999999999999,0.01,4.035,2.5625,4.765,2.2225,0.12,1.755,80.655
2024-06-12,57.36750000000001,6.9475,0.7825000000000001,0.01,4.035,2.5625,5.220000000000001,2.2225,0.12,1.755,81.0225
2024-06-13,57.36750000000001,6.9475,0.75,0.01,4.035,2.5625,5.62,2.2225,0.12,1.7525,81.3875
2024-06-14,57.36750000000001,6.9475,0.7474999999999999,0.01,4.035,2.5625,5.92,2.2225,0.12,1.7525,81.685
2024-06-17,57.36750000000001,6.9475,1.0675000000000001,0.01,4.035,2.5625,5.9225,2.2225,0.12,1.6925,81.94749999999999
2024-06-18,57.36750000000001,6.9475,1.165,0.01,4.035,2.5625,5.9225,2.2225,0.12,1.6925,82.045
2024-06-19,57.36750000000001,6.9475,1.4749999999999999,0.01,4.035,2.5625,5.907500000000001,2.2225,0.12,1.6925,82.34
2024-06-20,57.36750000000001,6.9475,2.1425,0.01,4.035,2.5625,5.907500000000001,2.2225,0.12,1.7049999999999998,83.02000000000001
2024-06-21,57.36750000000001,6.9475,2.2800000000000002,0.01,4.0275,2.5625,5.907500000000001,2.2225,0.19499999999999998,1.6549999999999998,83.175
2024-06-24,57.36750000000001,6.9475,2.2800000000000002,0.01,4.0275,2.5625,5.91,2.2225,0.19499999999999998,1.6275000000000002,83.15
2024-06-25,57.36750000000001,6.9475,2.2800000000000002,0.01,3.7775000000000003,2.5625,5.8999999999999995,2.2225,0.19499999999999998,1.6275000000000002,82.89
2024-06-26,57.36750000000001,6.9475,2.2125,0.01,3.7775000000000003,2.5625,5.9675,2.2225,0.19499999999999998,1.6275000000000002,82.89
2024-06-27,57.36750000000001,6.9475,2.2125,0.01,3.7775000000000003,2.5625,5.9675,2.2225,0.19499999999999998,1.6225,82.88499999999999
2024-06-28,57.36750000000001,6.9475,2.2125,0.01,3.7775000000000003,2.5625,5.9675,2.2225,0.19499999999999998,1.6199999999999999,82.88250000000001
2024-07-02,57.36750000000001,6.9475,2.21,0.01,3.7775000000000003,2.5625,5.9799999999999995,2.2225,0.19499999999999998,1.6175,82.89
2024-07-03,57.36750000000001,6.9475,2.21,0.01,3.7775000000000003,2.5625,5.9799999999999995,2.2225,0.2,1.6175,82.895
2024-07-04,57.36750000000001,6.9475,2.2025,0.01,3.7775000000000003,2.5625,5.9775,2.2225,0.2,1.6675,82.935
2024-07-05,57.36750000000001,6.9475,2.2025,0.01,3.7775000000000003,2.5625,5.96,2.2225,0.2,1.675,82.92500000000001
2024-07-08,57.36750000000001,6.9475,2.2025,0.01,3.7775000000000003,2.5625,5.8775,2.2225,0.2,1.6775000000000002,82.845
2024-07-09,57.36750000000001,6.9675,2.2025,0.01,3.7775000000000003,2.5625,5.875,2.2225,0.2,1.7025,82.8875
2024-07-10,57.36750000000001,7.2124999999999995,2.2025,0.01,3.7775000000000003,2.5625,5.875,2.2225,0.1925,1.7000000000000002,83.1225
2024-07-11,57.36750000000001,7.670000000000001,2.235,0.01,3.7775000000000003,2.5625,5.8549999999999995,2.2225,0.1925,1.725,83.6175
2024-07-12,57.36750000000001,8.4275,2.235,0.01,3.7775000000000003,2.5125,6.0075,2.2225,0.1975,1.725,84.4825
2024-07-15,57.36750000000001,8.755,2.2175000000000002,0.01,3.7775000000000003,2.5125,6.0075,2.2225,0.1975,1.725,84.7925
2024-07-16,57.36750000000001,8.93,2.2175000000000002,0.01,3.7775000000000003,2.5125,6.0075,2.2225,0.1975,1.725,84.9675
2024-07-17,57.36750000000001,8.995000000000001,2.2175000000000002,0.01,3.7775000000000003,2.5125,6.0075,2.2225,0.1975,1.725,85.0325
2024-07-18,57.36750000000001,9.34,2.2175000000000002,0.01,3.7775000000000003,2.5125,6.005,2.2225,0.1975,1.725,85.375
2024-07-19,57.36750000000001,9.7075,2.2175000000000002,0.01,3.7775000000000003,2.5125,5.99,2.2225,0.1975,1.725,85.7275
2024-07-22,57.36750000000001,9.775,2.2175000000000002,0.01,3.7775000000000003,2.5125,5.952500000000001,2.2225,0.1975,1.725,85.7575
2024-07-23,57.36750000000001,9.775,2.215,0.01,3.7775000000000003,2.5125,5.952500000000001,2.2225,0.1975,1.725,85.75500000000001
2024-07-24,57.36750000000001,12.875,2.2025,0.01,3.7775000000000003,2.5125,5.2749999999999995,2.2225,0.10250000000000001,1.7175,88.0625
2024-07-25,57.36750000000001,13.08,2.2025,0.01,3.7074999999999996,2.5125,5.2375,2.2225,0.10250000000000001,1.7175,88.16000000000001
2024-07-26,57.36750000000001,13.315,2.2025,0.01,3.7074999999999996,2.5125,5.235,2.2225,0.0525,1.7175,88.3425
