date,THE HONGKONG AND SHANGHAI BANKING,THE BANK OF EAST ASIA LTD,SHANGHAI COMMERCIAL BANK LTD,BANK OF CHINA (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,DBS BANK LTD,FUTU SECURITIES INTERNATIONAL,NANYANG COMMERCIAL BANK LTD,CITIBANK N.A.,TOTAL_CCASS_PCT
2024-03-01,3.621480435001815,0.0,0.0,4.9249643903970854,2.859694780412616,3.009624080514632,1.8319959443874756,1.4629381198611893,0.0,0.0,17.710697750574813
2024-03-04,3.621480435001815,0.0,0.0,4.9249643903970854,2.859694780412616,3.009624080514632,1.8327229269050898,1.4629381198611893,0.0,0.0,17.711424733092425
2024-03-05,3.6265693126251137,0.0,6.022314209797302,4.9249643903970854,2.8686608981298565,3.009624080514632,1.8361155119872887,1.459303207273119,0.0,0.0,23.747551610724397
2024-03-06,3.6265693126251137,0.0,6.022314209797302,4.9249643903970854,2.8693878806474706,3.009624080514632,1.837084822010774,1.459303207273119,0.0,0.0,23.7492479032655
2024-03-07,3.6265693126251137,0.0,6.019890934738588,4.9249643903970854,2.87278046572967,3.009624080514632,1.8462932672338856,1.4597878622848617,0.0,0.0,23.759910313523836
2024-03-08,3.6265693126251137,0.0,6.019890934738588,4.9249643903970854,2.866237623071143,3.009624080514632,1.8501705073278276,1.4648767399081601,1.7857113907660458,0.0,25.548044979348596
2024-03-11,3.6265693126251137,0.0,6.019890934738588,4.9249643903970854,2.8691455531415992,3.009624080514632,1.8530784373982838,1.4658460499316457,1.7857113907660458,0.0,25.55483014951299
2024-03-12,3.563079506086817,0.0,6.019890934738588,4.929083957996898,2.885139168529109,3.009624080514632,1.8792498080323905,1.4682693249903591,1.7857113907660458,0.0,25.54004817165484
2024-03-13,3.563079506086817,0.0,6.019890934738588,4.933930508114326,2.885139168529109,3.009624080514632,1.903967213631269,1.4697232900255872,1.7857113907660458,0.0,25.571066092406376
2024-03-14,3.5623525235692033,0.0,6.019890934738588,4.933930508114326,2.880534945917553,3.009624080514632,1.9059058336782402,1.472873547601915,1.7840150982249465,1.6546664308690795,27.223793903228483
2024-03-15,3.5623525235692033,0.0,6.019890934738588,4.933930508114326,2.880534945917553,3.009624080514632,1.9066328161958541,1.472873547601915,1.7840150982249465,1.6546664308690795,27.224520885746095
2024-03-18,3.5623525235692033,0.0,6.019890934738588,4.933930508114326,2.880534945917553,3.009624080514632,1.91123703880741,1.472873547601915,1.7840150982249465,1.6546664308690795,27.229125108357653
2024-03-19,3.5623525235692033,0.0,6.019890934738588,4.933930508114326,2.8962862337991915,3.009624080514632,1.9170528989483226,1.472873547601915,1.7840150982249465,1.6546664308690795,27.250692256380205
2024-03-20,3.5618678685574605,0.0,6.019890934738588,4.933930508114326,2.8962862337991915,3.009624080514632,1.9189915189952933,1.472873547601915,1.7840150982249465,1.6546664308690795,27.25214622141543
2024-03-21,3.5521747683226064,0.0,6.019890934738588,4.933930508114326,2.8865931335643373,3.009624080514632,1.9340158243593177,1.4609994998142184,1.7840150982249465,1.6546664308690795,27.235910278522052
2024-03-22,3.5521747683226064,0.0,6.019890934738588,4.937080765690653,2.887804771093694,3.009624080514632,1.9364390994180314,1.4624534648494467,1.7840150982249465,1.6546664308690795,27.24414941372168
2024-03-25,3.5461165806758226,0.0,6.019890934738588,4.9591325687249475,2.887804771093694,3.009624080514632,1.945647544641143,1.4590608797672475,1.7840150982249465,1.6546664308690795,27.265958889250097
2024-03-26,3.5461165806758226,0.0,6.019890934738588,4.96494842886586,2.882231238458653,3.009624080514632,1.9531596973231553,1.460030189790733,1.7840150982249465,1.6539394483514651,27.27395569694385
2024-03-28,3.5461165806758226,0.0,6.018679297209231,4.964463773854117,2.882231238458653,3.009624080514632,1.9538866798407692,1.4626957923553179,1.7840150982249465,1.6536971208455937,27.275409661979083
2024-04-02,3.5468435631934367,0.0,6.046546960384438,4.9913621270058375,2.8642990030241724,3.0072008054559185,1.9999289059563274,1.4481561420030364,1.7832881157073326,1.6534372245955469,27.341062847326047
2024-04-03,3.5403007205349097,0.0,6.046546960384438,5.001055227240692,2.875203740788383,3.013743648114445,2.034097084284189,1.4474291594854223,1.7832881157073326,1.6531646061514416,27.39482926269125
2024-04-05,3.5403007205349097,0.0,6.050181872972508,5.001055227240692,2.875203740788383,3.013743648114445,2.0350663943076746,1.4474291594854223,1.7832881157073326,1.6531646061514416,27.39943348530281
