date,HUATAI FINANCIAL HOLDINGS (HONG KONG),FUTU SECURITIES INTERNATIONAL,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,PRUDENTIAL BROKERAGE LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,PRIME CHINA SECURITIES LTD
2024-03-13,0.0,33.15273775216138,55.03170028818444,0.0,0.0,11.815561959654179,0.0,0.0
2024-03-14,0.0,33.24507885345919,54.95568090249798,0.0,0.0,11.799240244042823,0.0,0.0
2024-03-21,0.0,29.64674471143972,49.02444033682481,10.803039638529473,0.0,10.525775313205997,0.0,0.0
2024-03-25,0.0,29.661190965092405,49.01437371663244,10.80082135523614,0.0,10.523613963039015,0.0,0.0
2024-04-05,0.0,29.690065681444995,48.99425287356322,10.796387520525453,0.0,10.51929392446634,0.0,0.0
2024-04-08,0.0,29.68701898409441,48.98922524371472,10.805541303232427,0.0,10.51821446895844,0.0,0.0
2024-04-09,0.0,29.655101621843567,49.00431122972695,10.819133648121536,0.0,10.521453500307945,0.0,0.0
2024-04-12,0.0,29.647880094446155,49.00934195667796,10.820244328097731,0.0,10.522533620778155,0.0,0.0
2024-04-15,0.0,29.626206613267613,49.02444033682481,10.823577736701582,0.0,10.525775313205997,0.0,0.0
2024-04-16,0.0,29.633432590615055,49.01940650990861,10.822466372317487,0.0,10.524694527158845,0.0,0.0
2024-04-17,0.0,29.756047560475608,48.933989339893394,10.80360803608036,0.0,10.506355063550636,0.0,0.0
2024-04-22,0.0,29.766297662976633,48.933989339893394,10.80360803608036,0.0,10.49610496104961,0.0,0.0
2024-04-23,0.0,29.76019676163148,48.92395982783357,10.821889731502358,0.0,10.49395367903259,0.0,0.0
2024-04-26,0.0,29.781784653211762,48.90892326605881,10.818563671754944,0.0,10.49072840897449,0.0,0.0
2024-04-30,0.0,29.736653345629676,48.918946613382516,10.831027769238652,0.0,10.513372271749155,0.0,0.0
2024-05-07,0.0,31.87566367409982,46.085529491263635,10.203687614634617,0.0,11.83511922000193,0.0,0.0
2024-05-10,0.0,31.86250844839239,46.09442888867433,10.205658009075986,0.0,11.837404653857295,0.0,0.0
2024-05-13,0.0,31.85285314280197,46.09442888867433,10.215313314666409,0.0,11.837404653857295,0.0,0.0
2024-05-14,0.0,31.843197837211545,46.09442888867433,10.224968620256831,0.0,11.837404653857295,0.0,0.0
2024-05-16,0.0,31.836616454229432,46.098879876400154,10.225955967555041,0.0,11.838547701815374,0.0,0.0
2024-05-24,0.0,31.833542531621127,46.09442888867433,10.234623925847252,0.0,11.837404653857295,0.0,0.0
2024-05-29,0.0,31.80413366814758,46.10778443113773,10.247247440602665,0.0,11.840834460112035,0.0,0.0
2024-06-03,0.0,31.800618238021638,46.11669242658423,10.239567233384852,0.0,11.843122102009273,0.0,0.0
2024-06-04,0.0,31.680201082753285,46.1523588553751,10.257153905645785,0.0,11.910286156225832,0.0,0.0
2024-06-07,0.0,31.62732198142415,46.18808049535604,10.265092879256967,0.0,11.91950464396285,0.0,0.0
2024-06-11,0.0,31.59117305458769,46.205962059620596,10.278745644599303,0.0,11.924119241192411,0.0,0.0
2024-06-13,0.0,31.529001646170236,46.22833349472258,10.29340563571221,0.0,11.949259223394984,0.0,0.0
2024-06-14,0.0,31.536675053222375,46.19701954712599,10.286433133346236,0.0,11.9798722663054,0.0,0.0
2024-06-17,0.0,31.540247678018574,48.123065015479874,10.284442724458204,0.0,10.052244582043343,0.0,0.0
2024-06-18,0.0,31.43272023233301,48.15101645692159,10.300096805421104,0.0,10.116166505324298,0.0,0.0
2024-06-19,0.0,31.409759876065063,48.160340821068935,10.311773818745158,0.0,10.118125484120837,0.0,0.0
2024-06-20,0.0,31.46947857211957,48.11840959659476,10.30279578214182,0.0,10.109316049143851,0.0,0.0
2024-06-21,0.0,31.502610713595047,48.09514600657513,10.297814736027847,0.0,10.104428543801973,0.0,0.0
2024-06-25,0.0,31.51585460170147,48.085846867749424,10.295823665893272,0.0,10.10247486465584,0.0,0.0
2024-06-26,0.0,31.502610713595047,48.09514600657513,10.297814736027847,0.0,10.104428543801973,0.0,0.0
2024-07-03,88.98642919349132,3.469562336840583,5.296992959927889,1.134157117475513,0.0,1.112858392264705,0.0,0.0
2024-07-05,88.98642919349132,3.468497400580043,5.296992959927889,1.134157117475513,0.0,1.1139233285252454,0.0,0.0
2024-07-08,88.99116768955834,3.4633571320069945,5.297275022940587,1.13421751094325,0.0,1.1139826445508352,0.0,0.0
