date,BANK OF CHINA (HONG KONG) LTD,REALINK FINANCIAL TRADE LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-04,3.1466666666666665,1.8950000000000002,0.0,0.0,0.0,0.0,5.041666666666666
2024-03-11,3.1460000000000004,1.8950000000000002,0.0,0.0,0.0,0.0,5.041
2024-03-20,3.1460000000000004,1.9003333333333334,0.0,0.0,0.0,0.0,5.046333333333333
2024-03-22,3.1460000000000004,1.9003333333333334,0.0,0.0,0.0006666666666666666,0.0,5.047
2024-03-25,3.137666666666666,1.9003333333333334,0.0,0.0,0.0006666666666666666,0.0,5.038666666666667
2024-03-26,3.139666666666667,1.9003333333333334,0.0,0.0,0.0006666666666666666,1.2323333333333333,6.273
2024-03-27,3.1456666666666666,1.9003333333333334,3.010666666666667,0.0,0.0006666666666666666,1.2323333333333333,9.289666666666667
2024-04-05,3.1426666666666665,1.9003333333333334,3.010666666666667,1.7446666666666666,0.0006666666666666666,1.2323333333333333,11.031333333333333
2024-04-10,3.1393333333333335,1.9016666666666668,3.010666666666667,1.7446666666666666,0.002333333333333333,1.2323333333333333,11.031
2024-04-17,3.137666666666666,1.9016666666666668,3.010666666666667,1.7446666666666666,0.002333333333333333,1.2323333333333333,11.029333333333332
2024-04-18,3.137666666666666,1.9016666666666668,3.010666666666667,1.7383333333333333,0.005666666666666666,1.2349999999999999,11.029
2024-04-19,3.137666666666666,1.9016666666666668,3.010666666666667,1.7383333333333333,0.006333333333333333,1.2349999999999999,11.029666666666667
2024-04-22,3.137666666666666,1.9016666666666668,3.010666666666667,1.7383333333333333,0.015666666666666666,1.2349999999999999,11.039
2024-04-24,3.137666666666666,1.9033333333333333,3.010666666666667,1.7383333333333333,0.016666666666666666,1.232,11.038666666666666
2024-04-25,3.137666666666666,1.9033333333333333,3.010666666666667,1.7383333333333333,0.017666666666666667,1.2316666666666667,11.039333333333333
2024-05-08,3.137666666666666,1.9033333333333333,3.010666666666667,1.7399999999999998,0.017666666666666667,1.2316666666666667,11.040999999999999
2024-05-09,3.137666666666666,1.91,3.010666666666667,1.7399999999999998,0.021666666666666667,1.2316666666666667,11.051666666666666
2024-05-22,3.137666666666666,1.91,3.010666666666667,1.7426666666666666,0.021666666666666667,1.2316666666666667,11.054333333333332
2024-05-23,3.137666666666666,1.91,3.0140000000000002,1.7426666666666666,0.021666666666666667,1.2316666666666667,11.057666666666668
2024-05-24,3.137666666666666,1.9093333333333333,3.0140000000000002,1.7426666666666666,0.021666666666666667,1.2316666666666667,11.057
2024-05-30,3.1273333333333335,1.9093333333333333,3.0140000000000002,1.7426666666666666,0.03833333333333334,1.2316666666666667,11.063333333333333
2024-05-31,3.0856666666666666,1.9093333333333333,3.0140000000000002,1.7426666666666666,0.08,1.2316666666666667,11.063333333333333
2024-06-24,3.0856666666666666,1.9093333333333333,3.0140000000000002,1.7420000000000002,0.08,1.2316666666666667,11.062666666666667
2024-07-05,3.083,1.9093333333333333,3.0140000000000002,1.7446666666666666,0.08,1.2316666666666667,11.062666666666667
2024-07-11,3.083,1.9193333333333333,3.0140000000000002,1.7346666666666666,0.08,1.2316666666666667,11.062666666666667
2024-07-12,2.9446666666666665,1.9526666666666668,2.9373333333333336,1.7409999999999999,0.165,1.2316666666666667,10.972333333333333
2024-07-15,2.9563333333333333,1.9663333333333335,2.9373333333333336,1.7409999999999999,0.165,1.2316666666666667,10.997666666666667
2024-07-29,2.956,1.9663333333333335,2.9373333333333336,1.7409999999999999,0.17733333333333334,1.2316666666666667,11.009666666666666
2024-08-02,2.8893333333333335,2.0436666666666667,2.9373333333333336,1.7409999999999999,0.17733333333333334,1.2316666666666667,11.020333333333333
2024-08-09,2.8853333333333335,2.072,2.9373333333333336,1.7409999999999999,0.17733333333333334,1.2316666666666667,11.044666666666666
2024-08-12,2.8776666666666664,2.072,2.9373333333333336,1.7409999999999999,0.185,1.2316666666666667,11.044666666666666
2024-08-16,2.8776666666666664,2.072,2.9373333333333336,1.7409999999999999,0.6689999999999999,1.2316666666666667,11.528666666666666
2024-08-22,2.8776666666666664,2.0786666666666664,2.9306666666666668,1.7409999999999999,0.6689999999999999,1.2316666666666667,11.528666666666666
2024-08-26,2.8776666666666664,2.0820000000000003,2.9306666666666668,1.7443333333333335,0.6693333333333333,1.2316666666666667,11.535666666666666
2024-09-04,2.876,2.090666666666667,2.9306666666666668,1.7443333333333335,0.6693333333333333,1.2316666666666667,11.542666666666666
2024-09-10,2.876,2.099666666666667,2.9216666666666664,1.7443333333333335,0.6693333333333333,1.2316666666666667,11.542666666666666
2024-09-11,2.876,2.1229999999999998,2.9216666666666664,1.7443333333333335,0.6693333333333333,1.2316666666666667,11.566
2024-09-12,2.876,2.126333333333333,2.9116666666666666,1.7443333333333335,0.6693333333333333,1.2316666666666667,11.559333333333335
2024-09-24,2.8729999999999998,2.126333333333333,2.9116666666666666,1.7473333333333334,0.6693333333333333,1.2316666666666667,11.559333333333335
2024-09-26,2.8696666666666664,2.126333333333333,2.9116666666666666,1.7473333333333334,0.6693333333333333,1.2316666666666667,11.556
2024-09-27,2.8696666666666664,2.126333333333333,2.9116666666666666,1.746,0.6693333333333333,1.2316666666666667,11.554666666666668
2024-10-04,2.868,2.1510000000000002,2.725,1.746,0.836,1.2313333333333334,11.557333333333334
2024-10-07,2.8636666666666666,2.1510000000000002,2.725,1.746,0.836,1.2313333333333334,11.552999999999999
