date,CHEONG LEE SECURITIES LTD,PRUDENTIAL BROKERAGE LTD,FUTU SECURITIES INTERNATIONAL,CHEER UNION SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CHINA MERCHANTS BANK CO LTD,THEIA SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT,VALUABLE CAPITAL LTD
2024-03-04,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-07,0.0,0.0,49.67854406555702,47.42335580008661,0.0,0.0,0.0,0.0,0.0,2.8981001343563664
2024-03-11,0.0,0.0,49.634128737827425,47.46777112781621,0.0,0.0,0.0,0.0,0.0,2.8981001343563664
2024-03-14,0.0,0.0,49.9003995147954,46.9057078311577,0.0,0.0,0.0,0.0,0.0,3.1938926540468953
2024-03-15,0.0,0.0,46.73705714970659,43.9322083363734,0.0,0.0,0.0,0.0,6.339312702598472,2.9914218113215414
2024-03-18,46.73301841233188,0.0,24.568278832756967,23.396484060593615,0.0,0.0,0.0,0.0,3.6980088925401473,1.6042098017773978
2024-03-19,46.77975896116597,0.0,24.62618977501931,22.953142450728173,0.0,0.0,0.0,0.0,4.0350945430097065,1.6058142700768459
2024-03-20,55.01077307997427,0.0,20.804483854462497,19.419239453412885,0.0,0.0,0.0,0.0,3.408893541315583,1.356610070834761
2024-03-21,55.01077307997427,0.0,20.05341945538443,19.419239453412885,0.0,0.0,0.0,0.0,4.159957940393651,1.356610070834761
2024-03-22,55.00560898564194,0.0,20.09847407428268,19.41741648713219,0.0,0.0,0.0,0.0,4.159567427517355,1.3189330254258371
2024-03-25,54.95402131760226,0.0,20.173410675682646,19.399205630923184,0.0,0.0,0.0,0.0,4.155666327473259,1.317696048318648
2024-03-26,54.58542742825736,0.0,19.96357555742905,20.014346199887278,0.0,0.0,0.0,0.0,4.127792967567341,1.308857846858974
2024-03-27,54.58034287949849,0.0,19.971030827484388,20.01248189426718,0.0,0.0,0.0,0.0,4.127408469989893,1.3087359287600542
2024-03-28,54.58034287949849,0.0,19.961715981016344,20.02179674073522,0.0,0.0,0.0,0.0,4.127408469989893,1.3087359287600542
2024-04-11,50.795150643012256,0.0,18.577354352414925,25.568351747424266,0.0,0.0,0.0,0.0,3.841169255042022,1.2179740021065315
2024-04-15,50.79074766719687,0.0,18.575744048263996,25.56613545644062,0.0,0.0,0.0,0.0,3.8408362985467925,1.2265365295517292
2024-04-16,50.742365263627356,0.0,18.6446475659339,25.54178159003425,0.0,0.0,0.0,0.0,3.837177583123693,1.2340279972808086
2024-04-17,50.76434583345968,0.0,18.488115710999736,25.656808937366527,0.0,0.0,0.0,0.0,3.8388397711077706,1.2518897470662895
2024-04-19,56.366630708930444,0.0,16.376765416079632,22.73744582346415,0.0,0.0,0.0,0.0,3.4020369225808187,1.1171211289449539
2024-04-22,53.370020754806134,0.0,15.331658894215916,21.528658716109874,5.4762155737377185,0.0,0.0,0.0,3.221174991003827,1.0722710701265281
2024-04-23,53.31963090599433,0.0,15.41159937104406,21.508332213656185,5.471045149013897,0.0,0.0,0.0,3.218133685819803,1.0712586744717243
2024-04-24,53.25387988408404,0.0,15.349071693076596,21.48906306103722,5.464298537993668,0.0,0.0,0.0,3.373749170344955,1.069937653463515
2024-04-25,53.277067602332394,0.0,15.30495614974038,21.50567676716365,5.466677794025334,0.0,0.0,0.0,3.3752181627521347,1.0704035239861103
2024-04-26,52.38802029442618,0.0,14.999607526920085,21.018360604265826,5.47535625851845,0.0,0.0,1.711539422136909,3.3188950812419273,1.088220812490634
2024-04-29,52.343198556934766,0.0,15.001033816494008,20.94333972635947,5.470671695530347,0.0,0.0,1.7100750764667716,3.3160555266403815,1.215625601574253
2024-04-30,52.302179287154395,0.0,14.846794474484742,21.190521988786536,5.466384549074925,0.0,0.0,1.7087349590715766,3.1567248712304172,1.328659870197411
2024-05-02,52.62459948246324,0.0,14.888141813672432,21.349824739977205,5.464241937680547,0.0,0.0,1.0884758470901101,3.1761847075773972,1.4085314715390624
2024-05-03,52.658571049441605,0.0,14.861889152685828,21.334916114964457,5.467769353809077,0.0,0.0,1.08917850764254,3.1782350789358547,1.4094407425206397
2024-05-10,52.654794265099305,0.0,14.860823226491283,21.34055814153643,5.46737719380034,0.0,0.0,1.0891003894511107,3.17800712917871,1.4093396544428267
2024-05-16,52.654794265099305,0.0,14.853651014509383,21.34773035351833,5.46737719380034,0.0,0.0,1.0891003894511107,3.17800712917871,1.4093396544428267
2024-05-20,52.647242321455465,0.0,15.661864364238742,19.48733210467059,5.466593042517945,0.0,0.0,1.088944186680244,3.1775513277445913,2.470472652692421
2024-05-21,52.643467161920874,0.0,15.660741303771056,19.49310540166503,5.466201051220089,0.0,0.0,1.0888661020959864,3.1773234760535507,2.4702955032734106
2024-05-22,52.63969254375587,0.0,15.659618404353717,19.498877870750785,5.4658091161349995,0.0,0.0,1.0887880287093004,3.1770956570371487,2.470118379258176
2024-05-23,52.62082756940014,0.0,15.646838736498061,19.49188987721926,5.506855795351105,0.0,0.0,1.0883978296551675,3.175957051828809,2.4692331400474496
2024-05-24,52.504165862101026,0.0,15.46196371230163,19.448675863745915,5.866535075486136,0.0,0.0,1.0859848241040715,3.1689158746164905,2.4637587876447324
2024-05-27,52.99306322498683,0.0,16.04625479113883,18.25829922692133,5.9211618556775445,0.0,0.0,1.0960970715404548,3.198423525845081,2.4867003038899353
2024-05-28,53.29698650424328,0.0,15.608325408175858,18.319455233144826,5.955120619686817,0.0,0.0,1.1023833549913973,3.2167669713314995,2.5009619084263175
2024-05-29,51.43991700354166,0.0,17.894322612957463,18.076413980610308,5.869137480771295,0.0,0.0,1.086466568883483,3.17032161127607,2.4634207419597183
2024-05-30,50.56286203504682,0.0,18.20831359976684,18.408320886006777,5.976902619403257,0.0,0.0,1.1064155342635433,3.22853291558891,2.508652409923859
2024-06-03,50.49663452792432,0.0,18.31544478806622,18.384209568855738,5.969074040385665,0.0,0.0,1.104966345279243,3.224304165908677,2.5053665635801345
2024-06-04,50.32087306479098,0.0,18.25169500743265,18.30571770421667,6.310866175990719,0.0,0.0,1.1011203364635074,3.2130814691272978,2.4966462419781736
2024-06-05,50.11800588213936,0.0,18.285465306270652,18.237899858392943,6.537888965542282,0.0,0.0,1.1027195817145345,3.217748084673759,2.5002723212664755
2024-06-07,50.114366626729115,0.0,18.27687615728134,18.251098282685255,6.537414225029953,0.0,0.0,1.1026395091311767,3.217514431979087,2.5000907671640706
