date,FUTU SECURITIES INTERNATIONAL,TIGER BROKERS (HK) GLOBAL LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),AGRICULTURAL BANK OF CHINA LTD,PRUDENTIAL BROKERAGE LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,ORIENT SECURITIES (HONG KONG) LTD,BNP PARIBAS,CHINA RENAISSANCE BROKING SERVICES (HONG,CMB INTERNATIONAL SECURITIES LTD
2025-03-10,19476642.0,0.0,1500000.0,5500000.0,2866500.0,2425500.0,0.0,52500.0,701637.0,13533000.0
2025-03-12,20357314.0,1906143.0,1495500.0,0.0,2895500.0,2118000.0,142500.0,0.0,486137.0,29573909.0
2025-03-13,20397314.0,2723643.0,0.0,0.0,2899500.0,0.0,207500.0,0.0,234637.0,28689909.0
2025-03-14,20393814.0,2419643.0,0.0,0.0,2909500.0,0.0,443500.0,1365898.0,175728.0,28670909.0
2025-03-17,20357314.0,2041643.0,0.0,0.0,2904500.0,2180000.0,677000.0,0.0,0.0,32074311.0
2025-03-18,20369814.0,1856643.0,0.0,0.0,2906000.0,2220000.0,869000.0,1366898.0,0.0,31929311.0
2025-03-19,20384314.0,1807643.0,0.0,0.0,2915500.0,2179000.0,730500.0,1367898.0,0.0,31929811.0
2025-03-20,20384814.0,1798643.0,3575236.0,0.0,2919500.0,2189000.0,830500.0,1367398.0,0.0,31902811.0
2025-03-21,20384314.0,1799143.0,0.0,0.0,0.0,2124500.0,428000.0,1366398.0,0.0,31865811.0
2025-03-25,20375314.0,1857143.0,3644236.0,0.0,0.0,2209000.0,72000.0,1366898.0,0.0,33611134.0
2025-03-26,20394314.0,0.0,3646187.0,0.0,0.0,0.0,313000.0,1367898.0,0.0,33558634.0
2025-03-28,20397314.0,0.0,0.0,0.0,0.0,2230500.0,1290500.0,1365898.0,0.0,33528134.0
2025-03-31,20387814.0,0.0,0.0,0.0,0.0,2260000.0,1630500.0,1371898.0,0.0,33493134.0
2025-04-01,20442814.0,1959643.0,0.0,0.0,0.0,2300000.0,1287000.0,1373398.0,0.0,33394634.0
2025-04-02,20456314.0,2145143.0,0.0,0.0,0.0,2325500.0,786500.0,1375398.0,0.0,33370134.0
2025-04-03,20459314.0,2194143.0,0.0,0.0,0.0,2425500.0,667000.0,1366898.0,0.0,33291134.0
2025-04-07,20468814.0,2208143.0,3536687.0,0.0,2889500.0,2538500.0,0.0,1327398.0,0.0,33289134.0
2025-04-08,20454314.0,2037643.0,3484687.0,0.0,0.0,2550000.0,944500.0,1308898.0,0.0,33431674.0
2025-04-09,20462314.0,2013143.0,3481187.0,0.0,0.0,0.0,971000.0,1308398.0,877365.0,0.0
2025-04-10,20458814.0,3684286.0,3394187.0,0.0,0.0,0.0,1123000.0,882898.0,1937037.0,33531714.0
2025-04-11,20457814.0,0.0,5447374.0,0.0,0.0,0.0,1260000.0,885398.0,1896128.0,33707123.0
2025-04-14,20466314.0,0.0,5445874.0,0.0,0.0,0.0,1407500.0,2138296.0,1852128.0,33697123.0
2025-04-15,20467814.0,4684286.0,4440374.0,0.0,0.0,0.0,1275000.0,2048296.0,0.0,33663123.0
2025-04-22,20476814.0,4692786.0,4366374.0,0.0,0.0,2600000.0,861500.0,2037296.0,1851628.0,37106025.0
2025-04-23,20499814.0,4749786.0,4362874.0,0.0,0.0,2606000.0,549000.0,2039796.0,0.0,37100025.0
2025-04-24,20528314.0,4650786.0,4365374.0,0.0,0.0,2650000.0,306500.0,1923296.0,0.0,37225025.0
2025-04-25,20592314.0,4552286.0,4368374.0,0.0,2890500.0,2701000.0,185000.0,1887296.0,0.0,39009348.0
2025-04-28,20591314.0,4477286.0,0.0,0.0,2889500.0,2750000.0,94500.0,0.0,0.0,38924348.0
2025-04-29,20613314.0,4545286.0,0.0,0.0,0.0,2820000.0,1000.0,0.0,0.0,38898848.0
2025-04-30,20637314.0,4641286.0,4363374.0,0.0,0.0,2850000.0,0.0,1909296.0,0.0,38888848.0
2025-05-02,20640314.0,4638786.0,4207874.0,4000000.0,2892500.0,2850500.0,2044500.0,1922296.0,0.0,0.0
