date,ABN AMRO CLEARING HONG KONG LTD,INTERACTIVE BROKERS HONG KONG LTD,BNP PARIBAS,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-04-15,71.75438596491229,0.0,0.0,0.0,28.24561403508772,0.0,0.0
2024-04-24,38.47472150814053,47.72922022279349,0.0,0.0,13.79605826906598,0.0,0.0
2024-05-07,26.509723643807575,57.01125895598772,0.0,0.0,16.47901740020471,0.0,0.0
2024-05-14,25.48618219037871,58.034800409416576,0.0,0.0,16.47901740020471,0.0,0.0
2024-05-21,7.164790174002047,76.35619242579324,0.0,0.0,16.47901740020471,0.0,0.0
2024-06-13,71.78306472243541,19.084164748017397,5.014070094653364,0.0,4.118700434893835,0.0,0.0
2024-06-20,71.76862042487842,19.09393396467878,5.0166368057333,0.0,4.120808804709496,0.0,0.0
2024-07-08,71.78306472243541,19.084164748017397,5.014070094653364,0.0,4.118700434893835,0.0,0.0
2024-07-29,59.28386858619417,27.53783684016242,7.235142118863049,0.0,5.943152454780361,0.0,0.0
2024-08-12,60.021747009786154,27.038782167451973,7.104023196810438,0.0,5.835447625951431,0.0,0.0
2024-08-22,53.98793565683646,25.0,6.568364611260054,9.048257372654156,5.39544235924933,0.0,0.0
2024-08-23,54.32305630026809,24.664879356568363,6.568364611260054,9.048257372654156,5.39544235924933,0.0,0.0
2024-08-29,57.9088471849866,19.302949061662197,8.34450402144772,9.048257372654156,5.39544235924933,0.0,0.0
2024-08-30,88.97181490912284,5.0575116340328385,2.1863201334621123,2.370708578452893,1.4136447449293177,0.0,0.0
2024-09-03,4.486692015209125,43.8022813688213,18.935361216730037,20.53231939163498,12.243346007604563,0.0,0.0
2024-09-04,4.341203351104341,43.869002284843866,18.964204112718964,20.563594821020565,12.261995430312261,0.0,0.0
2024-10-04,3.198781416603199,43.869002284843866,18.964204112718964,20.563594821020565,12.261995430312261,1.1424219345011426,0.0
2024-10-09,4.43609022556391,43.30827067669173,18.721804511278194,20.30075187969925,12.105263157894736,1.1278195488721803,0.0
2024-10-28,39.24474187380497,27.533460803059274,11.90248565965583,12.906309751434033,7.695984703632887,0.7170172084130019,0.0
2024-10-29,46.663869072597564,24.171212757028957,10.449013848090642,11.330255979857323,6.756189676877885,0.629458665547629,0.0
2024-11-06,45.740663029794376,24.171212757028957,10.449013848090642,12.253462022660512,6.756189676877885,0.629458665547629,0.0
2024-12-04,45.698699118757865,24.171212757028957,10.449013848090642,12.295425933697022,6.756189676877885,0.629458665547629,0.0
2024-12-06,48.510281158203945,24.171212757028957,10.449013848090642,9.483843894250944,6.756189676877885,0.629458665547629,0.0
2025-02-07,45.44691565253881,27.234578262694082,10.449013848090642,9.483843894250944,6.756189676877885,0.629458665547629,0.0
2025-03-13,45.488879563575324,27.234578262694082,10.449013848090642,9.441879983214434,6.756189676877885,0.629458665547629,0.0
2025-03-26,45.06924045321024,27.65421737305917,10.449013848090642,9.441879983214434,6.756189676877885,0.629458665547629,0.0
2025-03-27,44.95374264087468,27.712363330529854,10.47098402018503,9.461732548359967,6.770395290159797,0.6307821698906644,0.0
2025-04-01,45.06924045321024,27.65421737305917,10.449013848090642,9.441879983214434,6.756189676877885,0.629458665547629,0.0
