date,DBS BANK LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CHINA SECURITIES DEPOSITORY AND CLEARING,DEUTSCHE BANK AG,CITIBANK N.A.,VALUABLE CAPITAL LTD,UOB KAY HIAN (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,16.69310378823086,0.0,0.0,5.181507907755576,0.0,0.0,0.0,0.0,21.87461169598644
2024-03-04,0.0,16.692706660536338,0.0,0.0,5.1822624503751715,0.9470304131309478,0.0,0.0,0.0,22.821999524042457
2024-03-05,0.0,16.692706660536338,0.0,0.0,5.1822624503751715,0.9470701259004002,0.0,0.0,0.0,22.82203923681191
2024-03-06,0.0,16.692666947766888,0.0,0.0,5.1822624503751715,0.9470701259004002,0.0,0.0,0.0,22.821999524042457
2024-03-08,0.0,16.69234924561127,0.0,0.0,5.184208376078338,0.9484997856006859,0.0,0.0,0.46997163614723786,23.29502904343753
2024-03-11,0.0,16.691991830686195,0.0,0.0,5.184168663308886,0.9484997856006859,0.0,1.5225875808043168,0.46997163614723786,24.81721949654732
2024-03-12,0.0,16.691793266838932,0.0,0.0,5.184168663308886,0.9493337537591859,0.0,1.5225875808043168,0.46997163614723786,24.81785490085856
2024-03-13,0.0,16.69139613914441,0.0,0.0,5.184168663308886,0.9493337537591859,0.0,1.5225875808043168,0.46997163614723786,24.817457773164037
2024-03-14,0.0,16.69103872421934,0.0,0.0,5.184089237769981,0.9505648496122099,0.0,1.5225875808043168,0.46997163614723786,24.818252028553083
2024-03-19,52.33637668832635,16.690999011449886,0.0,0.0,5.184009812231076,0.9505648496122099,0.0,1.5225875808043168,0.46997163614723786,77.15450957857108
2024-03-20,52.33637668832635,16.69076073483317,0.0,0.0,5.184009812231076,0.9528284774709955,0.0,1.5225875808043168,0.46997163614723786,77.15653492981313
2024-03-21,52.33637668832635,16.68754400050753,0.0,0.0,5.183930386692172,0.9548141159436146,0.0,1.5325157731674122,0.46997163614723786,77.16515260078431
2024-03-22,52.33637668832635,16.686988021735196,0.0,0.0,5.183890673922719,0.9548141159436146,0.0,1.5325157731674122,0.46997163614723786,77.16455690924252
2024-03-25,52.33637668832635,16.68686888342684,0.0,0.0,5.183890673922719,0.9548935414825193,0.0,1.5325157731674122,0.46997163614723786,77.16451719647307
2024-03-26,52.33637668832635,16.696797075789934,0.0,0.0,5.183890673922719,0.9548935414825193,0.0,1.5325157731674122,0.46997163614723786,77.17444538883616
2024-03-27,52.33637668832635,16.693262639308674,0.0,0.0,5.183771535614362,0.9548935414825193,0.0,1.5325157731674122,0.46997163614723786,77.17079181404655
2024-03-28,52.33637668832635,16.6853995109571,0.0,0.0,5.1835729717671,0.9548935414825193,0.0,1.5384726885852693,0.46997163614723786,77.16868703726557
2024-04-02,52.33637668832635,16.68428755341243,0.0,0.0,5.183453833458743,0.9548935414825193,0.0,1.5389492418186979,0.46997163614723786,77.16793249464598
2024-04-03,52.33637668832635,16.732379717219267,0.0,0.0,5.1834141206892905,0.9555289457937575,0.0,1.5488774341817935,0.46997163614723786,77.22654854235769
2024-04-05,52.33637668832635,16.725310844256743,0.0,0.0,5.183215556842029,0.9556480841021145,0.0,1.5488774341817935,0.46997163614723786,77.21940024385626
2024-04-08,52.33637668832635,16.72304721639796,0.0,0.0,5.182858141916958,0.9557275096410195,0.0,1.5494731257235792,0.46997163614723786,77.21745431815309
2024-04-09,52.33637668832635,16.72257066316453,0.0,0.0,5.182818429147505,0.9557275096410195,0.0,1.550307093882079,0.46997163614723786,77.21777202030871
2024-04-10,52.33637668832635,16.72026732253629,0.3772315970281743,0.0,5.182818429147505,0.9566806161078766,0.0,1.550307093882079,0.46997163614723786,77.5936533831755
2024-04-11,52.33637668832635,16.71705058821065,0.3772315970281743,0.0,5.184208376078338,0.9566806161078766,0.0,1.550307093882079,0.46997163614723786,77.5918265957807
2024-04-12,52.33637668832635,16.703587959366292,0.3772315970281743,0.0,5.214509219170505,0.9970287898714965,0.0,1.550505657729341,0.46997163614723786,77.64921154763938
2024-04-15,52.33637668832635,16.71240419418472,0.3772315970281743,0.0,5.225152241383744,0.9969493643325916,0.0,1.550505657729341,0.46997163614723786,77.66859137913215
2024-04-16,52.33637668832635,16.71240419418472,0.3772315970281743,0.0,5.228329262939934,0.9969493643325916,0.0,1.5506645088071505,0.46997163614723786,77.67192725176615
2024-04-17,52.33637668832635,16.71240419418472,0.3772315970281743,0.0,5.231307720648863,0.9969493643325916,0.0,1.5506645088071505,0.46997163614723786,77.67490570947508
2024-04-19,52.33637668832635,16.71256304526253,0.3772315970281743,0.0,5.231307720648863,0.9969493643325916,0.0,1.5507439343460554,0.46997163614723786,77.6751439860918
2024-04-22,52.33637668832635,16.71256304526253,0.3772315970281743,0.0,5.231307720648863,1.0043756522201872,0.0,1.5507439343460554,0.46997163614723786,77.6825702739794
2024-04-23,52.33637668832635,16.710974534484436,0.3772315970281743,0.0,5.231307720648863,1.0044947905285442,0.0,1.5488774341817935,0.46997163614723786,77.67923440134538
2024-04-25,52.33637668832635,16.70771808738934,0.3772315970281743,0.0,5.23210197603791,1.0044947905285442,0.0,1.5488774341817935,0.46997163614723786,77.67677220963934
2024-04-26,52.33637668832635,16.704858767988767,0.3772315970281743,0.0,5.2107365060725295,1.0044153649896395,0.0,1.5488774341817935,0.46997163614723786,77.65246799473448
2024-04-29,52.33637668832635,16.704858767988767,0.3772315970281743,0.0,5.2052958566575525,1.0044153649896395,0.0,1.5488774341817935,0.46997163614723786,77.64702734531951
2024-04-30,52.33637668832635,16.704858767988767,0.3772315970281743,0.0,5.202595388334791,1.0044153649896395,0.0,1.5488774341817935,0.46997163614723786,77.64432687699674
2024-05-02,52.33637668832635,16.704858767988767,0.3772315970281743,0.0,5.202873377720958,1.0044153649896395,0.0,1.5488774341817935,0.46997163614723786,77.64460486638292
