date,BANK OF CHINA (HONG KONG) LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD,VALUABLE CAPITAL LTD,THE HONGKONG AND SHANGHAI BANKING,HAFOO SECURITIES LTD,ARISTO SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,CMB WING LUNG BANK LTD
2024-03-01,0.0,49.900723888314374,0.0,0.0,30.237849017580142,19.86142709410548,0.0,0.0,0.0
2024-03-04,31.342518176228772,22.17357459858818,16.818353510762368,0.0,13.468468344274454,8.825499932450874,7.3715854376953525,0.0,0.0
2024-03-05,31.37717837625884,22.18945395736628,16.862770004519444,0.0,13.489295546737578,8.839147399203068,7.242154715914792,0.0,0.0
2024-03-06,31.37717837625884,22.20694263804782,16.873815487055154,0.0,13.471806866056035,8.828101916667357,7.242154715914792,0.0,0.0
2024-03-07,31.37717837625884,22.187613043610327,16.860008633885514,0.0,13.493897831127457,8.839147399203068,7.242154715914792,0.0,0.0
2024-03-08,31.380066776088377,22.208066337910573,16.87536879198245,0.0,13.472126460324196,8.830755663402119,7.2336159702922815,0.0,0.0
2024-03-11,31.378044840374564,22.205714906382347,16.874281448507762,0.0,13.496111422540954,8.80625412491129,7.239593257283087,0.0,0.0
2024-03-12,31.453901069141242,22.25847437687252,16.915074919240023,0.0,13.496443423724841,8.860760661655135,7.015345549366238,0.0,0.0
2024-03-13,31.453901069141242,22.228947735075895,16.915074919240023,0.0,13.524124650409174,8.862606076767424,7.015345549366238,0.0,0.0
2024-03-14,31.453268583270972,22.260525191532786,16.914308281284455,0.0,13.49379980936686,8.862687853457924,7.0154102810869965,0.0,0.0
2024-03-15,31.453268583270972,22.260525191532786,16.882935934900537,0.0,13.52517215575078,8.862687853457924,7.0154102810869965,0.0,0.0
2024-03-18,31.453268583270972,22.260525191532786,16.915230997354573,0.0,13.524249439680666,8.831315507074002,7.0154102810869965,0.0,0.0
2024-03-19,31.452636085728496,22.260730594871312,16.915387078349468,0.0,13.49392431997505,8.86184690707333,7.015475014002345,0.0,0.0
2024-03-20,31.45171336114425,22.230280683591282,16.91630980293371,0.0,13.523451506670837,8.862769631657573,7.015475014002345,0.0,0.0
2024-03-21,31.45171336114425,22.25980787028707,16.915387078349468,0.0,13.494847044559293,8.862769631657573,7.015475014002345,0.0,0.0
2024-03-22,31.450552553223098,22.24514595580128,16.916608152708974,0.0,13.522029697717356,8.848602169983586,7.017061470565711,0.0,0.0
2024-03-25,31.450552553223098,22.259909004260063,16.916608152708974,0.0,13.493426291328461,8.862442527913696,7.017061470565711,0.0,0.0
2024-03-26,31.450552553223098,22.231305597871167,16.916608152708974,0.0,13.522029697717356,8.862442527913696,7.017061470565711,0.0,0.0
2024-03-27,31.45113294647281,22.261242499540952,16.91692033435231,0.0,13.507515914398574,8.847842755869111,7.015345549366238,0.0,0.0
2024-03-28,27.679261771566317,19.593558531339948,14.890292315589083,11.983948307116544,11.87714818496644,7.800875842218454,6.174915047203218,0.0,0.0
