date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,MERRILL LYNCH FAR EAST LTD,CHINA RENAISSANCE BROKING SERVICES (HONG,DBS BANK (HONG KONG) LTD,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD
2024-03-01,70.79969568648437,6.180461136282823,4.785488260278486,0.1272804382723708,3.5632457784566425,7.935898385099287,0.0,3.0078453853651643,1.9985884402350056,1.6014964895258603
2024-03-04,70.70187439905335,6.199845374944563,4.739556766495358,0.1262733373832218,3.558958615321746,7.927402065649913,0.0,3.0028887314554558,2.1544413189539457,1.5887593907424367
2024-03-05,70.64626803462491,6.241332168999978,4.672031712543524,0.12617402458174645,3.548539995659191,7.922975262427656,0.0,3.000526987490976,2.268977018949311,1.5731747947227073
2024-03-06,70.52942240699478,6.279359444268794,4.668561512249311,0.123352953168236,3.5397515869371357,7.96545451463631,0.0,3.0168110926334926,2.294665027819253,1.5826214612926954
2024-03-07,70.49198850382868,6.39825199462984,4.633125262535142,0.11810316033668113,3.499139572459442,7.967910818015513,0.0,3.0148628585553965,2.2898142832028174,1.5868035464364878
2024-03-08,70.471550880705,6.430696375378439,4.570909216225758,0.11378351854404552,3.5473111275368585,7.954697874916297,0.0,3.013888883879404,2.2934857707625027,1.6036763520517008
2024-03-11,70.3603749943478,6.455894693489582,4.577289952986552,0.114623852417071,3.4807211000002196,7.961472165463068,0.0,3.008961155020622,2.413971353432187,1.6266907328428972
2024-03-12,70.34534413122377,6.251204923113561,4.355369221091963,0.19084657981203274,3.3530040496092637,8.204812671156285,0.0,3.0097380888724006,2.6397559028247075,1.649924432296019
2024-03-13,70.41284111463831,6.205517348557852,4.404291104321521,0.15448508720002566,3.3789953364181473,8.167960661093826,0.0,3.013936993476954,2.596812548852748,1.6651598054406098
2024-03-14,70.48170592925625,6.208975745320884,4.467227522102387,0.1555837303125506,3.4101543093701614,8.055255890429994,0.0,3.0137390299553286,2.5514535410894057,1.6559043021630384
2024-03-15,70.47013963143124,6.213509597932713,4.442246629167455,0.15556393132089766,3.4686737207123564,8.019689845361482,0.0,3.0133555130298864,2.561257406189735,1.6555637248542334
2024-03-18,70.40933947002007,6.225404293276348,4.500170769277145,0.1481642060739579,3.4580262900484757,8.028080087995058,0.0,3.0110151353945698,2.562420878456322,1.6573788694580576
2024-03-19,70.41065318232937,6.2216370878980225,4.502631099624212,0.1481888156057723,3.463401877770469,8.062113738914617,0.0,3.012293830554274,2.520647636710086,1.6584327305931723
2024-03-20,70.36477432945847,6.2129714279740895,4.5063063270851185,0.1436665176897512,3.4790258551263755,8.110513401707637,0.0,3.0099815760843445,2.5214356990307882,1.6513248658434319
2024-03-21,70.27753324056455,6.206045349454143,4.716805368004792,0.14050983906486195,3.466553767515131,8.084787869910608,0.0,3.006249679368259,2.4517193899534844,1.6497954961641688
