date,CHINA INDUSTRIAL SECURITIES,BRIGHT SMART SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,NANYANG COMMERCIAL BANK LTD,INNOVAX SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,EMPEROR SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CINDA INTERNATIONAL SECURITIES LTD
2024-03-01,20.4029147021003,33.82626089441349,15.495070724389198,0.0,0.0,14.316330904414917,0.0,9.77282468924132,6.186598085440777
2024-03-04,22.85072636676258,33.05495122464735,15.222120850586007,0.0,0.0,13.544810162116642,0.0,9.249771913818513,6.077619482068917
2024-03-05,25.6723544694895,31.648058422863564,14.4863422512464,0.0,0.0,13.622638859630646,0.0,8.489572361491469,6.081033635278422
2024-03-06,25.587905935050394,31.543952967525197,13.843784994400895,0.0,0.0,13.75979843225084,0.0,8.46164613661814,6.802911534154535
2024-03-07,25.059976694770032,31.174172321612176,13.969429021865789,0.0,0.0,13.94886558365892,0.0,8.28021111796559,7.567345260127493
2024-03-08,24.73111005885138,30.710951768923767,15.13901102617872,0.0,0.0,13.657579652303323,0.0,8.191841980653454,7.56950551308936
2024-03-11,24.916513323792,30.307367273222923,15.86587609895727,0.0,0.0,13.112519593811763,0.0,8.116949499079942,7.6807742111361
2024-03-12,24.899543689981613,29.789552543758084,16.304569910781176,0.0,0.0,13.144452768507797,0.0,8.111421371654295,7.750459715317033
2024-03-13,21.61267439110901,25.431544100260105,14.57791440056751,0.0,13.283282099787183,11.302908489004492,0.0,7.040671553558761,6.751004965712934
2024-03-14,21.481873200540573,25.148363593630645,15.34755273517833,0.0,13.144133027792467,11.169868969974734,0.0,6.998060990657501,6.710147482225748
2024-03-15,21.44155767990147,25.259515570934255,15.35980294410885,0.0,13.119465134009737,11.137176705178582,0.0,6.984927570230486,6.69755439563662
2024-03-18,21.411420204978036,25.224011713030748,15.496339677891655,0.0,13.089311859443631,11.150805270863836,0.0,6.975109809663251,6.6530014641288435
2024-03-19,21.367621274108707,25.17241379310345,15.669199298655755,0.0,13.062536528345998,11.127995324371714,0.0,6.960841613091759,6.639392168322618
2024-03-20,21.3688701852826,25.0628324273774,15.816237068209716,0.0,13.063300017534631,11.12280086504179,0.0,6.926179203927757,6.639780232626104
2024-03-21,21.371368445665517,25.065762553340736,15.818086163558778,0.0,13.064827263693225,11.124101245104344,0.0,6.91529783129713,6.64055649734027
2024-03-22,21.36387541635014,25.074504762461284,15.812540174136622,0.0,13.06024659615497,11.137731549114708,0.0,6.912873254251155,6.638228247531116
2024-03-25,21.421456612175543,24.556161012480224,15.943047987343997,0.0,13.095447354543857,11.39626179176188,0.0,6.931505244038203,6.656119997656296
2024-03-26,21.491975780377402,24.401857621539005,16.14249603197931,0.0,13.050379166421727,11.280935865028512,0.0,6.954323672917524,6.678031861736524
2024-03-27,22.73578282237304,24.122396442780246,15.902176456821904,0.0,12.98853264685233,11.19237069974257,0.0,6.90966534051018,6.149075590919729
2024-03-28,23.598992797329743,23.850793464894302,15.512092287872578,0.0,12.853545704749077,11.465714118404872,0.0,6.85717631902559,5.861685307723839
2024-04-02,21.796003114456266,20.949909161692187,13.091097845834415,11.300285491824551,11.315857773163769,10.521671424863742,0.0,6.067998961847911,4.957176226317155
2024-04-03,22.372881355932204,20.729327170005135,12.948125321006676,11.18130457113508,11.196712891628145,10.66255778120185,0.0,6.0041088854648175,4.904982023626092
2024-04-05,22.22789202428943,20.870541409399397,12.86421391029239,11.108843190284228,11.124151655865694,10.858804919120274,0.0,5.965198754911466,4.980354135837118
2024-04-08,22.144273295714502,20.654770982664836,13.059834273804077,11.067053022215443,11.082303899140868,10.680697473438055,0.0,5.93259112398963,5.378475929032586
2024-04-09,22.139771283354513,20.67090216010165,13.0571791613723,11.064803049555273,11.08005082592122,10.678526048284626,0.0,5.93138500635324,5.377382465057179
2024-04-10,22.12515237708249,20.69280780170662,12.682852498984154,11.057496952458349,11.072734660707031,10.915278342137343,0.0,5.90207232832182,5.551605038602194
2024-04-11,22.120658135283364,20.68860450944546,12.680276254316475,11.05525086329474,11.070485476335568,10.938452163315052,0.0,5.8957952468007315,5.550477351208612
2024-04-12,21.620011911852295,20.46853285685924,12.770498312487591,10.805042684137383,10.745483422672224,10.839785586658724,1.563430613460393,5.762358546754021,5.424856065118125
2024-04-16,21.563288946091777,20.51383594871541,12.984505717538736,10.776694223058264,10.717291223206772,10.72719172318202,1.559328746101678,5.7472402356318995,5.410623236473442
2024-04-17,21.53237765694513,20.36085022244192,13.430548690064262,10.761245674740485,10.701927829955512,10.568462679189322,1.5027187345526445,5.73900148294612,5.402867029164607
2024-04-18,21.51748666271488,20.440624382533095,13.421260620430745,10.753803596127248,10.694526773364947,10.571033392610156,1.4671013633669234,5.735032602252519,5.399130606599487
2024-04-19,21.51748666271488,20.440624382533095,13.411381149970362,10.753803596127248,10.694526773364947,10.595732068761114,1.4522821576763485,5.735032602252519,5.399130606599487
2024-04-22,21.494128096318956,20.541794137965063,13.39682226389026,10.742129675318267,10.682917201223724,10.579295371558276,1.4408368696338694,5.728806868646995,5.393269515444587
2024-04-23,21.475054229934923,20.523565371721553,13.478603825675409,10.732597120883455,10.673437191875369,10.564977322027215,1.439558272530073,5.723723131532242,5.388483533819759
2024-04-24,21.42330202134461,20.474106132887425,13.446122067574878,10.706732897260611,10.647715536320268,10.524762701027885,1.4360891162150198,5.965671568386368,5.375497958982934
2024-04-25,21.420141620771048,20.47108575924469,13.478560188827696,10.705153422501967,10.646144767899292,10.523210070810386,1.4162077104642015,5.964791502753737,5.374704956726987
2024-04-26,21.410666011304986,20.417793069550257,13.423445564020644,10.70041779306955,10.64143524207422,10.484148439420004,1.2189727205701646,6.330793806832145,5.372327353158024
2024-04-29,21.4085614586917,20.41578611097459,13.422126111957535,10.699365999901705,10.640389246571976,10.492947363247653,1.2188529021477368,6.330171524057601,5.371799282449501
2024-04-30,21.402250282513634,20.414680882425195,13.501695081806123,10.696211860659362,10.637252493489903,10.54390016213826,1.2184935881688204,6.3479585319117575,5.237557116886945
2024-05-02,21.38753866548829,20.351549074483234,13.585702361663476,10.68885942946924,10.629940590170374,10.566111847596602,1.21765601217656,6.3386851279029806,5.233956891049246
2024-05-06,21.366557119733162,20.336488939029774,13.72443223622897,10.678373473291805,10.619512434394467,10.594987001520577,1.2164614705449552,6.234365036542895,5.2288222887133955
2024-05-07,21.38858882451144,20.337817931847198,13.900618678189138,10.689384267897477,10.630462535598546,10.556810370224886,1.2177158008445448,6.240793479328293,5.03780811155848
2024-05-08,21.325761284637228,20.351512777832177,13.688436306667972,10.65798492117889,10.599236267502203,10.496426123568002,1.2141388426515225,6.834426711054538,4.832076764907471
2024-05-09,21.32471728594507,20.419053213883586,13.673079747393155,10.657463161501934,10.598717383854703,10.466539384148431,1.1944974788270426,6.834092132961277,4.831840211484799
2024-05-10,21.31636897479814,20.41105945681429,13.69219476388549,10.653290922436994,10.594568142892097,10.540738928309274,1.1304135062392953,6.831416687056521,4.829948617567898
2024-05-13,21.3049007140761,20.326714271740194,13.870683752323194,10.647559424826373,10.588868238286217,10.56441357722782,1.0466594932994229,6.822850435292967,4.827350092927712
2024-05-14,21.31532589547857,20.33666079467606,13.867684478371501,10.65276962223527,10.59404971618712,10.530436484634958,1.0471716578586807,6.8261890780974745,4.829712272460364
2024-05-16,21.35712884879388,20.376544420474602,13.894881349284175,10.673661502255344,10.614826436556188,10.35497156305158,1.049225338301628,6.839576387526966,4.839184153755639
2024-05-17,21.428571428571427,20.44470680834317,13.818378591105866,10.709366391184574,10.650334513970877,10.178079496261315,1.0527351436442345,6.86245572609209,4.855371900826446
2024-05-20,21.431734317343174,20.447724477244773,13.820418204182042,10.710947109471094,10.651906519065191,10.164821648216481,1.052890528905289,6.863468634686347,4.856088560885609
