date,FUTU SECURITIES INTERNATIONAL,USMART SECURITIES LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA GALAXY INTERNATIONAL SECURITIES
2024-03-01,56.05081524457337,0.0,43.94918475542663,0.0,0.0,0.0
2024-03-07,46.33589679980154,0.0,36.33176217646572,17.332341023732738,0.0,0.0
2024-03-08,46.37597123970776,0.0,36.39436059707427,17.229668163217973,0.0,0.0
2024-03-11,46.389224830602544,0.0,36.39436059707427,17.21641457232319,0.0,0.0
2024-03-21,46.39537388365119,0.0,36.39918479611619,17.20544132023263,0.0,0.0
2024-04-02,34.640196653398384,0.0,27.431651713854333,13.685878638898942,15.49768532960657,8.744587664241774
2024-04-03,20.325100006349608,41.86791401217714,15.51562356692841,7.913024460106814,9.033377780599826,5.3449601738381975
2024-04-05,20.642983989076065,42.00904196234638,15.559533327201592,8.008999511818935,8.623117142230493,5.156324067326536
2024-04-08,21.245211134952164,41.79218627180217,15.573636988095995,7.885959507977311,8.398660180011754,5.104345917160601
2024-04-09,20.975851920144674,41.85383497039112,15.596610049289033,8.050778341193574,8.411049253572568,5.111875465409028
2024-04-10,21.021274184064552,41.80876612566149,15.579815382871553,8.042109140885682,8.441664246193954,5.106370920322761
2024-04-11,21.014990962894707,41.830102420526636,15.587766240209803,8.012191232235887,8.44597228621044,5.108976857922529
2024-04-12,21.069001920065748,41.81350564329288,15.581581539028347,8.009012264331414,8.561651114842604,4.965247518439008
2024-04-15,21.12297003477411,41.79692203092134,15.57540174366311,8.00583581804146,8.535592115979801,4.963278256620183
2024-04-16,21.3336629816692,41.688270405820646,15.534913290714513,7.985024547027868,8.507752622470244,4.950376152297531
2024-04-17,21.355884326118428,41.67649447406518,15.530525052081495,7.982768970022246,8.505349387380388,4.948977790332262
2024-04-18,21.360327088614746,41.674140086009054,15.529647701835284,7.9823180075275575,8.504868903278654,4.948698212734707
2024-04-19,21.36476934917844,41.67178596394602,15.528770450709995,7.981867095981528,8.504388473460857,4.948418666723155
2024-04-22,21.401519158749974,41.62241076529209,15.510371044298218,7.972409707382096,8.55073383689849,4.942555487379133
2024-04-23,21.467983003192188,41.587214341585096,15.497255283315365,7.965668139441473,8.543503230943774,4.938376001522102
2024-04-24,21.537886745102462,41.60245881415792,15.50293605532332,7.9685880851843764,8.447944056338425,4.940186243893498
2024-04-25,21.74285935226258,41.487813622591375,15.460214131558041,8.047859738908533,8.334680735892695,4.926572418786775
2024-04-26,21.80442677418675,41.45517381867225,15.448051081405723,8.041528227534227,8.328123573169618,4.9226965250314345
2024-04-29,21.771705287424183,41.478482720813034,15.456737020403285,8.03480436600811,8.332806207434585,4.925464397916798
2024-04-30,3.4294444444444445,6.557333333333333,2.4435555555555553,1.2435555555555555,1.3173333333333335,0.7786666666666666
2024-05-02,21.822511643590232,41.457503529957215,15.448919235983787,8.019500818388092,8.328591599755537,4.922973172325135
2024-05-03,21.866421405151897,41.43421819381744,15.440242078731755,8.01499652468178,8.32391369977463,4.920208097842494
2024-05-06,21.79434111844644,41.40398633337309,15.428976335968905,8.149462946463023,8.306615124493991,4.916618141254552
2024-05-08,21.834535652442145,41.373798557217064,15.417727020982747,8.160346604412476,8.300558745381762,4.9130334195638
2024-05-09,21.82750373482399,41.39237043842976,15.42464773420678,8.135954606984296,8.304284702301212,4.915238783253962
2024-05-10,21.84066030392494,41.38540402942476,15.422051738767612,8.134585311463454,8.302887076528215,4.914411539891025
2024-05-13,21.767766488551228,41.438873168231325,15.441976730306074,8.13386042396624,8.29676232472247,4.92076086422267
2024-05-14,21.761945962676123,41.51349526241374,15.413510034397621,8.069723763901491,8.311702928369947,4.929622048241079
2024-05-16,21.824049271266162,41.4924806479509,15.405707536225771,8.048765054523212,8.301870873847841,4.927126616186117
2024-05-17,21.736008953143806,41.53920871664567,15.423057160755386,8.057829425717765,8.311220288161719,4.932675455575654
2024-05-20,21.658577134685427,41.57432389593739,15.436095045543244,8.075912449895387,8.318246180073686,4.936845293864871
2024-05-21,22.02883300010523,41.40166263285278,15.371987793328422,7.997474481742607,8.28369988424708,4.9163422077238765
