date,FUTU SECURITIES INTERNATIONAL,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA INTERNATIONAL CAPITAL CORPORATION,HUATAI FINANCIAL HOLDINGS (HONG KONG),HANG SENG SECURITIES LTD,BOCI SECURITIES LTD
2024-03-01,22.10997507498874,33.40169196126929,6.0212246787365435,8.287580180900939,7.3885600867680745,17.425080622508453,0.0,0.0,2.6611313337965767,2.704756061031381
2024-03-04,20.917941945743376,32.09071715613354,5.684235894711955,7.8279036917859965,6.9996063278734075,15.83610992393925,0.0,5.532763522107179,2.521137881805177,2.5895836559001175
2024-03-05,20.969926107270222,32.262288839634714,5.695563723964858,7.846404329832321,7.010219572440221,15.545680057378764,0.0,5.543789489648995,2.534284372773219,2.5918435070566876
2024-03-06,21.4504496141423,31.74344889190258,5.963543892028655,7.932776249461508,7.51739079368256,14.408966560619021,0.0,5.631820070253211,2.624149539185584,2.7274543887245764
2024-03-07,21.25231742492263,31.734531339159076,6.2095333613773604,8.023746099521082,7.802981975760247,13.9798563714698,0.0,5.694993385852481,2.6686130393308765,2.633427002606447
2024-03-08,21.26773674482166,31.6667447879386,6.256844482000661,7.994295330191864,7.799676215920787,13.904887574847821,0.0,5.692185365484746,2.734589011173499,2.683040487620361
2024-03-11,21.442061835471467,31.332087750698417,6.326438901747879,8.077057802028143,8.305805122453743,13.296345735757631,0.0,5.71816110853478,2.8219780591524675,2.6800636841554737
2024-03-12,21.48840871868602,31.32611400450351,6.332227539784154,8.094361715094406,8.351049675481823,13.232845241132088,0.0,5.716347877096675,2.829985506088615,2.628659722132713
2024-03-13,21.618142496755695,31.276491480183815,6.385413806741592,8.129623725171943,8.421236506576262,12.955794372520154,0.0,5.740881236401436,2.8442241100136934,2.6281922656354113
2024-03-14,21.650758411747727,31.269547299181298,6.368690865521404,8.138182680826885,8.423979745843647,12.857881228450344,0.0,5.750509334931383,2.8579706501676254,2.6824797833296854
2024-03-15,21.666538098450815,31.207712561006744,6.457893453230171,8.14012764861105,8.417927007114704,12.828690130705628,0.0,5.752331777431873,2.8550687915038413,2.6737105319451726
2024-03-18,21.735047166028426,31.224241996482505,6.392875948292284,8.154416432430528,8.412614734196055,12.823290440737651,0.0,5.788214065296983,2.856219596132614,2.6130796204029547
2024-03-19,21.738377071012593,31.243031660160803,6.370692565310099,8.164838454054049,8.39852508640072,12.818328640266541,0.0,5.792529857644536,2.8613436896317643,2.6123329755188935
2024-03-20,21.751164676380334,31.227456192106157,6.395246609942556,8.16789748245902,8.415451283794873,12.771158021844183,0.0,5.794700079807643,2.862415717164486,2.6145099365007427
2024-03-21,21.760022454758023,31.147037416465217,6.391005517007434,8.19087951126546,8.4468370065995,12.763423558879689,0.0,5.795064629612083,2.8619966428765897,2.6437332625360015
2024-03-22,21.77325320743899,31.11982693435762,6.390525131439907,8.192099394764188,8.470855960595111,12.751375152368972,0.0,5.795715725504276,2.8623181982649664,2.6440302952659716
2024-03-25,21.778639905100313,31.109161471340958,6.434283372988234,8.190647517880468,8.471859769295193,12.718646980722836,0.0,5.796087308757511,2.8613923142939544,2.639281359620532
2024-03-26,21.81290395696945,31.08128253413432,6.448872438150683,8.191815945875812,8.502390650963953,12.677582184936512,0.0,5.7962782750915105,2.858491366581808,2.6303826472959546
2024-03-27,21.829145520725906,31.08303398846181,6.415418210559605,8.192909184724924,8.517904328145963,12.660551427758426,0.0,5.797051817445546,2.865762779553302,2.6382227426245195
