date,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,METAVERSE SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CMB WING LUNG BANK LTD,CMB INTERNATIONAL SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD
2024-03-01,29.19675492555942,0.0,26.40188998841045,44.40135508603013,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,28.24375213967819,0.0,24.747517973296816,42.62666894899007,0.0,0.0,4.382060938034919,0.0,0.0,0.0
2024-03-05,24.296072729949575,0.0,21.001877139386803,36.66310869005116,0.0,14.26994000515293,3.7690014354595314,0.0,0.0,0.0
2024-03-06,24.294284347282026,0.0,21.007692024585037,36.66040999595157,0.0,14.268889624967795,3.768724007213573,0.0,0.0,0.0
2024-03-08,24.290708371665133,0.0,21.015639374425024,36.65869365225391,0.0,14.266789328426862,3.768169273229071,0.0,0.0,0.0
2024-03-11,17.311373947706592,28.724659725682518,14.985182659778134,26.125724476148015,0.0,10.167580184102173,2.6854790065825704,0.0,0.0,0.0
2024-03-13,17.44865322090349,28.952446406386294,14.311014776241707,26.33290158864423,0.0,10.248209140651847,2.7067748671724248,0.0,0.0,0.0
2024-03-14,17.471282621354085,28.989995235826584,14.18400296437457,26.367053094065955,0.0,10.26150018527341,2.726165899105394,0.0,0.0,0.0
2024-03-15,16.05678767504293,26.49527172467168,12.852202094468765,24.09364645560742,0.0,9.376738336517764,2.4911118098048224,0.0,8.634241903886618,0.0
2024-03-18,16.865131657761697,26.247693892709105,12.708148645087093,23.86850995519563,0.0,9.289119965498239,2.4678342957088435,0.0,8.55356158803939,0.0
2024-03-19,16.86674813696595,26.250209666211394,12.709366688232334,23.870797690077396,0.0,9.290010303596674,2.4584860901444903,0.0,8.554381424771764,0.0
2024-03-20,16.872003835091085,26.22722914669223,12.713326941514861,23.87823585810163,0.0,9.292905081495686,2.4592521572387347,0.0,8.557046979865772,0.0
2024-03-22,16.87240825523143,26.2278578105899,12.711234689230327,23.878808216879598,0.0,9.293127831443707,2.4593111052518037,0.0,8.557252091373236,0.0
2024-03-26,16.912948412984456,26.29087676301689,12.741776592421731,23.695908118888006,0.0,9.315456882673779,2.465220211922439,0.0,8.577813018092698,0.0
2024-03-27,16.87402612968956,26.230372767589593,12.952175476447323,23.64137600383555,0.0,9.28443006112909,2.459546925566343,0.0,8.558072635742539,0.0
2024-04-02,16.6781809085928,27.019558329561427,12.633108607094362,23.49381804321414,0.0,9.22648116825881,2.444195630940753,0.0,8.50465731233771,0.0
2024-04-03,16.874789065136685,26.859842823393283,12.786268743069282,23.78622052938624,0.0,9.336579721324911,2.4733619401186053,0.0,7.882937177570995,0.0
2024-04-05,16.873975508629833,26.858547873879086,12.790473435541413,23.78507376337865,0.0,9.336129592131906,2.473242695979173,0.0,7.882557130459936,0.0
2024-04-08,16.867469879518072,26.84819277108434,12.82409638554217,23.77590361445783,0.0,9.332530120481927,2.472289156626506,0.0,7.879518072289157,0.0
2024-04-10,16.80708576366386,27.224502532344395,12.724130481745519,23.636014497971725,0.0,9.296464319147404,2.462734931950745,0.0,7.849067473176352,0.0
2024-04-12,16.676590373210757,27.72762998070831,12.687260342486962,23.452497201514756,0.0,9.224283706861648,2.443613499416486,0.0,7.788124895801081,0.0
2024-04-15,18.011112254347157,29.94135199094557,13.746270192406627,17.2883012655623,0.0,9.962444695956375,2.6391604074493262,0.0,8.411359193332647,0.0
2024-04-17,17.932668778816684,29.987378615769,13.726399299384385,17.31190273806764,0.0,9.976045127888106,2.642763310408778,0.0,8.422842129665405,0.0
2024-04-22,17.848078550003844,30.348399005306742,13.630886763914168,17.230240726023535,0.0,9.928987104878612,2.6302971261568433,0.0,8.383110723716255,0.0
2024-04-23,17.786975294448276,30.244500651490764,13.926573158580515,17.171252650673207,0.0,9.894995018011803,2.621292251092205,0.0,8.354410975703226,0.0
2024-04-25,17.781523765739536,30.23523101678032,13.952953796643936,17.16598983475085,0.0,9.89196230173933,2.620488851429009,0.0,8.351850432917018,0.0
2024-04-26,17.89073341213959,30.32584673896284,14.038649329290228,17.271419026571415,0.0,9.952716246081101,2.631443696356067,0.0,7.889191550598756,0.0
2024-04-29,17.882002414404234,30.311047183623145,14.042072278016079,17.262990265327613,0.0,9.986386869750598,2.6301595047902806,0.0,7.885341484088048,0.0
2024-04-30,17.84533360674647,30.259144387768178,14.003024632814704,17.4326506549099,0.0,9.965908799630892,2.62476610360649,0.0,7.869171814523364,0.0
2024-05-02,17.727643104501936,30.059584436748825,14.213689142391525,17.67416989203504,0.0,9.900183336728457,2.607455693623956,0.0,7.8172743939702585,0.0
2024-05-03,17.773980463669055,30.107883394118694,13.981483842995232,17.779081333367337,0.0,9.916090693463236,2.611645285521181,0.0,7.8298349868652615,0.0
2024-05-06,17.76039144728459,30.112897882209026,13.970794362751343,17.813909630724535,0.0,9.908509391166952,2.6096485639287446,0.0,7.823848721934809,0.0
2024-05-07,17.726880738598894,30.02079845787044,14.04910465175265,17.957692893014762,0.0,9.86151270735048,2.5972708365038297,0.0,7.786739714908944,0.0
2024-05-08,17.85372969166541,29.892862532065788,14.247271264020926,17.80594537498114,0.0,9.903928373824254,2.575323172878628,0.0,7.720939590563855,0.0
2024-05-09,17.8313071435748,29.855320004018886,14.35496835125088,17.783582839344923,0.0,9.891490003014166,2.5720888174419776,0.0,7.711242841354365,0.0
2024-05-13,17.813409615577637,29.825353809093645,14.340560072267388,17.866104586971794,0.0,9.881561778580748,2.569507176553247,0.0,7.703502960955536,0.0
2024-05-14,17.844753908802975,29.70187521994872,14.365793574983659,17.897541601729426,0.0,9.898949273540797,2.574028455080187,0.0,7.717057965914233,0.0
2024-05-16,17.842062933547805,29.702422841057608,14.373680506685432,17.894842666130494,0.0,9.897456519553634,2.573640293555846,0.0,7.715894239469187,0.0
2024-05-17,17.835339044795617,29.691229304323798,14.405949300303996,17.888098887018565,0.0,9.893726603522348,2.5726704017285127,0.0,7.712986458307163,0.0
2024-05-20,17.806707301778413,29.643564853136677,14.543356660897484,17.85938244663506,0.0,9.877843830737202,2.5685403968194245,0.0,7.700604509995736,0.0
2024-05-21,17.797778724897835,29.62870108055256,14.536064381878807,17.900569107729336,0.0,9.872890916840072,2.5672524882793892,0.0,7.696743299821997,0.0
2024-05-22,17.797778724897835,29.62870108055256,14.56113520695966,17.900569107729336,0.0,9.872890916840072,2.542181663198536,0.0,7.696743299821997,0.0
