date,THE HONGKONG AND SHANGHAI BANKING,ABN AMRO CLEARING HONG KONG LTD,FB SECURITIES (HONG KONG) LTD,MERRILL LYNCH FAR EAST LTD,INTERACTIVE BROKERS HONG KONG LTD,WIN WONG SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-01,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-11,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-14,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-15,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-18,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-04-10,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-04-12,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-04-16,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-04-18,0.0,93.28642626795661,6.713573732043389,0.0,0.0,0.0,0.0
2024-04-26,0.0,93.64065537350737,6.359344626492641,0.0,0.0,0.0,0.0
2024-04-30,0.0,93.51458510337015,6.48541489662985,0.0,0.0,0.0,0.0
2024-05-06,0.0,93.84574039236765,6.1542596076323575,0.0,0.0,0.0,0.0
2024-05-07,93.08156199977664,6.492201168894018,0.4262368313293377,0.0,0.0,0.0,0.0
2024-05-09,93.41190974297669,6.1603407053197845,0.42774955170352663,0.0,0.0,0.0,0.0
2024-05-23,93.74461065496943,5.8261162973793725,0.4292730476511828,0.0,0.0,0.0,0.0
2024-05-27,94.07968996914742,5.489502596132139,0.43080743472044547,0.0,0.0,0.0,0.0
2024-06-04,94.4171732809727,5.1504738889098665,0.4323528301174338,0.0,0.0,0.0,0.0
2024-06-06,94.75708655449446,4.809004092769441,0.4339093527360922,0.0,0.0,0.0,0.0
2024-06-13,95.44066567426238,4.120386274285278,0.43703958166342227,0.0,0.0019084697889232413,0.0,0.0
2024-06-14,95.43702290076335,4.120229007633588,0.4370229007633588,0.0038167938931297713,0.0019083969465648856,0.0,0.0
2024-06-28,95.43884425275292,4.120307639458768,0.4370312410542186,0.0019084333670489895,0.0019084333670489895,0.0,0.0
2024-07-03,62.65041412720738,33.7396468198156,3.5786841694014693,0.01562744178777934,0.01562744178777934,0.0,0.0
2024-07-04,72.49547920433996,23.32730560578662,4.1410488245931285,0.018083182640144666,0.018083182640144666,0.0,0.0
2024-11-07,72.49547920433996,23.32730560578662,4.1410488245931285,0.018083182640144666,0.018083182640144666,0.0,0.0
