date,GRAND CHINA SECURITIES LTD,KGI ASIA LTD,YUANTA SECURITIES (HONG KONG) CO LTD,BRIGHT SMART SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,GOLDEN EAGLE BROKERAGE LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,HANG SENG SECURITIES LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,55.47350721317167,0.0,0.0,44.526492786828335
2024-03-04,0.0,45.49278708397434,0.0,0.0,24.84734048642062,0.0,16.453371471654464,0.0,0.0,13.206500957950574
2024-03-05,0.0,45.50205432906868,0.0,0.0,24.85240208868748,0.0,16.436352354273325,0.0,0.0,13.209191227970518
2024-03-06,0.0,45.44466482950962,0.0,0.0,24.8043999667662,0.0,16.567257373031868,0.0,0.0,13.183677830692309
2024-03-07,0.0,41.03552084208298,0.0,0.0,22.347830182196272,0.0,14.825726620421909,9.912925155937096,0.0,11.877997199361744
2024-03-11,0.0,41.95442143389197,0.0,0.0,21.979931009930244,0.0,14.401496222847236,9.846572218337354,0.0,11.8175791149932
2024-03-12,0.0,42.165625472343436,0.0,0.0,21.785853401492815,0.0,14.389247547556177,9.844355230309334,0.0,11.814918348298237
2024-03-13,0.0,42.18462148409717,0.0,0.0,21.669525494368997,0.0,14.43177079334593,9.848790205139377,0.0,11.86529202304853
2024-03-14,0.0,42.185001578914616,0.0,0.0,21.668819715666704,0.0,14.43190082749326,9.848878945395503,0.0,11.86539893252992
2024-03-15,0.0,42.27596602848857,0.0,0.0,21.61039141530486,0.0,14.412797621290755,9.84278620630808,0.0,11.858058728607736
2024-03-18,0.0,42.2721595491301,0.0,0.0,21.608445640516525,0.0,14.420503794556772,9.841899973158519,0.0,11.856991042638086
2024-03-19,0.0,34.47859312640552,0.0,18.432969357132734,17.62090209335501,0.0,11.761847237363142,8.034728049736865,0.0,9.670960136006729
2024-03-20,0.0,34.51706498465309,0.0,18.422146167918292,17.610555721384735,0.0,11.754941095672406,8.030010340924788,0.0,9.665281689446688
