date,ZHESHANG INTERNATIONAL FINANCIAL,EMPEROR SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,REALORD ASIA PACIFIC SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,GET NICE SECURITIES LTD,CHINA MERCHANTS BANK CO LTD,KINGSTON SECURITIES LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG)
2024-03-01,0.0,0.0,48.04690619456553,0.0,0.0,39.14457778529285,0.0,0.0,0.0,12.808516020141623
2024-03-04,0.0,0.0,37.01611294158206,0.0,0.0,30.91462996451671,0.0,22.226993406314428,0.0,9.842263687586804
2024-03-05,0.0,0.0,36.92581501657656,0.0,0.0,31.09108976155034,0.0,21.994293696552354,0.0,9.988801525320746
2024-03-06,0.0,0.0,36.91381860167384,0.0,0.0,31.08098892525492,0.0,22.019636097720102,0.0,9.98555637535114
2024-03-07,0.0,0.0,29.358369853479854,0.0,20.436799928033032,24.662548120391588,0.0,17.600550021451493,0.0,7.941732076644037
2024-03-08,0.0,0.0,29.542824354547893,0.0,20.56547295768438,24.214603716995725,0.0,17.711365614047466,0.0,7.965733356724532
2024-03-12,0.0,27.758052657414872,16.084125935749803,18.34014048663625,11.173707471690657,13.12038466522482,0.0,9.246542157422555,0.0,4.277046625861038
2024-03-13,0.0,27.683501680350947,16.040928117857884,18.29088359496438,11.143697772533374,13.18974928879458,0.0,9.13689541199599,0.0,4.514344133502846
2024-03-14,0.0,27.68584979799688,16.042288711138518,18.292435029715122,11.229463091774054,13.182386033817062,0.0,9.05285029489146,0.0,4.514727040666907
2024-03-15,0.0,24.588179668900136,14.247374742254848,16.24576028455013,9.97303886643929,11.707456286487014,11.22379418200999,8.002294498310793,0.0,4.012101471047794
2024-03-20,0.0,24.663509561569917,14.247374742254848,16.24576028455013,9.97303886643929,11.707456286487014,11.22379418200999,7.926964605641013,0.0,4.012101471047794
2024-03-21,0.0,24.64741827100442,14.245607357553572,16.235161012433423,9.966532125546628,11.727420894036511,11.216471406920776,7.921792791368054,0.0,4.039596141136617
2024-03-22,0.0,24.646799794521343,14.24524989321224,16.234753624317772,9.966282035834604,11.729635913625065,11.21618995254239,7.921594010201953,0.0,4.039494775744633
2024-03-25,0.0,23.09835316178868,13.354988754274377,15.214797695256047,9.340145742769794,11.037397398719168,10.511527614677139,7.423916191043498,6.21905191388396,3.7998215275873397
2024-03-26,0.0,23.09183669840956,13.374730911500347,15.210505325522696,9.337510718650883,11.010773707992431,10.508562122536642,7.447682595279582,6.2172974068086795,3.801100513299179
2024-03-27,0.0,23.0912938257585,13.374416481092668,15.210147737364691,9.337291200417477,11.012865781387186,10.50831507371793,7.447507505560755,6.21715124257022,3.8010111521305747
2024-04-03,0.0,23.10005347746231,13.339203360140267,15.215917686746835,9.340833289457178,11.014691676750834,10.5123013891117,7.4503327076608405,6.219509710652857,3.8071567020171773
2024-04-05,0.0,23.09842377694625,13.338262284111114,15.214844209192742,9.340174297007351,11.013914594190078,10.511559750006166,7.449807089351328,6.219070926465843,3.8139430727291272
2024-04-08,0.0,23.084309332253486,13.330111850682206,15.20554707796104,9.334466921698588,11.030686646377042,10.50513659186521,7.445254835433493,6.215270722024205,3.8492160217047307
2024-04-09,0.0,23.084472092862224,13.330205837341632,15.205654287757229,9.333827665953793,11.030764420472314,10.505210660463145,7.445307329713992,6.215314544052044,3.8492431613836287
2024-04-10,0.0,23.09098439976845,13.32221190406846,15.209943919637631,9.350566194525177,11.031525386502953,10.508174261088719,7.447407708104592,6.217067932029328,3.8221182942746923
2024-04-11,0.0,23.08772778708716,13.355591506806402,15.207798801205568,9.349247447263515,11.029969566930877,10.506692251791785,7.425202278673737,6.216191114397072,3.821579245843884
2024-04-12,0.0,23.08773321401075,13.355594646126793,15.207802375899574,9.349226139202713,11.029972159598401,10.506694721459505,7.425204024016795,6.216192575554034,3.8215801441314396
2024-04-15,0.0,23.087845823250948,13.355659787357919,15.20787655117935,9.348783994680643,11.030025957724563,10.506745967326674,7.425240240070388,6.216222894716004,3.8215987836935126
2024-04-17,0.0,23.078623646149083,13.350325021143078,15.201801938070275,9.345049729372997,11.02562013945988,10.502549167295317,7.4222743124112185,6.213739895267783,3.86001615083037
2024-04-18,0.0,23.078677872708308,13.350121425217939,15.201837656899341,9.345071686916931,11.025646045746695,10.502573844551344,7.422291752116626,6.213754495347043,3.860025220495772
2024-04-19,0.0,23.073798502741383,13.347298898646171,15.198623634392755,9.34309592113089,11.044457296239704,10.50035335585285,7.420722506787201,6.212440762938554,3.8592091212704895
2024-04-23,0.0,23.07271447848216,13.34667183259116,15.19790959172117,9.342656975517599,11.043938419400346,10.499860041422336,7.420373875710381,6.212148897839048,3.8637258873158005
2024-04-24,0.0,23.120037348620993,13.168943104582642,15.229080986949137,9.361819061678569,11.06658988783203,10.52139558782194,7.435593298185764,6.224890212513995,3.871650511814926
2024-04-29,0.0,23.107527240615603,13.220632011042314,15.220840626213693,9.35675343977569,11.055896661913177,10.51570252629326,7.431569945029285,6.221521963245794,3.869555585871183
2024-04-30,0.0,23.10698362997562,13.220320992206169,15.220482551945175,9.358885845928882,11.055636569043983,10.515455141632813,7.431395115396852,6.221375600309558,3.86946455356095
2024-05-02,0.0,23.10711953023774,13.220398745543296,15.220572068932835,9.35894088881375,11.055701591114008,10.515516986706707,7.431438822033784,6.220824055380911,3.869487311236963
2024-05-03,0.0,23.102228127677193,13.217600201475923,15.217350120602427,9.35695975276745,11.07452965700141,10.513291022252465,7.429865706923739,6.219507207788834,3.8686682035105577
2024-05-07,0.0,23.104945317852213,13.21915480188963,15.21913992347378,9.358060280342876,11.075832198168031,10.51452755281198,7.430739577530028,6.220238720947871,3.8573616269835886
