date,HANG SENG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,DBS BANK (HONG KONG) LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,CHINA INTERNATIONAL CAPITAL CORPORATION,MORGAN STANLEY HONG KONG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD
2024-03-05,6561800.0,11356860.0,2015400.0,0.0,422050.0,123400.0,0.0,0.0,562100.0,0.0
2024-03-06,6560000.0,11354760.0,2015500.0,0.0,416350.0,122400.0,0.0,0.0,562700.0,0.0
2024-03-07,6554600.0,11353360.0,2015800.0,0.0,412750.0,120700.0,0.0,0.0,563800.0,0.0
2024-03-08,6543900.0,11352760.0,2012000.0,1410100.0,410750.0,121200.0,0.0,0.0,564300.0,0.0
2024-03-11,6536100.0,11337360.0,2009800.0,0.0,409550.0,121900.0,0.0,0.0,564200.0,0.0
2024-03-12,6534100.0,11328660.0,2009900.0,0.0,400050.0,121600.0,0.0,0.0,563700.0,0.0
2024-03-13,6534400.0,11317060.0,2011100.0,0.0,389150.0,122200.0,0.0,0.0,564200.0,0.0
2024-03-14,6534600.0,11317360.0,2008200.0,0.0,389250.0,120500.0,0.0,0.0,565400.0,0.0
2024-03-15,6532900.0,11335060.0,1989800.0,0.0,389450.0,120100.0,0.0,0.0,564900.0,0.0
2024-03-18,6533100.0,11335660.0,1967600.0,0.0,0.0,120600.0,0.0,0.0,563700.0,0.0
2024-03-19,6531600.0,11331960.0,1966300.0,0.0,0.0,121300.0,0.0,0.0,563200.0,0.0
2024-03-20,6529600.0,11326060.0,1957500.0,0.0,389350.0,121500.0,0.0,0.0,560800.0,0.0
2024-03-22,6529100.0,11304160.0,1956800.0,0.0,0.0,121900.0,0.0,0.0,560400.0,0.0
2024-03-25,6530200.0,11309960.0,0.0,0.0,386950.0,121800.0,0.0,0.0,559600.0,0.0
2024-03-26,6530400.0,11308260.0,1957200.0,1408200.0,0.0,0.0,4303000.0,0.0,560200.0,0.0
2024-03-27,6531400.0,11308360.0,1961700.0,0.0,0.0,122800.0,0.0,0.0,560300.0,0.0
2024-04-03,6526900.0,11343660.0,1959800.0,0.0,387950.0,125100.0,0.0,0.0,560500.0,0.0
2024-04-05,6528100.0,11338860.0,1961000.0,0.0,387650.0,125000.0,0.0,0.0,561000.0,0.0
2024-04-08,6512200.0,11307360.0,0.0,0.0,386750.0,126700.0,0.0,0.0,561800.0,0.0
2024-04-09,6523500.0,11299060.0,1964300.0,0.0,385750.0,126600.0,0.0,0.0,562600.0,0.0
2024-04-10,6521100.0,11296260.0,1963700.0,1407700.0,386150.0,129100.0,0.0,0.0,557900.0,0.0
2024-04-11,6521500.0,11277148.0,1966500.0,0.0,386050.0,130700.0,0.0,0.0,561600.0,0.0
2024-04-12,6520900.0,11277648.0,1958300.0,1407900.0,381950.0,131800.0,9737200.0,0.0,538900.0,0.0
2024-04-15,6515100.0,11278248.0,1954100.0,1408100.0,382150.0,132400.0,0.0,0.0,531000.0,0.0
2024-04-16,6513200.0,11276048.0,1956100.0,1402300.0,380750.0,134200.0,0.0,0.0,530000.0,0.0
2024-04-17,6500100.0,11253948.0,1955300.0,1402400.0,383050.0,0.0,0.0,0.0,532500.0,0.0
2024-04-19,6498600.0,11261948.0,1955300.0,0.0,383750.0,137500.0,0.0,0.0,532300.0,0.0
2024-04-22,6494100.0,11261648.0,1955800.0,1402900.0,0.0,139700.0,0.0,0.0,530900.0,0.0
2024-04-23,6494800.0,11265348.0,1955300.0,1403100.0,383250.0,140900.0,0.0,0.0,589700.0,0.0
2024-04-24,6475600.0,11263148.0,1958700.0,0.0,385050.0,140200.0,0.0,0.0,590600.0,0.0
2024-04-25,6475800.0,11266698.0,1955300.0,0.0,382850.0,136200.0,0.0,0.0,0.0,0.0
2024-04-26,6477100.0,11265598.0,1955100.0,1404200.0,381050.0,141700.0,0.0,0.0,590800.0,0.0
2024-04-29,6478200.0,11272498.0,1954800.0,0.0,0.0,141800.0,0.0,0.0,590900.0,0.0
2024-04-30,6463400.0,11279798.0,1958400.0,1404400.0,0.0,153100.0,0.0,0.0,591500.0,0.0
2024-05-02,6462400.0,11284298.0,1955200.0,1404600.0,0.0,153200.0,0.0,0.0,591600.0,0.0
2024-05-03,0.0,11293898.0,1951300.0,1404800.0,0.0,153000.0,0.0,0.0,589800.0,0.0
2024-05-06,6464700.0,11294098.0,1951500.0,1405000.0,0.0,153200.0,0.0,0.0,591800.0,0.0
2024-05-07,6463600.0,11264498.0,1952000.0,1405300.0,0.0,0.0,0.0,0.0,590400.0,0.0
2024-05-10,6467900.0,11270998.0,1946600.0,1405700.0,380850.0,153800.0,0.0,0.0,0.0,0.0
2024-05-14,6467600.0,11270298.0,1951600.0,0.0,377950.0,150800.0,0.0,0.0,590600.0,0.0
2024-05-16,6468900.0,11270698.0,1952900.0,0.0,378050.0,151000.0,0.0,0.0,591500.0,0.0
2024-05-17,6470700.0,11271498.0,0.0,1403900.0,0.0,151200.0,0.0,0.0,591400.0,0.0
2024-05-20,6472500.0,11262398.0,1953500.0,0.0,377550.0,151800.0,0.0,0.0,591900.0,0.0
2024-05-22,6473100.0,11270300.0,1957200.0,1404600.0,376250.0,155200.0,0.0,0.0,595200.0,0.0
2024-05-23,6473600.0,11283300.0,1955200.0,1405300.0,0.0,152700.0,0.0,0.0,613400.0,0.0
2024-05-27,7475200.0,11271700.0,0.0,1407100.0,376050.0,153900.0,0.0,0.0,0.0,0.0
2024-05-28,0.0,11278500.0,1957600.0,0.0,376150.0,155200.0,0.0,0.0,610900.0,0.0
2024-05-29,7476400.0,11276800.0,0.0,1407300.0,376250.0,154300.0,0.0,0.0,614200.0,0.0
2024-05-30,7480300.0,11278200.0,0.0,0.0,386250.0,154600.0,0.0,0.0,614300.0,0.0
2024-05-31,8509100.0,11278300.0,1957300.0,0.0,386950.0,153600.0,0.0,0.0,615100.0,0.0
2024-06-03,0.0,11279400.0,1962100.0,0.0,386350.0,154600.0,0.0,0.0,615500.0,0.0
2024-06-06,8508800.0,11276400.0,1968000.0,0.0,0.0,154000.0,0.0,0.0,615400.0,0.0
2024-06-07,8510100.0,11269200.0,0.0,0.0,384850.0,154200.0,0.0,0.0,615500.0,0.0
2024-06-12,8512000.0,11275800.0,1974200.0,0.0,408292.0,157500.0,0.0,0.0,618000.0,0.0
2024-06-13,8513400.0,11270031.0,1976400.0,1407500.0,408592.0,157900.0,0.0,0.0,627800.0,0.0
