date,CHANGJIANG SECURITIES BROKERAGE (HK) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,FIRST SHANGHAI SECURITIES LTD,CITIC SECURITIES BROKERAGE (HK) LTD,CMB INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-01,0.0,0.0,0.0,55.705328209176685,33.9056476657489,0.0,0.0,0.0,10.389024125074414,0.0
2024-03-04,0.0,0.0,0.0,55.67961105957583,33.8899946458069,0.0,0.0,0.0,10.430394294617273,0.0
2024-03-05,0.0,0.0,8.860779866423421,42.870154769587174,26.05828560172788,0.0,0.0,0.0,8.030814318002673,14.179965444258858
2024-03-06,0.0,0.0,8.974206243627666,42.79525110918366,26.012756002268766,0.0,0.0,0.0,8.049122025862212,14.168664619057699
2024-03-07,0.0,0.0,8.974286860943074,42.7839573558396,26.035447743638194,0.0,0.0,0.0,8.049194332937791,14.157113706641347
2024-03-08,0.0,23.129401298716388,6.9225751767091435,32.869386689018846,20.002104816762184,0.0,0.0,0.0,6.156992766619621,10.919539252173816
2024-03-11,0.0,23.068456712217994,7.156123018229947,32.753250803309214,19.894163358255497,0.0,0.0,0.0,6.106150601589377,11.021855506397973
2024-03-12,0.0,23.034467315541658,7.1802678610395185,32.70499169140237,19.864851011167737,0.0,0.0,0.0,6.1108918410198765,11.10453027982884
2024-03-13,0.0,22.947742235011624,7.378657067165046,32.589145716565525,19.694895861946815,0.0,0.0,0.0,6.024221178230748,11.36533794108024
2024-03-14,0.0,22.960707929197532,7.394468700724209,32.60755889607634,19.587542870144635,0.0,0.0,0.0,6.050910164172025,11.39881143968526
2024-03-15,0.0,22.95355534097433,7.357932880566623,32.604247643617896,19.615673408601182,0.0,0.0,0.0,6.069564621867698,11.399026104372268
2024-03-18,0.0,26.45762476355809,7.028326891851003,31.095411740121342,18.690408410682792,0.0,0.0,0.0,5.787709404348325,10.940518789438451
2024-03-19,0.0,26.360709501728845,7.263843575966343,31.026217143716252,18.601657629419517,0.0,0.0,0.0,5.793885838847084,10.953686310321958
2024-03-20,0.0,19.81335493763347,5.5500051809354956,23.347031410751732,13.915313083346497,0.0,4.526091066717421,20.29272061852461,4.319137245728046,8.236346456362728
2024-03-21,0.0,17.999608549955624,5.158803923467796,21.20718978719337,12.628819559595271,9.03723242442432,4.100154404801784,18.43281785526526,3.9268255572175463,7.50854793807903
2024-03-22,0.0,17.98194070618157,5.334177577746887,21.121015367124738,12.588312209532496,9.008245207076941,4.084789407943832,18.37369399163073,3.9640365427168573,7.543788990045947
