date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,HANG SENG SECURITIES LTD,CMB INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL
2024-03-01,0.0,20.732214223021074,20.492617389759644,25.923799806257346,0.0,11.291591446270541,0.0,11.0986363632386,6.236693318678665,4.224447452774134
2024-03-04,25.44333789733529,13.218623771657438,12.84487497094717,16.308688089937643,11.51400759394115,7.110094522206274,0.0,6.9817663899258555,3.9252987071353744,2.653308056913802
2024-03-05,25.526892607531188,13.042519490080037,12.922865376133952,16.272959496667923,11.542615102836216,7.088331817161881,0.0,7.00266720902496,3.9389139496247894,2.66223495093905
2024-03-06,25.602583636709042,13.033330619429226,12.922282094269951,16.182622484307817,11.535200167043568,7.013503611430965,0.0,7.024580771047849,4.02682444972825,2.65907216603333
2024-03-07,25.601918273420615,12.977839542893706,12.940736038001099,16.130859840399385,11.522637859238856,7.143535575207083,0.0,6.990789110454579,4.043060061576266,2.648623698808411
2024-03-08,25.621443196238253,13.107499580162308,12.938285527444041,16.06921816768373,11.516342529725064,7.143357611629559,0.0,6.978758993145802,3.98373142843797,2.6413629655332715
2024-03-11,25.60794489778637,13.124545977190785,12.933299314119163,16.074078695801376,11.453352081040007,7.1869303824264765,0.0,6.971339183449726,4.009327801125754,2.6391816670603387
2024-03-12,25.663130825024133,13.24179115810678,12.947221435921316,15.923291275074858,11.44221358314811,7.191722121817645,0.0,6.975652215665683,3.9791478582559083,2.635829526985568
2024-03-13,25.72699325653305,13.15082525376259,12.905608273719531,15.937142415252763,11.47745471947424,7.2012875012188005,0.0,6.974058329812355,3.993741811624495,2.6328884386021736
2024-03-14,25.59194354046109,13.242937497329283,12.948540045025492,15.890771573215904,11.490834096127852,7.217123181381667,0.0,6.984067902581207,4.0072013800021145,2.626580783875386
