date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,UBS SECURITIES HONG KONG LTD,BNP PARIBAS,INTERACTIVE BROKERS HONG KONG LTD
2024-03-01,38.71981813380814,22.811553525709762,8.99254601190944,11.347287498243128,5.487817224274587,5.6859344011171284,3.744910430814146,1.7684957154466427,0.7357493206939352,0.7058877379830863
2024-03-04,38.68305876154554,22.919978259926115,8.949179419132372,11.303953883316286,5.5234956739016585,5.681198242295605,3.742965598773652,1.7714170578526602,0.7263347381663717,0.6984183650897435
2024-03-05,38.66035264563223,22.881161890171956,8.998641735268622,11.321666439664863,5.540485052768608,5.651318061441859,3.7447331264935464,1.777560742483573,0.7255668537014017,0.6985134523733451
2024-03-06,38.56417286171071,22.879685369548984,9.046922177166811,11.36042238868857,5.544400548549314,5.651222987015759,3.744670845880161,1.7785888305524844,0.729505855582234,0.7004081353049733
2024-03-07,38.526357234828126,22.896160084334735,9.019874073952902,11.408294951022517,5.560072351956145,5.650366414293551,3.742944580919092,1.7742345207613273,0.7231850976210813,0.6985106903105256
2024-03-08,38.463974328979816,22.899552931664996,9.077420108937545,11.411934676894546,5.552249734642039,5.645112338361009,3.7370688147545463,1.7688224434258288,0.7458675103851834,0.6979971119544893
2024-03-11,38.440077577953005,22.885097216821297,9.08967495133039,11.467080391997184,5.535982034175295,5.646756432111927,3.7340950540536553,1.7726552209734976,0.7291999459561428,0.6993811746276062
2024-03-12,38.41549978996124,22.827090638654493,9.179848279344077,11.45105907164977,5.550244497514334,5.640556505755337,3.7316556007746784,1.7750409942852443,0.7292151746039747,0.6997894474568501
2024-03-13,38.41362040829383,22.822409391778635,9.241242546164747,11.39313972908322,5.548398355075392,5.636769751227346,3.7305027133528337,1.772599230490746,0.7390238486498751,0.7022940258833765
2024-03-14,38.43390679686066,22.801782863267324,9.230559013948744,11.370991562696599,5.549349797127941,5.63455675885453,3.730674553952512,1.7846312391324097,0.7492139181108722,0.7143334960484045
