date,INTERACTIVE BROKERS HONG KONG LTD,EVERBRIGHT SECURITIES INVESTMENT,KGI ASIA LTD,BRIGHT SMART SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,BNP PARIBAS,BANK OF CHINA (HONG KONG) LTD
2024-03-04,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-15,94.52916507815479,0.0,0.0,0.0,5.470834921845215,0.0,0.0
2024-03-19,55.59001569389432,41.192735968911144,0.0,0.0,3.2172483371945297,0.0,0.0
2024-03-22,51.412175476198705,38.10972447886058,0.0,0.0,2.976457980433505,0.0,7.501642064507208
2024-04-19,45.822035987182645,33.965984717771754,0.0,10.873182154301206,2.652822282474735,0.0,6.685974858269657
2024-05-02,38.40214837193689,28.46592816381336,16.19283703875849,9.112505487127844,2.2232550933457276,0.0,5.603325845017688
2024-05-07,38.40809896438625,28.470339092482117,16.19534619457142,9.113917512460938,2.2235995971178433,0.0,5.588698638981431
2024-05-14,38.40909090909091,28.46849173553719,16.195764462809915,9.114152892561982,2.2236570247933884,0.0,5.588842975206611
2024-05-16,38.37089104817035,28.486148439115155,16.20580938598305,9.119805664668183,2.2250361794500724,0.0,5.59230928261319
2024-06-07,38.36929835896111,28.48688461041478,16.206228194857218,9.1200413490115,2.2250936813541804,0.0,5.592453805401214
2024-06-17,38.37563976632373,28.493511864757277,16.209998449051337,9.122163056402833,2.225611332264902,0.0,5.573075531199917
2024-07-09,38.37404678816079,28.49424841669898,16.21041747447331,9.122398862608245,2.225668863900737,0.0,5.573219594157942
2024-07-22,38.367674051860085,28.49719500529976,16.21209379281818,9.12334220935343,2.2258990201907913,0.0,5.573795920477754
2024-07-31,38.35173644332963,28.504564143673555,16.216286105867443,9.125701430012153,2.2264746192237075,0.0,5.575237257893511
2024-08-06,38.36381982354919,28.519313859926005,16.224677239916176,9.130423533673127,2.188817883107811,0.0,5.572947659827689
2024-08-08,38.34786884397401,28.526694443725575,16.22887606428405,9.132786418570948,2.189384332703605,0.0,5.574389896741803
2024-08-13,38.35105970033382,28.525218021375153,16.22803612555961,9.132313743756955,2.189271019330797,0.0,5.574101389643661
2024-09-13,37.576505497770505,28.883607433911585,16.43192435979856,9.247051676882336,2.2167769109216366,0.0,5.644134120715373
2024-09-20,38.35105970033382,28.525218021375153,16.22803612555961,9.132313743756955,2.189271019330797,0.0,5.574101389643661
2024-10-02,38.35999378785526,28.53186312574416,16.23181653465859,9.134441165812497,2.18978102189781,0.0,5.552104364031682
2024-10-03,38.33518714917613,28.51341214206265,16.221319744432087,9.128534105900307,2.188364934426654,0.0,5.613181924002173
2024-10-04,38.31041257367387,28.494985006721123,16.2108365215593,9.122634681005067,2.1869506772825975,0.0,5.674180539758039
2024-10-08,38.2896266632218,28.479524609223617,16.202041079963827,9.107350471515307,2.185764113163674,0.0,5.735693062911769
2024-10-09,38.301501563590314,28.488357067169773,16.20706587754891,9.110174967048303,2.1864419920915927,0.0,5.706458532551108
2024-10-10,38.351838910888524,28.529647746978288,16.230556202603722,9.123379144343504,2.1896109946424414,0.0,5.57496700054352
2024-10-14,38.373688980965944,28.545901851612065,16.23980318529069,9.128576977858344,2.190858474686003,0.0,5.521170529586948
