date,GOLDMAN SACHS (ASIA) SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA INTERNATIONAL CAPITAL CORPORATION,HUATAI FINANCIAL HOLDINGS (HONG KONG),BANK OF CHINA (HONG KONG) LTD,THE CORE SECURITIES COMPANY LTD,CMB INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,FUTU SECURITIES INTERNATIONAL
2024-03-01,0.0,39.546363872306095,0.0,21.52560732019983,14.403285812615273,0.0,0.0,6.193779209941041,11.065053652656577,7.265910132281185
2024-03-04,0.0,39.652519870232545,0.0,21.598563331821,14.217594868878065,0.0,0.0,6.1984031656285214,11.096799540303966,7.236119223135905
2024-03-05,0.0,39.6461837889918,0.0,21.598957696872734,14.22649699093449,0.0,0.0,6.198029438558324,11.097002155165777,7.2333299294768745
2024-03-06,0.0,34.3179457750029,0.0,18.697492050870483,12.320247696331572,13.41228477717135,0.0,5.356047586258889,9.589758261674687,6.306223852690119
2024-03-07,0.0,34.24789587377645,0.0,18.690726014743703,12.373185364995415,13.40072165179827,0.0,5.399027029806698,9.562687930243555,6.325756134635907
2024-03-08,0.0,34.22403700319925,0.0,18.677705080125605,12.404344186475203,13.391386010136957,0.0,5.3952657859737405,9.552027153388023,6.355234780701224
2024-03-11,0.0,34.21685519654406,0.0,18.67493408228281,12.391982010303485,13.38939928309598,0.0,5.413404745452742,9.550610028183248,6.3628146541376776
2024-03-12,0.0,34.18607287946169,0.0,18.661554756410297,12.430624090870827,13.369962099573996,0.0,5.420201229149364,9.547809590408352,6.383775354125476
2024-03-13,0.0,34.18704384958251,0.0,18.662084791320723,12.422246011178961,13.370341839995218,0.0,5.4194084262630176,9.548080772122153,6.390794309537418
2024-03-14,0.0,34.16913079368825,0.0,18.66063217486505,12.451362365394989,13.36930112140499,0.0,5.418250287256884,9.545233844565495,6.38608941282435
2024-03-15,0.0,34.18089785459017,0.0,18.66839967937891,12.435955132031404,13.374356458047817,0.0,5.420251054268189,9.546263005553454,6.373876816130052
2024-03-18,0.0,34.157762394592226,0.0,18.689423823911604,12.424992474287437,13.389418509859166,0.0,5.405285329460812,9.556487152218935,6.376630315669822
2024-03-19,29.19199437085834,24.219130171229626,0.0,13.252358335848841,8.81931888698236,9.494213073293304,0.0,3.7939526516262876,6.715463525306142,4.513568984855104
2024-03-20,29.18384818328833,24.213846077211745,0.0,13.249283765770322,8.82548795160664,9.492170917677296,0.0,3.792389735383418,6.714019064196368,4.528954304865881
2024-03-21,29.188273474097244,24.217368348072867,0.0,13.251292820001453,8.832801964696305,9.493610262360521,0.0,3.7840011528915856,6.715037144014664,4.517614833865363
