date,ABN AMRO CLEARING HONG KONG LTD,FOSUN INTERNATIONAL SECURITIES LTD,CATHAY SECURITIES (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,ICBC (ASIA) SECURITIES LTD,CHIEF SECURITIES LTD,IFAST SECURITIES (HK) LTD,EDDID SECURITIES AND FUTURES LTD
2024-04-18,98.51851851851852,0.0,1.4814814814814816,0.0,0.0,0.0,0.0,0.0
2024-04-23,95.74074074074073,0.0,1.4814814814814816,2.7777777777777777,0.0,0.0,0.0,0.0
2024-04-25,95.8029197080292,0.0,1.4598540145985401,2.737226277372263,0.0,0.0,0.0,0.0
2024-07-03,93.06569343065694,0.0,1.4598540145985401,5.474452554744526,0.0,0.0,0.0,0.0
2024-07-08,88.88888888888889,0.0,5.555555555555555,5.555555555555555,0.0,0.0,0.0,0.0
2024-07-16,89.47368421052632,0.0,5.263157894736842,5.263157894736842,0.0,0.0,0.0,0.0
2024-07-29,86.66666666666667,0.0,6.666666666666667,6.666666666666667,0.0,0.0,0.0,0.0
2024-08-12,40.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0
2024-10-03,20.833333333333336,0.0,25.0,25.0,29.166666666666668,0.0,0.0,0.0
2024-10-04,33.33333333333333,0.0,25.0,25.0,16.666666666666664,0.0,0.0,0.0
2024-10-08,31.666666666666664,0.0,25.0,25.0,16.666666666666664,0.0,0.0,1.6666666666666667
2024-10-28,27.500000000000004,0.0,25.0,25.0,16.666666666666664,0.0,4.166666666666666,1.6666666666666667
2024-10-29,15.833333333333332,0.0,25.0,25.0,16.666666666666664,11.666666666666666,4.166666666666666,1.6666666666666667
2024-12-19,56.55172413793104,0.0,18.96551724137931,10.344827586206897,6.896551724137931,4.827586206896552,1.7241379310344827,0.6896551724137931
2025-01-08,46.206896551724135,0.0,29.310344827586203,10.344827586206897,6.896551724137931,4.827586206896552,1.7241379310344827,0.6896551724137931
2025-01-09,35.86206896551724,0.0,39.6551724137931,10.344827586206897,6.896551724137931,4.827586206896552,1.7241379310344827,0.6896551724137931
2025-01-10,25.517241379310345,0.0,50.0,10.344827586206897,6.896551724137931,4.827586206896552,1.7241379310344827,0.6896551724137931
2025-01-22,50.3448275862069,0.0,33.33333333333333,6.896551724137931,4.597701149425287,3.218390804597701,1.1494252873563218,0.45977011494252873
2025-01-24,41.03448275862069,0.0,34.48275862068966,10.344827586206897,6.896551724137931,4.827586206896552,1.7241379310344827,0.6896551724137931
2025-01-27,56.15384615384615,0.0,25.64102564102564,7.6923076923076925,5.128205128205128,3.5897435897435894,1.282051282051282,0.5128205128205128
2025-02-27,30.76923076923077,25.384615384615383,25.64102564102564,7.6923076923076925,5.128205128205128,3.5897435897435894,1.282051282051282,0.5128205128205128
2025-02-28,44.785276073619634,20.245398773006134,20.449897750511248,6.134969325153374,4.08997955010225,2.8629856850715747,1.0224948875255624,0.408997955010225
2025-03-13,45.010183299389,20.162932790224033,20.366598778004075,6.109979633401222,4.0733197556008145,2.8513238289205702,1.0183299389002036,0.40733197556008144
2025-03-27,50.89514066496164,25.31969309462916,5.626598465473146,7.672634271099745,5.115089514066496,3.580562659846547,1.278772378516624,0.5115089514066496
2025-03-31,53.510895883777245,23.97094430992736,5.326876513317192,7.263922518159806,4.842615012106537,3.389830508474576,1.2106537530266344,0.48426150121065376
2025-04-03,54.83870967741935,24.56575682382134,5.459057071960298,4.962779156327544,4.962779156327544,3.4739454094292808,1.240694789081886,0.49627791563275436
