date,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CMB WING LUNG BANK LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,ICBC (ASIA) SECURITIES LTD,KINGSTON SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-10-03,0.0,0.0,3490378.0,328567642.0,0.0,10435693.0,13237066.0,0.0,7226535.0
2024-10-31,19140128.0,13357285.0,4468378.0,0.0,0.0,0.0,13366666.0,0.0,6996535.0
2025-04-29,16462128.0,0.0,4778378.0,12140250.0,0.0,11025693.0,0.0,0.0,5697202.0
