date,CMB WING LUNG BANK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,GF SECURITIES (HONG KONG) BROKERAGE LTD,PHILLIP SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,VALUABLE CAPITAL LTD,HANG SENG SECURITIES LTD,NANYANG COMMERCIAL BANK LTD,TOTAL_CCASS_PCT
2024-07-03,0.0434375,0.0028125,3.0281249999999997,0.008749999999999999,4.464375,0.0846875,0.063125,0.32906250000000004,0.023125,0.001875,8.049375
2024-07-05,0.1853125,0.10031249999999999,4.515000000000001,0.0440625,2.9009375,0.5193749999999999,0.43875,0.52375,0.233125,0.0284375,9.489062500000001
2024-07-08,0.22640625,0.11249999999999999,4.336875,0.0440625,2.5475000000000003,0.5890625,0.635625,0.48937499999999995,0.3125,0.05437499999999999,9.34828125
2024-07-09,0.28296875,0.20468750000000002,5.0125,0.043750000000000004,2.37,0.7253125,0.6287499999999999,0.49874999999999997,0.21,0.04125,10.01796875
2024-07-10,0.37171875,0.4671875,4.753125,0.018125,2.265625,1.060625,1.125625,0.5896875,0.3028125,0.0428125,10.997343749999999
2024-07-11,0.40234375,0.6809375000000001,4.6240625,0.018125,2.1040625,1.1875,1.4068749999999999,0.5728125,0.39187500000000003,0.042499999999999996,11.43109375
2024-07-12,0.43265624999999996,0.8134374999999999,4.5249999999999995,0.018125,2.1259375,1.1065625000000001,1.45625,0.6171875,0.39249999999999996,0.07375,11.561406250000001
2024-07-15,0.59640625,0.94875,4.260625,0.018125,2.2034374999999997,1.338125,1.4324999999999999,0.6521875,0.4859375,0.0709375,12.00703125
2024-07-16,0.6326562499999999,0.9484374999999999,4.02,0.018125,2.120625,1.4449999999999998,1.4696875,0.64125,0.48812500000000003,0.050624999999999996,11.83453125
2024-07-17,0.59296875,0.9540625,4.01875,0.018125,2.1115625,1.4378125,1.4753125,0.6471875,0.5196875,0.050624999999999996,11.82609375
2024-07-18,0.64140625,0.9496875,3.994375,0.018125,2.105,1.4909375,1.4678125,0.634375,0.5240625,0.06,11.88578125
2024-07-19,0.63859375,0.9759375000000001,4.05,0.018125,2.0803125,1.5296874999999999,1.25125,0.6028125,0.5053125,0.06,11.71203125
2024-07-22,0.6392187500000001,0.983125,3.985625,0.018125,2.090625,1.5553124999999999,1.20625,0.589375,0.5175,0.06,11.64515625
2024-07-23,0.63484375,0.9971875,4.02,0.018125,2.11125,1.5831250000000001,1.19375,0.5871875000000001,0.5493750000000001,0.06,11.754843750000001
2024-07-24,0.68828125,1.0065625,3.640625,0.017499999999999998,2.1084375,1.60375,1.0431249999999999,0.676875,0.5603125,0.0740625,11.41953125
2024-07-25,0.71015625,1.0259375,3.5975,0.017499999999999998,2.11,1.6171874999999998,1.1265625,0.6090625,0.5596875,0.0740625,11.44765625
2024-07-26,0.70921875,1.0240624999999999,3.5559374999999998,0.017499999999999998,2.1334375,1.6203124999999998,1.0865625,0.6231249999999999,0.5721875000000001,0.069375,11.411718749999999
2024-07-29,0.66484375,1.0274999999999999,3.636875,0.017187499999999998,2.1506250000000002,1.6571875,1.089375,0.614375,0.5928125000000001,0.069375,11.52015625
2024-07-30,0.70203125,1.0303125,3.523125,0.017187499999999998,2.145625,1.6637499999999998,1.0853125,0.6115625,0.6046875,0.069375,11.45296875
2024-07-31,0.7117187500000001,1.0475,3.5690625,0.017187499999999998,2.1187500000000004,1.6065625,0.8975000000000001,0.6853125,0.6296875000000001,0.0709375,11.354218750000001
2024-08-01,0.7289062500000001,1.016875,3.5609374999999996,0.017187499999999998,2.091875,1.59,0.8703125,0.635625,0.59125,0.0709375,11.17390625
2024-08-02,0.80328125,1.0318749999999999,3.61125,0.01875,2.0765625,1.7271874999999999,0.8965624999999999,0.6478125,0.605625,0.0709375,11.48984375
2024-08-05,0.71078125,1.0390625,3.61,0.01875,1.9703125,1.5334375,0.911875,0.648125,0.6084375000000001,0.06,11.11078125
2024-08-06,0.72046875,1.0274999999999999,3.5618749999999997,0.01875,1.9675000000000002,1.5834375,0.9900000000000001,0.6740625,0.6053125,0.06,11.20890625
2024-08-07,0.73703125,1.0803125,3.5596875,0.01875,1.9678125000000002,1.581875,1.0740625,0.6365624999999999,0.6118750000000001,0.0740625,11.34203125
