date,WEALTH LINK SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,SUCCESS SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,M&F ASSET MANAGEMENT LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIBANK N.A.
2024-03-01,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,45.78465732087228,0.0,44.77544132917965,0.0,0.0,0.0,9.43990134994808,0.0
2024-03-05,0.0,33.63722624604836,0.0,33.13418175402793,18.288408996628885,0.0,0.0,6.935338517949867,8.004844485344954
2024-03-06,0.0,33.740996183242615,0.0,32.87768201341127,18.33526243794182,0.0,0.0,7.076306450224318,7.969752915179981
2024-03-07,0.0,33.874662069694075,0.0,32.4317056657047,18.587967520275818,0.0,0.0,7.1043394332854755,8.001325311039938
2024-03-12,0.0,33.87624965187412,0.0,32.430927023211595,18.58752124768316,0.0,0.0,7.104168867462475,8.001133209768653
2024-03-14,0.0,33.83653721418516,0.0,32.45040430878333,18.5986844950104,0.0,0.0,7.108435471549441,8.005938510471669
2024-03-15,0.0,33.839788960804945,0.0,32.44391268205254,18.600471859038116,0.0,0.0,7.109118603835417,8.00670789426898
2024-03-18,0.0,33.799186995771805,0.0,32.5249684444935,18.57815447080336,0.0,0.0,7.100588876144037,7.997101212787299
2024-03-19,0.0,33.80729959244022,0.0,32.50877285623076,18.582613663093518,0.0,0.0,7.102293183814741,7.999020704420752
2024-03-20,0.0,33.77661998723872,0.0,32.56046017376453,18.571024212854354,0.0,0.0,7.097863684556449,7.994031941585949
2024-03-21,0.0,33.89187085241443,0.0,32.390210616858,18.601365669884625,0.0,0.0,7.109460219218368,8.007092641624581
2024-03-25,0.0,33.53945648831488,0.0,32.38631995694957,18.959486469864697,0.0,0.0,7.108606242312423,8.006130842558425
2024-03-26,0.0,33.499217767710604,0.0,32.34746470356756,19.056714240466842,0.0,0.0,7.10007774333183,7.996525544923168
2024-03-27,0.0,33.51852029693937,0.0,32.36610358305563,19.010074042773866,0.0,0.0,7.104168867462475,8.001133209768653
2024-04-03,0.0,33.520129845184584,0.0,32.36285582574622,19.010986900234336,0.0,0.0,7.104510007298989,8.001517421535862
2024-04-16,0.0,33.52817990566672,0.0,32.34661235938866,19.015552502905887,0.0,0.0,7.106216198042247,8.003439033996484
2024-04-17,0.0,33.548321983150146,0.0,32.305969539536605,19.02697610934624,0.0,0.0,7.110485262383875,8.008247105583138
2024-04-22,0.0,33.610012352027994,0.0,32.30752224085974,18.90292843994367,0.0,0.0,7.17090496628425,8.008632000884347
2024-04-23,0.0,33.60043839198589,0.0,32.31218124047627,18.9056543913706,0.0,0.0,7.171939067359505,8.009786908807737
2024-04-24,0.0,33.66354753109905,0.0,32.36805478634002,18.75815702913173,0.0,0.0,7.185409573161629,8.024831080267575
2024-04-25,0.0,33.66922276598204,0.0,32.41686254864938,18.76131940965666,0.0,0.0,7.126411313629532,8.026183962082387
2024-04-26,0.0,33.66602761105598,0.0,32.41842406959605,18.762223142804842,0.0,0.0,7.126754593011493,8.026570583531633
2024-04-29,0.0,34.4817626472443,0.0,31.961700837132277,18.41305907101905,0.0,0.0,7.122123109953643,8.021354334650729
