date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD,KINGSWAY FINANCIAL SERVICES GROUP LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,HANG SENG BANK LTD
2024-03-01,62.71300162011188,8.111003114629947,6.423755948749052,7.508713866496953,3.5343676387663123,4.779222983699314,3.144115889654208,2.6794276271226725,1.106391310769655,0.0
2024-03-04,60.73267645560597,8.296688368399693,6.576494426245952,8.758798818936404,3.6119023049187424,4.818576013884941,3.202851112850132,2.87544142261853,1.1265710765396282,0.0
2024-03-05,59.82082835688961,8.268665928244722,6.4926258597991335,9.759390573548359,3.641953387603144,4.752021383498621,3.161153303057193,3.0201540936852322,1.0832071136739847,0.0
2024-03-06,59.742339123187406,8.175062874393939,6.426720429083435,10.063576159580347,3.59576689923482,4.722526434454792,3.1297252427729685,3.069376601190895,1.0749062361013968,0.0
2024-03-07,59.60649434751792,8.127506391071945,6.370725934964656,10.24893302567287,3.6040763744936575,4.798692748126817,3.1204594110417077,3.0526445765330186,1.0704671905774032,0.0
2024-03-08,59.72679356693797,8.076667430952742,6.354066308982667,10.278995293686535,3.5876843848661877,4.7553778635565855,3.1186819313192267,3.0348587270868657,1.0668744926112135,0.0
2024-03-11,59.851229377732906,8.033643404455756,6.332559526884824,10.285669373219415,3.580567333324014,4.694884375361963,3.1071019250241005,3.049554647799327,1.064790036197692,0.0
2024-03-12,59.45101631022639,8.14046462006745,6.38885747471605,10.560721093721535,3.5549471210317525,4.68759496648483,3.1024883341141627,3.058926659423073,1.0549834202147577,0.0
2024-03-13,59.16589351048845,8.465838531984284,6.376203851003128,10.400437750219488,3.7160461872990354,4.721611085229641,3.0950588871058677,3.0106255743983823,1.0482846222717224,0.0
2024-03-14,59.0457281502045,8.549198155334839,6.3741164126850585,10.440237658769398,3.742405062311397,4.715950176397168,3.0889799135830467,3.0049811483369075,1.0384033223776834,0.0
2024-03-15,59.088367234114145,8.589475384481757,6.376896530096304,10.358730621186275,3.749486250468106,4.710580755375165,3.0911136288489383,2.9960209644813873,1.0393286309479193,0.0
2024-03-18,59.19078103529709,8.581870113055977,6.384715965706501,10.485495393337079,3.698356877403977,4.759017840848131,3.094752876298388,2.763547428128639,1.0414624699242145,0.0
2024-03-19,60.58407141092752,8.64204098743085,6.4268320033516275,8.92204422618814,3.6877985888862526,4.792870102321992,3.1144903264757016,2.7813294144494205,1.0485229399684928,0.0
2024-03-20,60.42944459848736,8.718385363408263,6.433067610471775,9.079737589422667,3.609542904175459,4.77082632553108,3.11505118024297,2.795284970899723,1.0486594573607046,0.0
2024-03-21,60.38417223540468,8.737311353441074,6.435170391583219,9.056450872009227,3.6281305076657953,4.808508176273022,3.1134089270098566,2.788375029206617,1.048472507406514,0.0
2024-03-22,60.34181460660185,8.732307264045772,6.424923612337851,9.212341742961012,3.620903417817571,4.764529459107157,3.1091333024365864,2.7470661479094898,1.046980446782703,0.0
2024-03-25,60.28369319160072,8.73930748221176,6.423047169239047,9.384304749917751,3.6276906713222514,4.744891592681045,3.1083740067681345,2.639931073246718,1.048760063012577,0.0
