date,CHINA INTERNATIONAL CAPITAL CORPORATION,OCBC SECURITIES BROKERAGE (HK) LTD,HANG SENG BANK LTD,THE HONGKONG AND SHANGHAI BANKING,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,LUK FOOK SECURITIES (HK) LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,MORGAN STANLEY HONG KONG SECURITIES LTD
2024-03-01,0.0,0.0,0.0,58.6670800742128,0.0,0.0,41.332919925787195,0.0,0.0
2024-03-06,0.0,0.0,0.0,40.023686628333124,0.0,31.774134935987398,28.202178435679475,0.0,0.0
2024-03-07,0.0,0.0,0.0,41.13845308985642,0.0,29.869592949991286,28.991953960152294,0.0,0.0
2024-03-11,0.0,0.0,0.0,33.336394731738906,0.0,24.20471520604642,23.493523666264117,0.0,18.965366395950557
2024-03-12,0.0,0.0,0.0,33.15234939564331,0.0,24.052452905128025,23.3457351903554,0.0,19.44946250887326
2024-03-13,0.0,0.0,0.0,33.27090757521884,0.0,24.170781141315825,23.473661989784812,0.0,19.08464929368052
2024-03-14,0.0,0.0,0.0,33.22826025136697,0.0,24.1745347090009,23.477307299325282,0.0,19.11989774030685
2024-03-15,0.0,0.0,0.0,33.19501405775645,0.0,24.175917896249935,23.509302400390812,0.0,19.119765645602804
2024-03-18,0.0,0.0,0.0,33.18764154752776,0.0,24.178585918695628,23.51189685602869,0.0,19.12187567774792
2024-03-20,0.0,0.0,0.0,33.169879705145,0.0,24.177913916824426,23.51124338362398,0.0,19.140962994406593
2024-03-21,0.0,0.0,0.0,33.16434163419351,0.0,24.190569633300115,23.49410656930126,0.0,19.150982163205114
2024-03-22,0.0,0.0,0.0,33.149971958364674,0.0,24.180088175607402,23.527255573123522,0.0,19.142684292904402
2024-03-25,0.0,0.0,0.0,33.12019762242978,0.0,24.175779570402344,23.56474951378441,0.0,19.139273293383468
2024-03-26,0.0,0.0,0.0,33.11082108876608,0.0,24.17916900940978,23.568053286511567,0.0,19.141956615312576
2024-03-28,0.0,0.0,0.0,33.045490252463416,0.0,24.202784867134454,23.59107226590847,0.0,19.160652614493657
2024-04-02,0.0,0.0,0.0,33.02027819128461,0.0,24.21189854887253,23.599955604155358,0.0,19.16786765568751
2024-04-03,0.0,0.0,0.0,32.952334556194614,0.0,24.21189854887253,23.626969338588726,0.0,19.20879755634413
2024-04-05,0.0,0.0,0.0,33.00637245802431,0.0,24.251603177224837,23.501726669475865,0.0,19.24029769527499
2024-04-09,0.0,0.0,0.0,32.9655574707198,0.0,24.221614153830913,23.59550390191246,0.0,19.217324473536827
2024-04-10,0.0,0.0,0.0,27.59242347613522,0.0,20.273676111853117,19.726997272000276,16.321170278076,16.08573286193539
2024-04-11,0.0,0.0,0.0,27.62545102988273,0.0,20.259442153429426,19.713147131678177,16.32683549921563,16.07512418579404
2024-04-12,0.0,0.0,0.0,27.62434259457287,0.0,20.259081356842938,19.68026073524747,16.360792452110598,16.075522861226123
2024-04-15,0.0,0.0,0.0,27.708609937136597,0.0,20.32088116050809,19.43456040441702,16.410700626303562,16.12524787163473
2024-04-16,0.0,0.0,0.0,27.70689671068201,0.0,20.31962471815087,19.43335876337138,16.414838460176295,16.125281347619442
2024-04-17,0.0,0.0,0.0,27.706706365264623,0.0,20.319485123035307,19.43322525687212,16.414725690806605,16.12585756402134
2024-04-18,0.0,0.0,0.0,27.689966203989503,0.0,20.30720825932214,19.421483863990304,16.40480805022788,16.176533622470174
2024-04-19,0.0,0.0,0.0,27.68473905123734,0.0,20.30337478120377,19.417817587835152,16.401711244803252,16.19235733492048
2024-04-22,0.0,0.0,41.17460336171167,13.281345005488006,10.847261964807913,9.740244426571177,9.315411431560712,7.868478923332606,7.772654886527912
2024-04-23,0.0,0.0,41.17453556472217,13.281323136784136,10.847244103999417,9.74022838854785,9.315396093055918,7.868465967307789,7.772806745582722
2024-04-24,0.0,0.0,41.21541797299468,13.19505489542985,10.858014388497082,9.749899511444237,9.324645397779655,7.87627860766285,7.780689226191645
