date,CITIC SECURITIES BROKERAGE (HK) LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,LUK FOOK SECURITIES (HK) LTD,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,HSBC BROKING SECURITIES (HONG KONG) LTD,DBS BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD
2024-03-01,31.846406143539387,46.22993650477058,0.0,0.0,0.0,21.923657351690036,0.0,0.0,0.0
2024-03-04,26.87760747291037,38.96106266128416,0.0,0.0,15.67568617404857,18.485643691756906,0.0,0.0,0.0
2024-03-05,20.617633978661665,29.53550343629725,23.989777827060095,0.0,11.888320374853135,13.968764383127857,0.0,0.0,0.0
2024-03-06,20.62754768195237,29.545498752325933,23.977021965036556,0.0,11.889615008880506,13.96031659180464,0.0,0.0,0.0
2024-03-07,20.642873056201797,29.49508198724776,23.931601178817168,0.0,11.910694647819989,14.01974912991329,0.0,0.0,0.0
2024-03-08,20.694702547171094,29.47837823986914,23.91804815934668,0.0,11.903949345854494,14.004921707758594,0.0,0.0,0.0
2024-03-11,20.725968793200757,29.47386696072908,23.914387815794047,0.0,11.902127602543807,13.983648827732306,0.0,0.0,0.0
2024-03-12,20.73804629883407,29.48483367066456,23.923907040255564,0.0,11.906865295395948,13.946347694849859,0.0,0.0,0.0
2024-03-13,20.750598281107536,29.478740944620053,23.918963420320694,0.0,11.904404868821933,13.947292485129784,0.0,0.0,0.0
2024-03-14,20.77922761433132,29.46507532323135,23.907569185034962,0.0,11.898886278658914,13.949241598743455,0.0,0.0,0.0
2024-03-15,20.792943939898244,29.45664891283739,23.901352637970007,0.0,11.89579228001776,13.953262229276595,0.0,0.0,0.0
2024-03-18,20.799814806618823,29.458420913586416,23.88728593163357,0.0,11.88879122785235,13.965687120308845,0.0,0.0,0.0
2024-03-19,21.293741087901786,29.444917585806678,23.876336334143286,0.0,11.883341572376063,13.501663419772186,0.0,0.0,0.0
2024-03-20,21.30382219806693,29.44829225704302,23.86379150774624,0.0,11.884703517807866,13.499390519335947,0.0,0.0,0.0
2024-03-21,21.80026523535524,29.273606645575505,23.71463752183991,0.0,11.814204125754943,13.397286471474402,0.0,0.0,0.0
2024-03-22,21.87768972655466,29.25606461279221,23.71211610682635,0.0,11.812948002332076,13.341181551494701,0.0,0.0,0.0
2024-03-25,21.890196128790727,29.25450939696528,23.691870332488502,0.0,11.812320040781572,13.35110410097392,0.0,0.0,0.0
2024-03-26,21.889531203008737,29.25362077644205,23.69115067994108,0.0,11.811961235584302,13.353736105023827,0.0,0.0,0.0
2024-03-27,22.06020375504993,29.220942473215572,23.6699059630256,0.0,11.739056710185412,13.309891098523488,0.0,0.0,0.0
2024-03-28,22.295335645976824,29.260599407369387,23.679257672902573,0.0,11.745974034876348,13.018833238874869,0.0,0.0,0.0
2024-04-02,22.258071506929404,29.06510147277658,23.52105018359948,0.0,11.667496023143588,12.910719048537223,0.0,0.0,0.5775617650137261
2024-04-03,22.24917192725505,29.128920963586957,23.47392523623135,0.0,11.662830937472267,12.907820100462732,0.0,0.0,0.577330834991644
2024-04-05,21.66891183692455,28.10715173404147,22.65779847254075,0.0,11.253728183676582,12.17842718199122,0.0,3.5761751234329835,0.5578074673924434
2024-04-08,21.685755150405427,28.10539521111457,22.654624987221723,0.0,11.25302489535499,12.167475513389666,0.0,3.5759516346336078,0.5577726078800124
