date,CHINA INTERNATIONAL CAPITAL CORPORATION,GOLDMAN SACHS (ASIA) SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CMB INTERNATIONAL SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,BNP PARIBAS
2024-03-01,0.0,47.3503106532135,35.35861972167362,0.0,4.986476149840466,1.9910207589093323,5.215432705374626,3.380131249704009,0.6111671836246351,1.106841577659808
2024-03-04,0.0,47.35595209536504,35.46942440802325,0.0,4.894284728322134,1.9893372986907027,5.202373789789266,3.3492786980002713,0.611553990394369,1.1277949914149696
2024-03-05,0.0,47.369361060725005,35.44385149221095,0.0,4.8766703168342955,1.9908772107444035,5.203158048543368,3.3624169191414013,0.6102228371759616,1.1434421146246097
2024-03-06,0.0,47.27840417745061,35.4432885061141,0.0,4.885598855289041,1.9911134527866488,5.189731444806035,3.447520005319217,0.6151884319234021,1.1491551263109434
2024-03-07,49.5364400115083,23.90856450992665,17.896059599427666,0.0,2.4607198950689484,1.0079201739808485,2.6239820478228184,1.695832402319014,0.30854888073199416,0.5619324792137634
2024-03-08,49.53174162332413,23.87538936767152,17.97966316424292,0.0,2.461134264538688,1.014117117318265,2.6173480916779197,1.6490971253952234,0.3099076764211032,0.5616015694102287
2024-03-11,49.541266181177306,23.883657710514992,17.972459091803117,0.0,2.4577467709307395,1.0147799037703633,2.6211809332987226,1.6243022800540532,0.3099122649760119,0.5746948634746988
2024-03-12,49.54855658774149,23.889486197173397,17.95307642470095,0.0,2.4748604267758374,0.999565544389273,2.6241581279520454,1.6234306811697852,0.3062557765170467,0.5806102335801794
2024-03-13,49.56396538504955,23.894693492298572,17.921144177961583,0.0,2.47618555510571,1.0028389897785155,2.621826439544818,1.6372961123346759,0.3067213416853971,0.5753285062411803
2024-03-14,49.50319238203091,23.92606447596743,17.962963594444098,0.0,2.4969789865472616,0.982060979397854,2.6152769043700586,1.6365372077048252,0.3067150080569754,0.5702104614805918
