date,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HSBC BROKING SECURITIES (HONG KONG) LTD,BOCI SECURITIES LTD,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,FUTU SECURITIES INTERNATIONAL,CHINA MERCHANTS SECURITIES (HK) CO LTD
2024-03-04,0.0,0.0,80.42111377063553,0.0,0.0,0.0,19.578886229364464,0.0
2024-03-05,32.94080396372949,33.45124398920278,26.99232319438478,0.0,0.0,0.0,6.615628852682947,0.0
2024-03-06,27.49672884927572,27.923138353442827,22.532906068428314,16.524887415908008,0.0,0.0,5.522339312945135,0.0
2024-03-07,27.466279040206516,27.92512935395475,22.565626718927373,16.52606568816695,0.0,0.0,5.516899198744417,0.0
2024-03-11,27.464676785853108,27.92350033241851,22.56431034572681,16.52510163473056,0.0,0.0,5.522410901271009,0.0
2024-03-12,27.46432075471618,27.923138353442827,22.56401783920547,16.524887415908008,0.0,0.0,5.523635636727517,0.0
2024-03-13,27.475094781899838,27.934092370997455,22.572869517852226,16.531369993351518,0.0,0.0,5.486573335898956,0.0
2024-03-14,27.4760674061395,27.934092370997455,22.572869517852226,16.531369993351518,0.0,0.0,5.4856007116593,0.0
2024-03-18,27.471614146502603,27.929564875697267,22.569210957577685,16.528690625826112,0.0,0.0,5.500919394396335,0.0
2024-03-19,27.469655169546,27.927573242671716,22.5676015667367,16.52751197924619,0.0,0.0,5.507658041799397,0.0
2024-03-20,27.469420074423706,27.92766376528349,22.567674715886376,16.527565550443995,0.0,0.0,5.507675893962431,0.0
2024-03-22,27.46736119213998,27.92820691327776,22.568113620742878,16.527886984923956,0.0,0.0,5.508431288915429,0.0
2024-03-26,27.467596298508113,27.928116387144918,22.56804046874791,16.527833411642384,0.0,0.0,5.5084134339566715,0.0
2024-03-27,23.166201427028916,23.693563334442167,18.866079124990627,13.963486256783975,11.014558981706934,0.0,4.633500440572364,4.662610434475014
2024-03-28,23.20748468113173,23.605285781983714,18.87979942167839,13.972018689473098,11.028961879622425,0.0,4.588927181655344,4.717522364455299
2024-04-05,23.206862664663177,23.60168097581079,18.881299811233497,13.973129054601308,11.029838358171705,0.0,4.5892918665896865,4.717897268929839
2024-04-08,23.208643469991845,23.603492077977187,18.882748689515832,13.974201298749003,11.02301113037131,0.0,4.589644031185518,4.718259302209305
2024-04-09,23.198119397235757,23.606726880423075,18.885336525309118,13.976116429797884,11.02452180782733,0.0,4.590273030983039,4.718905928423795
2024-04-10,23.20797925213277,23.61676040502258,18.893363325871363,13.982056673386682,11.004528483781478,0.0,4.574400263295481,4.720911596509651
2024-04-11,23.21383551788512,23.34843888681712,19.065442218534244,13.98558488404019,11.007305349555969,0.0,4.657290279093987,4.72210286407337
2024-04-15,23.207088340279157,23.341652586299485,19.081836882238807,13.981519927817715,11.011235271648163,0.0,4.655936622364087,4.720730369352581
2024-04-17,23.1649518132198,23.354460229017487,19.09230714985535,13.98919163449007,11.01727717321112,0.0,4.658491350336171,4.7233206498700016
2024-04-18,23.16488825996209,23.3543961558417,19.092529120852564,13.989153255014546,11.017246947210174,0.0,4.658478569722436,4.723307691396488
2024-04-22,23.150978492093422,23.340372594596978,19.086000024437116,13.980753219915185,11.010631445945165,0.0,4.710792725463087,4.7204714975490445
2024-04-23,23.043970953740196,23.34863100934756,19.092753134461073,13.985699964366141,11.014527286115579,0.0,4.79227593209267,4.722141719876776
2024-04-26,23.044034159652675,23.34869505089366,19.092805502817463,13.985738324895658,11.014557497195476,0.0,4.792014792591724,4.722154671953346
2024-04-29,23.044034159652675,23.34787219906046,19.092805502817463,13.985738324895658,11.014557497195476,0.0,4.792837644424921,4.722154671953346
2024-04-30,23.038852426052046,23.34262214375162,19.09399669678821,13.982593460168168,11.012080738903771,0.0,4.808761696754442,4.721092837581747
2024-05-02,23.041000666910683,23.344798709394283,19.0864526759841,13.983897256816777,11.013107552277303,0.0,4.809210086203942,4.7215330524129175
2024-05-07,23.115839802382116,23.32568049598883,19.071493972257635,13.972937599747068,11.004476204389938,0.0,4.791739299258232,4.717832625976181
2024-05-08,21.954468015913786,22.0865334566726,18.066976955962115,13.236396706224932,10.424408721910721,5.2011069701102715,4.5503196286216285,4.479789544583948
2024-05-09,21.97817333183801,22.097317513511474,18.07579840849028,13.242859560828252,10.429498584309874,5.203646482854576,4.516700737838088,4.456005380329448
2024-05-10,22.03028960601945,22.076952261016544,18.05828806503505,13.236877765239157,10.424787583008264,5.201295997339316,4.51751611827205,4.453992604070167
2024-05-13,22.0356531685362,22.077124196020108,18.05842870273658,13.236980853862931,10.426945567480518,5.201336504961712,4.509503714698038,4.4540272917039125
2024-05-14,22.063653166044265,22.05502575890916,17.99680654591836,13.230420746432683,10.421778083758422,5.198758777711811,4.581736998244917,4.451819922980378
2024-05-16,22.102134079521726,22.093491625444713,18.028194528241702,13.253495740957952,10.440214486746179,5.20782586126365,4.415059397056517,4.45958428076756
2024-05-17,22.255743035834012,22.047075733973763,18.03151726481432,13.262631002622868,10.440908068087582,5.211415469083188,4.329667693070411,4.421041732513858
2024-05-20,22.242335290322494,22.048734803336927,18.039542737016678,13.263941997170278,10.43335590495203,5.211930611008113,4.3386799092136314,4.421478746979846
2024-05-21,22.238032135269524,22.053496296285317,18.046300461678698,13.266806386753203,10.435869205128016,5.213056143655367,4.3240057921445665,4.422433579085315
2024-05-22,22.238003390123993,22.053725817768374,18.045707716772938,13.266944460872446,10.43597781630444,5.213110398471079,4.324050794180019,4.4224796055067115
2024-05-23,22.237945529839962,22.05366843694972,18.04566076427654,13.266909942073198,10.43595066329839,5.213096834661279,4.324299730089361,4.422468098811547
