date,UOB KAY HIAN (HONG KONG) LTD,CMBC SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,SHANGHAI COMMERCIAL BANK LTD,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL
2024-03-26,94.03595044821286,0.0,0.0,0.0,0.0,0.0,5.964049551787146,0.0
2024-04-12,94.19164712389593,0.0,0.0,0.0,0.0,0.0,5.808352876104068,0.0
2024-04-15,80.40993549344894,0.0,0.0,14.63156452962233,0.0,0.0,4.958499976928726,0.0
2024-04-24,69.84913994894494,0.0,6.602493754365686,12.70989949475674,0.0,6.531201080353339,4.307265721579294,0.0
2024-05-29,69.73078953441207,0.0,6.600663725048738,12.833084062917195,0.0,6.529390811400942,4.306071866221058,0.0
2024-05-30,62.7713897782915,0.0,5.941892215001969,11.57011525488686,0.0,5.877732611000749,3.876309408407104,9.962560732411822
2024-06-19,62.8121348274153,0.0,5.832760296482813,11.597656266184748,0.0,5.889909203245658,3.8843397565370847,9.983199650134393
2024-06-28,62.8009191903046,0.0,5.831718807875256,11.613441251200449,0.0,5.888857510218186,3.8836461748709987,9.98141706553052
2024-07-22,57.52281437058957,0.0,13.746094349390678,10.637389291583563,0.0,5.393928333893387,3.5572450352389686,9.142528619303834
2024-08-02,57.52093284366745,0.0,13.745644725239368,10.637041350778647,0.0,5.393751902654978,3.5571286804956275,9.14550049716393
2024-08-21,57.505885058248566,0.0,13.74204879064575,10.660419181416495,0.0,5.3923408681459515,3.5561981165001346,9.143107985043104
2024-08-29,57.44201970764683,0.0,13.726787035033924,10.759638655141854,0.0,5.386352198642659,3.5522486452540276,9.1329537582807
2024-09-02,57.428888564279426,0.0,13.723649115973133,10.780038842756136,0.0,5.385120888126285,3.55143660754235,9.130865981322676
2024-09-23,52.59652626459162,0.0,12.56887063670753,9.872950884148025,8.414514751193563,4.931989096625293,3.2526004503214105,8.362547916412565
2024-09-25,52.56822555825396,0.0,12.562107682152392,9.921445705598332,8.409987138290962,4.929335332489199,3.2508503178180734,8.35804826539709
2024-09-26,52.400620194657975,0.0,12.522055414775291,10.190768200965286,8.383173241927109,4.913618936664257,3.240485502499926,8.349278508510155
2024-09-27,52.400620194657975,0.0,12.522055414775291,10.193747957749194,8.383173241927109,4.913618936664257,3.240485502499926,8.346298751726247
2024-10-02,52.39905883014778,0.0,12.521682299097526,10.208342557888841,8.382923451196882,4.913472527133304,3.2403889467904596,8.33413138774521
2024-10-03,52.32733650876343,0.0,12.504542981289552,10.334222379968141,8.371449147204972,4.906747107563335,3.235953595800562,8.319748279409998
2024-10-04,52.32110906302518,0.0,12.5030548229369,10.344893451762777,8.370452865934167,4.906163158457526,3.23556848685419,8.318758151029256
2024-10-16,52.31955243318519,0.0,12.502682838692355,10.350535969733949,8.370203832667505,4.906017192897753,3.235472223939543,8.3155355088837
2024-11-18,52.24494297141402,0.0,12.627456989774089,10.335775753298016,8.358267637233343,4.899021045469511,3.230858330471857,8.303677272339165
2024-12-23,52.26512868123571,0.0,12.632335819534147,10.357601466006292,8.361496994096257,4.900913864402978,3.2321066267666696,8.250416547957954
2025-01-03,52.26512868123571,0.0,12.632335819534147,10.372461726359242,8.361496994096257,4.900913864402978,3.2321066267666696,8.235556287605004
2025-01-08,52.26536168430032,0.0,12.63239213572495,10.372507967809916,8.36153427046912,4.900935713157178,3.2321210358146946,8.235147192723813
2025-02-03,52.27312964208994,0.0,12.634269629455593,10.403774655905556,8.362777006445228,4.90166411645379,3.232601410942084,8.191783538707808
2025-02-18,52.27157586581504,0.0,12.633894086063888,10.403465412163303,8.362528429698553,4.90151841847351,3.202781137601703,8.224236650184011
2025-02-27,52.27623747177288,0.0,12.635020783221318,10.404393198547094,8.363274204274981,4.901955538401189,3.2030667632669987,8.216052040515539
2025-03-03,51.51363146528365,0.0,12.450701038583926,10.261401814700937,8.24127071950735,4.830445787165813,3.1563404097460057,9.546208765012317
2025-03-05,51.51363146528365,0.0,12.450701038583926,10.276048405929455,8.24127071950735,4.830445787165813,3.1563404097460057,9.531562173783797
2025-03-06,51.51363146528365,0.0,12.450701038583926,10.305341588386495,8.24127071950735,4.830445787165813,3.1563404097460057,9.502268991326758
2025-03-13,51.51363146528365,0.0,12.450701038583926,10.319988179615015,8.24127071950735,4.830445787165813,3.1563404097460057,9.487622400098237
2025-04-15,34.49657022149869,33.034093617051994,8.337724801518846,6.910873623092291,5.518841634790597,3.234751803712514,2.113671963917668,6.35347233441739
2025-04-16,36.11687471077601,34.58570555537619,8.729347877074352,7.235477474559995,5.77806172012212,3.386688150879771,2.2129511719666177,1.9548933392449426
2025-04-17,36.11316628044452,34.582154343358404,8.728451559807125,7.234734545822545,5.777468436802017,3.386340410463065,2.2127239492261688,1.9649604740761575
2025-04-23,36.10575170397118,34.575054106674635,8.726659477354941,7.233249145950994,5.776282235591791,3.385645143818674,2.2122696437020144,1.9850885429357705
2025-04-24,36.104718040725295,34.613430060193664,8.736345474590001,7.243332988843376,5.782693515177989,3.38940297917217,2.2167805415628776,1.9132963997346357
