date,CHINA GALAXY INTERNATIONAL SECURITIES,PUBLIC FINANCIAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,SHANGHAI COMMERCIAL BANK LTD,KINGSWAY FINANCIAL SERVICES GROUP LTD,HANG SENG SECURITIES LTD
2024-03-22,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-25,0.0,59.11893980132654,0.0,40.88106019867346,0.0,0.0,0.0,0.0
2024-04-03,0.0,40.56323253844173,31.387077179060718,28.049690282497547,0.0,0.0,0.0,0.0
2024-04-05,0.0,40.53704877342169,31.36681666721064,28.09613455936767,0.0,0.0,0.0,0.0
2024-04-08,0.0,40.47173701289481,31.316279637983136,28.21198334912205,0.0,0.0,0.0,0.0
2024-04-19,0.0,35.833627244224346,27.727396302902463,24.978856104708473,0.0,0.0,0.0,11.46012034816472
2024-04-24,0.0,36.091050463751664,27.0788919212377,25.287609539985077,0.0,0.0,0.0,11.542448075025549
2024-05-07,0.0,36.09623665904821,27.068413337132313,25.29124330735876,0.0,0.0,0.0,11.544106696460723
2024-06-18,0.0,36.12219000891162,27.015975211722328,25.309427820393644,0.0,0.0,0.0,11.552406958972405
2024-07-03,0.0,36.12998329306328,27.021803849781286,25.2933134914368,0.0,0.0,0.0,11.554899365718637
2024-07-15,0.0,36.31278607264075,27.158523006634187,24.915328540931448,0.0,0.0,0.0,11.613362379793617
2024-08-02,0.0,36.31016158110888,27.156560135663444,24.92075525437676,0.0,0.0,0.0,11.612523028850916
2024-08-06,0.0,36.127385158065344,27.019860691000392,25.298685706951634,0.0,0.0,0.0,11.554068443982631
2024-08-16,38.230661248987516,22.31564692016839,16.689989280275693,15.626830873880934,0.0,0.0,0.0,7.136871676687469
2024-08-22,38.17848652762324,22.334496282710806,16.704086817304237,15.640030392657359,0.0,0.0,0.0,7.142899979704352
2024-08-28,38.17858836441342,22.334555857450887,16.70386463488674,15.640072110667635,0.0,0.0,0.0,7.142919032581315
2024-09-09,35.34476814323199,20.676764966498364,15.464013938407312,14.479181818315764,0.0,0.0,7.422537978965346,6.612733154581224
2024-09-11,35.18835876808987,20.585265147479472,15.395581837014156,14.857632673594646,0.0,0.0,7.389691405391743,6.583470168430113
