date,INTERACTIVE BROKERS HONG KONG LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,LUK FOOK SECURITIES (HK) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,CHIEF SECURITIES LTD
2024-03-06,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,0.0,60.19572143832499,0.0,0.0,39.80427856167501,0.0,0.0,0.0,0.0
2024-03-14,0.0,37.52597770640468,37.69129038352541,0.0,24.782731910069902,0.0,0.0,0.0,0.0
2024-03-15,0.0,37.540728148462954,37.682391273551495,0.0,24.77688057798555,0.0,0.0,0.0,0.0
2024-03-18,0.0,37.555471626852984,37.67349636483807,0.0,24.77103200830894,0.0,0.0,0.0,0.0
2024-03-19,0.0,37.49941112733782,37.593630753285915,0.0,24.906958119376267,0.0,0.0,0.0,0.0
2024-03-21,0.0,37.546520940311865,37.593630753285915,0.0,24.859848306402224,0.0,0.0,0.0,0.0
2024-03-26,0.0,37.59062235194426,37.567084078711986,0.0,24.842293569343752,0.0,0.0,0.0,0.0
2024-04-08,0.0,37.72255367125476,37.48766853008878,0.0,24.789777798656456,0.0,0.0,0.0,0.0
2024-04-11,0.0,37.78101093537335,37.45248040550054,0.0,24.766508659126107,0.0,0.0,0.0,0.0
2024-04-17,0.0,37.772147147147145,37.44369369369369,0.0,24.78415915915916,0.0,0.0,0.0,0.0
2024-04-18,0.0,37.82222848288491,37.47006620650796,0.0,24.70770531060713,0.0,0.0,0.0,0.0
2024-04-22,0.0,37.842530030030034,37.44369369369369,0.0,24.713776276276274,0.0,0.0,0.0,0.0
2024-04-29,0.0,31.476855827023652,31.145109671376158,0.0,20.615096401529936,16.76293810007025,0.0,0.0,0.0
2024-04-30,0.0,31.49022515315878,31.13903305107894,0.0,20.611074257618917,16.759667538143365,0.0,0.0,0.0
2024-05-06,0.0,31.523096129837704,31.132958801498127,0.0,20.587546816479403,16.75639825218477,0.0,0.0,0.0
2024-05-07,0.0,31.516948160861258,31.126886921246637,0.0,20.603034676444203,16.75313024144791,0.0,0.0,0.0
2024-05-08,0.0,31.711978780668566,30.658813433709092,0.0,20.876077544174436,16.75313024144791,0.0,0.0,0.0
2024-05-09,0.0,31.731481842649295,30.658813433709092,0.0,20.856574482193704,16.75313024144791,0.0,0.0,0.0
2024-05-21,0.0,31.770487966610755,30.639310371728364,0.0,20.837071420212975,16.75313024144791,0.0,0.0,0.0
2024-05-22,0.0,31.78999102859149,30.639310371728364,0.0,20.81756835823224,16.75313024144791,0.0,0.0,0.0
2024-05-23,0.0,31.80329147492395,30.633335933234534,0.0,20.813509086654708,16.749863505186802,0.0,0.0,0.0
2024-05-24,0.0,31.816586735290674,30.627363824228954,0.0,20.809451397824308,16.74659804265606,0.0,0.0,0.0
2024-06-04,0.0,31.856441430909516,30.60946146052529,0.0,20.797287818564413,16.736809290000778,0.0,0.0,0.0
2024-06-07,0.0,31.946826758147512,30.621394043349447,0.0,20.96132855138001,16.47045064712303,0.0,0.0,0.0
