date,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,NANYANG COMMERCIAL BANK LTD,BOCI SECURITIES LTD,UBS SECURITIES HONG KONG LTD,ICBC (ASIA) SECURITIES LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL
2024-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2024-03-08,97.8363476405771,0.0,0.0,0.0,0.0,0.04718842719400315,0.0,1.4630192200917187,0.6534447121371693
2024-03-13,95.66084609255573,0.0,2.2199527316523575,0.0,0.0,0.04613913928736148,0.0,1.4304873374647498,0.6425746990398039
2024-03-14,95.65999731191526,0.0,2.220376674997819,0.0,0.0,0.046138729903482965,0.0,1.4309404676160793,0.6425468155673622
2024-03-15,95.66040332669972,0.0,2.220373227331086,0.0,0.0,0.04613865826205114,0.0,1.4309382457381865,0.6421465419689464
2024-03-19,95.65779341357178,0.0,2.22031264864823,0.0,0.0,0.04613739945604869,0.0,1.4309435680727485,0.6448129702511943
2024-03-20,94.88059185028227,0.0,2.202229024027885,0.0,0.0,0.04576254177113092,0.810391063289673,1.4193174209665012,0.6417080996625372
2024-03-22,94.87167744338893,0.0,2.2111771376796576,0.0,0.0,0.04575649152631796,0.8102839218561473,1.4191297736564565,0.6419752318924892
2024-03-25,94.00143584926971,0.0,2.190894389771858,0.0,0.9175007804036829,0.04533677509249685,0.8028513266828826,1.4061123401107518,0.635868538668614
2024-03-26,93.99487982698852,0.0,2.1913736420203076,0.0,0.9174367903645415,0.04533361313113979,0.8027953327383363,1.4125527585954363,0.6356280361617211
2024-03-27,91.10698711628935,3.0725837689753406,2.124046017591645,0.0,0.889249520756902,0.043940786084049034,0.7781302999847894,1.3691535774641415,0.615908912853791
2024-04-03,91.10935551316858,3.0695190262589898,2.1240303127993183,0.0,0.8891373199603213,0.043940461194232894,0.7781245466373274,1.3691434542029601,0.6167493657782694
2024-04-05,91.10931701917065,3.047125057635119,2.1240294153896286,0.0,0.8889890681627762,0.04394044262924565,0.778124217877185,1.3923805539583847,0.6160942251770165
2024-04-08,91.10739236074572,3.0470606879843984,2.123984545871967,0.0,0.8889702885213995,0.04393951439988483,0.7781077802242581,1.3944636118907396,0.6160812103616295
2024-04-09,91.11499523532943,3.047314963951029,2.124161791512541,0.0,0.8807417666354997,0.04394318113436812,0.77817271299988,1.3945799793081142,0.6160903691291334
2024-04-11,91.1124731624001,3.0472235484646175,2.1241403211105814,0.0,0.8807153455277534,0.043941862896074615,0.7781493688303693,1.396861986654527,0.6164944041159753
2024-04-12,91.11715073449656,3.0473799881632364,2.1195380658998175,0.0,0.880760560078321,0.04394411880269875,0.7781893178038543,1.396933699367667,0.6161035153878481
