date,BNP PARIBAS,NANYANG COMMERCIAL BANK LTD,EVERBRIGHT SECURITIES INVESTMENT,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,UBS SECURITIES HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,CMB WING LUNG BANK LTD,DBS BANK LTD,TOTAL_CCASS_PCT
2024-03-05,0.0,0.0,0.0,0.0,2.254354067511811,0.0,0.0,0.0,1.0426640647242882,0.0,3.2970181322360994
2024-03-12,0.0,0.0,0.0,0.0,2.254354067511811,0.0,0.0,1.0217904188972882,1.0426640647242882,0.0,4.318808551133388
2024-03-14,0.0,0.0,0.0,4.030083454745191,2.2542267891835976,0.0,0.0,1.0221722538819284,1.0426640647242882,0.0,8.349146562535005
2024-03-15,0.0,0.0,0.0,4.026265104898789,2.2542267891835976,0.0,0.0,1.0221722538819284,1.0426640647242882,0.0,8.345328212688603
2024-03-18,0.0,0.0,0.0,4.026263895754671,2.2542267891835976,0.0,0.0,1.0221722538819284,1.0426640647242882,0.0,8.345327003544485
2024-03-25,11.923576911512708,0.0,6.61256410707106,4.026263895754671,2.25244489258861,0.0,0.0,1.0239541504769163,1.0426640647242882,0.0,26.881468022128253
2024-04-10,11.923576911512708,0.0,6.61256410707106,4.025754782441817,2.25244489258861,0.0,0.0,1.0239541504769163,1.0426640647242882,0.0,26.8809589088154
2024-04-17,11.923576911512708,7.502421056539693,6.61256410707106,4.019390866031147,2.25244489258861,0.0,0.0,1.0239541504769163,1.0426640647242882,0.0,34.37701604894443
2024-04-18,11.923576911512708,7.508784972950363,6.61256410707106,4.019390866031147,2.25244489258861,0.0,0.0,1.0239541504769163,1.0426640647242882,0.0,34.38337996535509
2024-04-19,11.923576911512708,7.527876722182376,6.61256410707106,4.019390866031147,2.25244489258861,0.0,0.0,1.0236995938204894,1.0426640647242882,0.0,34.40221715793068
2024-04-24,11.923576911512708,7.527876722182376,6.61256410707106,3.7960174000166047,2.25244489258861,0.0,2.0053973393305524,1.0236995938204894,1.0426640647242882,0.0,36.184241031246685
2024-04-26,11.923576911512708,7.527876722182376,6.61256410707106,3.795762843360178,2.25244489258861,0.0,2.0053973393305524,1.0239541504769163,1.0426640647242882,0.0,36.184241031246685
2024-04-29,11.923576911512708,7.527876722182376,6.61256410707106,3.795762843360178,2.25244489258861,0.0,2.0053973393305524,1.023826872148703,1.0426640647242882,0.0,36.18411375291848
2024-05-03,11.92332235485628,7.527876722182376,6.61256410707106,3.795762843360178,2.25244489258861,0.0,2.0053973393305524,1.023826872148703,1.0426640647242882,0.0,36.18385919626205
2024-05-07,11.920140396650945,7.527876722182376,6.61256410707106,3.795762843360178,2.25244489258861,0.0,2.0690365034372595,1.0300635102311602,1.0426640647242882,0.0,36.25055304024588
2024-05-08,11.920140396650945,7.591515886289084,6.61256410707106,3.795762843360178,2.25244489258861,0.0,2.0690365034372595,1.0300635102311602,1.0426640647242882,0.0,36.31419220435259
2024-05-09,11.920140396650945,7.591515886289084,6.61256410707106,3.795762843360178,2.25244489258861,0.0,2.1326756675439666,1.0300635102311602,1.0426640647242882,0.0,36.37783136845929
2024-05-10,11.920140396650945,7.595970627776554,6.61256410707106,3.795762843360178,2.25244489258861,0.0,2.1326756675439666,1.0300635102311602,1.0426640647242882,0.0,36.38228610994676
2024-05-13,11.920140396650945,7.595970627776554,6.61256410707106,3.7986902449090865,2.25244489258861,0.0,2.1326756675439666,1.0300635102311602,1.0426640647242882,0.0,36.38521351149567
2024-05-14,11.920140396650945,7.595970627776554,6.61256410707106,3.7980538532680193,2.25244489258861,0.0,2.1326756675439666,1.0300635102311602,1.0426640647242882,0.0,36.384577119854605
2024-05-16,11.920140396650945,7.595970627776554,6.61256410707106,3.799963028191221,2.25244489258861,0.0,2.1326756675439666,1.0314635718415077,1.0426640647242882,0.0,36.38788635638815
2024-05-17,11.920140396650945,7.595970627776554,6.61256410707106,3.799963028191221,2.25244489258861,0.0,2.1326756675439666,1.0331181901082822,1.0426640647242882,0.0,36.38954097465493
2024-05-20,11.917976665071317,7.595970627776554,6.61256410707106,3.799963028191221,2.25244489258861,0.0,2.1326756675439666,1.0382093232368188,1.0426640647242882,0.0,36.39246837620384
2024-05-22,11.917976665071317,7.610989470505736,6.61256410707106,3.800599419832287,2.2791733415134265,0.0,2.1326756675439666,1.0440641263346357,1.0426640647242882,0.0,36.44070686259672
2024-05-24,11.917976665071317,7.610989470505736,6.625291939892403,3.800599419832287,2.2791733415134265,0.0,2.1326756675439666,1.0440641263346357,1.0426640647242882,0.0,36.45343469541806
2024-05-27,11.917976665071317,7.610989470505736,6.625291939892403,3.7976720182833787,2.2791733415134265,0.0,2.1326756675439666,1.9653046659433269,1.0426640647242882,0.0,37.37174783347784
2024-06-06,11.920394953307373,7.610989470505736,6.625291939892403,3.784944185462038,2.2791733415134265,0.0,2.1326756675439666,1.9653046659433269,1.0426640647242882,0.0,37.36143828889256
2024-06-07,11.920394953307373,7.610989470505736,6.625291939892403,3.7839259588363303,2.2791733415134265,0.0,2.1326756675439666,1.9655592225997536,1.0426640647242882,0.0,37.36067461892328
2024-06-11,11.920394953307373,7.610989470505736,6.625291939892403,3.7839259588363303,2.2791733415134265,0.0,2.1326756675439666,1.9656865009279674,1.0426640647242882,0.0,37.36080189725149
2024-06-14,11.920394953307373,7.610989470505736,6.625291939892403,3.7839259588363303,2.2791733415134265,0.0,2.1326756675439666,1.9655592225997536,1.0426640647242882,0.0,37.36067461892328
2024-06-17,11.921158623276654,7.610989470505736,6.625291939892403,3.7839259588363303,2.2791733415134265,0.0,2.1326756675439666,1.9687411808050892,1.0426640647242882,0.0,37.36462024709789
2024-06-18,11.921158623276654,7.610989470505736,6.625291939892403,3.7839259588363303,2.2791733415134265,0.0,2.1326756675439666,1.9748505405593328,1.0426640647242882,0.0,37.37072960685214
2024-06-19,11.921158623276654,7.610989470505736,6.625291939892403,3.7839259588363303,2.2791733415134265,0.0,2.1326756675439666,1.9777779421082413,1.0426640647242882,0.0,37.37365700840105
2024-06-20,11.924086024825561,7.63835431107162,6.625291939892403,3.7839259588363303,2.2791733415134265,0.0,2.1326756675439666,1.9966151346838268,1.0426640647242882,0.0,37.42278644309142
2024-06-24,11.924086024825561,7.63835431107162,6.625291939892403,3.7839259588363303,2.279046063185213,0.0,2.1326756675439666,1.9966151346838268,1.0426640647242882,0.0,37.42265916476321
2024-06-25,11.924849694794842,7.63835431107162,6.625291939892403,3.7839259588363303,2.277773279903079,0.0,2.1326756675439666,1.9966151346838268,1.0426640647242882,0.0,37.42215005145035
2024-06-27,11.924849694794842,7.63835431107162,6.625291939892403,3.7839259588363303,2.276500496620945,0.0,2.1326756675439666,1.9966151346838268,1.0426640647242882,0.0,37.420877268168226
