date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD,KGI ASIA LTD,INTERACTIVE BROKERS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HUATAI FINANCIAL HOLDINGS (HONG KONG),STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL
2024-03-01,0.0,87.20371671748283,0.0,0.0,0.0,0.0,12.796283282517166,0.0,0.0
2024-03-04,0.0,81.6752814770738,0.0,0.0,0.0,0.0,11.984929751486746,0.0,6.3397887714394505
2024-03-05,0.0,81.67719828702515,0.0,0.0,0.0,0.0,11.98390768910401,0.0,6.338894023870838
2024-03-06,0.0,81.64296548503292,0.0,0.0,0.0,0.0,12.02160703141526,0.0,6.335427483551823
2024-03-07,0.0,81.69159389484958,0.0,0.0,0.0,0.0,11.989502720815919,0.0,6.318903384334501
2024-03-08,0.0,81.71549802675948,0.0,0.0,0.0,0.0,11.966990347186352,0.0,6.3175116260541815
2024-03-11,0.0,81.73673959591574,0.0,0.0,0.0,0.0,11.952829811535198,0.0,6.310430592549059
2024-03-12,0.0,81.77215303157935,0.0,0.0,0.0,0.0,11.929652637243024,0.0,6.298194331177628
2024-03-13,0.0,81.77228897197753,0.0,0.0,0.0,0.0,11.92956366778149,0.0,6.298147360240977
2024-03-14,0.0,71.73656086049121,0.0,0.0,12.229550887351381,0.0,10.437393744415006,0.0,5.596494507742404
2024-03-15,0.0,64.59410168011911,0.0,0.0,11.010612252570965,9.958933293699062,9.39708224003741,0.0,5.03927053357345
2024-03-18,0.0,64.66130249684325,0.0,0.0,11.005052285829791,9.95390438734759,9.39233704844223,0.0,4.987403781537152
2024-03-19,0.0,64.80122208800074,0.0,0.0,10.961479021241791,9.91449302443094,9.35514914813226,0.0,4.967656718194262
2024-03-20,0.0,64.80142794439696,0.0,0.0,10.961414914170401,9.914435040548392,9.35509443551427,0.0,4.96762766536998
2024-03-21,0.0,64.8258431251189,0.0,0.0,10.954175641678656,9.90788722738538,9.347747122224687,0.0,4.964346883592378
2024-03-22,0.0,64.82789877041121,0.0,0.0,10.953535458612746,9.907308191424175,9.347200821927174,0.0,4.964056757624698
2024-03-25,0.0,64.82851541714673,0.0,0.0,10.953343418283994,9.907134493833171,9.34703694428917,0.0,4.963969726446931
2024-03-26,0.0,64.86752570955392,0.0,0.0,10.941194567172039,9.896146040598811,9.336669720708416,0.0,4.958463961966818
2024-03-27,0.0,64.87757222630252,0.0,0.0,10.938065812460371,9.893316128987077,9.33399979749294,0.0,4.957046034757099
2024-03-28,0.0,64.87777719742952,0.0,0.0,10.938001978955146,9.893258392541014,9.333945325163457,0.0,4.957017105910866
2024-04-02,0.0,64.97283027016078,0.0,0.0,10.908399903269766,9.866483760000769,9.30868439026051,0.0,4.943601676308164
2024-04-03,0.0,64.9645632386054,0.0,0.0,10.909161813568264,9.8671728964143,9.31515508330469,0.0,4.943946968107351
2024-04-05,0.0,65.00059163839062,0.0,0.0,10.898124520838318,9.85660836823806,9.30573051932477,0.0,4.938944953208235
2024-04-08,0.0,65.0343699253641,0.0,0.0,10.887425751115094,9.846932062651522,9.296595014610885,0.0,4.934677246258403
2024-04-09,0.0,65.0467554013253,0.0,0.0,10.883569222586022,9.843444096323067,9.293301987892113,0.0,4.9329292918735
2024-04-10,0.0,65.1200759335014,0.0,0.0,10.86073903624602,9.822795754005357,9.273807664682664,0.0,4.922581611564561
2024-04-11,0.0,65.16661889198807,0.0,0.0,10.84264409272125,9.806430114997653,9.262406206639417,0.0,4.921900693653623
2024-04-12,0.0,65.32009638010183,0.0,0.0,10.794870901405067,9.76322253038948,9.22159561653114,0.0,4.900214571572477
2024-04-15,0.0,65.40120052599508,0.0,0.0,10.76962547990442,9.740389773033185,9.200029534789712,0.0,4.888754686277614
2024-04-16,0.0,65.47638466714122,0.0,0.0,10.746222788063028,9.719223638639868,9.180037618029361,0.0,4.878131288126526
2024-04-17,75.70926209327814,15.909550466786088,0.0,0.0,2.60882606267318,2.359504770885477,2.2286083088504416,0.0,1.1842482975266726
