date,THE HONGKONG AND SHANGHAI BANKING,FIRST SHANGHAI SECURITIES LTD,FUBON SECURITIES (HONG KONG) LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,CCB INTERNATIONAL SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,69.5522000202906,0.0,0.0,0.0,0.0,0.0,17.355243602127572,0.0,0.0,13.092556377581827
2024-03-05,69.55531336736989,0.0,0.0,0.0,0.0,0.0,17.356020470392895,0.0,0.0,13.088666162237208
2024-03-07,42.63403111445698,27.32427874543724,0.0,0.0,0.0,11.348184091132044,10.655541740821333,0.0,0.0,8.0379643081524
2024-03-08,39.42169719379848,25.265484275924084,0.0,0.0,0.0,10.493135770790147,9.857287477234168,7.530065128910087,0.0,7.432330153343036
2024-03-11,35.3903157546693,22.681714099888488,0.0,0.0,10.22555514847627,9.42005714060948,8.849233757695668,6.7600043815598605,0.0,6.673119717100927
2024-03-12,30.954345701105822,19.83885312959192,0.0,12.52012006046461,8.943913403800488,8.23937420522525,7.7400961874047365,5.912724827169181,0.0,5.85057248523799
2024-03-13,30.95382757339789,19.841896072591688,0.0,12.520112253752794,8.943907826972621,8.239369067701036,7.740091361196995,5.912721140388339,0.0,5.848074703998639
2024-03-14,30.952611674393403,19.84722704831897,0.0,12.519620450534298,8.943556500837033,8.239045416591226,7.739787322242251,5.912488882463811,0.0,5.845662704619007
2024-03-15,30.95369246879112,19.847920068088342,0.0,12.520057607042666,8.943868789372278,8.239333105210928,7.740057577911319,5.912695333051178,0.0,5.842375050532166
2024-03-18,30.95367316822929,19.847907692310915,0.0,12.520049800408733,8.943863212600046,8.23932796773797,7.740115104771005,5.912691646307118,0.0,5.842371407634923
2024-03-20,30.95483124454294,19.848650266274564,0.0,12.520518215676956,8.940456510117503,8.239636227455902,7.740404687332631,5.912912859088822,0.0,5.8425899895106825
