date,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,SANFULL SECURITIES LTD,BOCI SECURITIES LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,HANG SENG SECURITIES LTD,VALUABLE CAPITAL LTD
2024-03-01,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,69.79338842975207,0.0,0.0,30.206611570247933,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,69.76215098241985,0.0,0.0,30.237849017580142,0.0,0.0,0.0,0.0,0.0
2024-03-06,6.809898331095339,65.22156148091311,0.0,0.0,27.968540187991557,0.0,0.0,0.0,0.0,0.0
2024-03-11,6.988320888378327,65.09668772735976,0.0,0.0,27.914991384261917,0.0,0.0,0.0,0.0,0.0
2024-03-12,6.9856459330143545,65.11004784688996,0.0,0.0,27.90430622009569,0.0,0.0,0.0,0.0,0.0
2024-03-13,4.321925008760659,39.6449012965775,36.00046723513608,0.0,17.030720710197407,0.0,0.0,0.0,0.0,3.0019857493283495
2024-03-14,4.3264733395696915,39.58138447146866,36.03835360149672,0.0,17.04864359214219,0.0,0.0,0.0,0.0,3.0051449953227314
2024-03-15,4.320411022886502,39.59598318542737,35.987856141989724,0.0,17.024754787482486,0.0,0.0,0.0,0.0,3.0709948622139187
2024-03-19,3.770892784345699,34.447615165103954,31.41051773338769,12.83122706889523,14.859355890746025,0.0,0.0,0.0,0.0,2.6803913575214025
2024-03-22,3.7689721910970766,34.4810023428746,31.39451971070592,12.82469186105735,14.851787715187939,0.0,0.0,0.0,0.0,2.6790261790771113
2024-03-26,3.768588307190874,34.48767569769811,31.391322061519656,12.823385618252189,14.850275005092687,0.0,0.0,0.0,0.0,2.678753310246486
2024-04-05,3.490566037735849,32.00943396226415,29.07547169811321,11.877358490566039,13.783018867924529,0.0,7.283018867924529,0.0,0.0,2.481132075471698
2024-04-08,3.109766347285258,28.618255168935956,25.903513195495044,10.581610354681459,12.27937468482098,0.0,6.488485459741133,10.808539250294167,0.0,2.2104555387460074
2024-04-09,3.1095050004202034,28.62425413900328,25.901336246743423,10.580721068997395,12.278342717875452,0.0,6.48794016303891,10.807630893352382,0.0,2.210269770568955
2024-04-15,3.139954663756192,28.66258080765679,25.875241373520275,10.570061287885148,12.2659726303417,0.0,6.481403744437915,10.796742506926371,0.0,2.2080429854756107
2024-04-16,3.14808596373405,28.660174613834787,25.87306917394224,10.569173942243117,12.264942914707857,0.0,6.480859637340497,10.795836131631969,0.0,2.2078576225654802
2024-04-17,2.954384306310565,26.904593082801544,24.281099818797763,9.918852911053337,11.51028125738596,0.0,6.082092491924683,10.131568581107697,6.145119357125975,2.072008193492476
2024-04-22,2.954384306310565,27.062160245804773,24.281099818797763,9.918852911053337,11.35271409438273,0.0,6.082092491924683,10.131568581107697,6.145119357125975,2.072008193492476
2024-04-26,2.956247536460386,27.01616081986598,24.296413086322428,9.925108395743004,11.359873866771778,0.0,6.0859282617264485,10.137958218368151,6.148994875837603,2.073314938904218
