date,EVERBRIGHT SECURITIES INVESTMENT,OCBC BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,GOLDMAN SACHS (ASIA) SECURITIES LTD,CHINA CITIC BANK INTERNATIONAL LTD,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,UOB KAY HIAN (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-01,0.0,0.0,50.68461709893863,24.762706380411895,0.0,21.580505082269024,0.0,0.0,0.0,2.972171438380445
2024-03-04,69.16784943321423,0.0,14.637222231872332,8.83960738570814,0.0,5.183096019160649,0.0,0.0,1.8019887028105197,0.37023622723412336
2024-03-05,69.20359423346905,0.0,14.653675243979253,8.847816942219202,0.0,5.180199330992611,0.0,0.0,1.8002051396037173,0.31450910973616664
2024-03-06,69.26718709938034,0.0,14.645233954414158,8.8483367077162,0.0,5.153230287354347,0.0,0.0,1.8003344644693862,0.28567748666557435
2024-03-07,69.27871973308069,0.0,14.64509083238755,8.566159363968234,0.0,5.390545241095956,0.0,0.0,1.800379583169404,0.3191052462981555
2024-03-08,69.2952546903689,0.0,14.638272071798092,8.022853765737342,0.0,5.922354311628171,0.0,0.0,1.7950162520240873,0.3262489084433982
2024-03-11,69.29014969981006,0.0,14.65657051569989,8.520749211534557,0.0,5.38312879889099,0.0,0.0,1.7945179631608479,0.35488381090365567
2024-03-12,69.27499232908278,0.0,14.657174283076872,8.542461644753875,0.0,5.270596065876639,0.0,0.0,1.7920409515553177,0.46273472565450574
2024-03-13,69.24560666890159,0.0,14.662502304788427,8.546576077941628,0.0,5.209199375549445,0.0,0.0,1.7843318979973746,0.5517836748215387
2024-03-14,69.21788434168506,0.0,14.658830645801741,8.489903818832978,0.0,5.267306987664834,0.0,0.0,1.784196081926237,0.58187812408914
2024-03-15,69.24934182599966,0.0,14.651360780757985,8.47848190330723,0.0,5.210718995949221,0.0,0.0,1.785006946355209,0.6250895476306922
2024-03-18,69.24747296738842,0.0,14.749692257008757,8.495419064953538,0.0,5.041601536502693,0.0,0.0,1.7850781340857171,0.680736040060871
2024-03-19,67.21534076966144,0.0,13.567707196988335,8.358583486299223,0.0,4.865839383938859,0.0,2.6114566090889126,1.7350530542249432,1.6460194997982964
2024-03-20,65.02589018972392,0.0,13.132175312428679,7.140768318103554,0.0,6.0509662667322255,2.836388772951431,2.526391873542231,1.6776235137298916,1.6097957527880595
2024-03-21,64.9757230077343,0.0,13.102538556089662,8.396758899878828,0.0,4.881297773542054,2.8337173097035397,2.5240123820196643,1.6760434378237017,1.6099086332082384
2024-03-22,64.96577461579446,0.0,13.100641022885947,8.689132486160156,0.0,4.585045192901484,2.832740500010504,2.523625932076901,1.6757868198707824,1.6272534302997625
2024-03-25,64.94896311551452,0.0,13.096812325320279,8.68720963862964,0.0,4.5845100597351545,2.8314646578496405,2.522972881477343,1.674593247867176,1.6534740736062523
2024-03-26,64.95248874001238,0.0,13.088837979735125,8.690178224374096,0.0,4.587798768632291,2.831618358242745,2.523109836011668,1.6768554697695024,1.6491126232221907
2024-03-27,30.44912098537293,0.0,6.1276358454216275,4.071663131432059,0.0,2.146748899662926,1.3272144395203267,1.1833759844428768,0.7857592901068358,0.7724505585180883
2024-03-28,60.81431822646564,0.0,12.267347198579609,8.140878048887565,6.357822046800295,4.285695804718598,2.650549337579632,2.362276640381053,1.579790615138722,1.5413220814488953
2024-04-02,60.83912852229366,0.0,12.259331097840914,8.138232709120203,6.359884450853459,4.287594318273975,2.651409145176746,2.3635512189707666,1.5809130209631657,1.519955516507107
2024-04-03,60.888675531758395,0.0,12.212008238966785,8.151778718299342,6.365063901360638,4.256169127956691,2.6535684363632197,2.3654760804449713,1.5832179012750414,1.5240420635749132
2024-04-05,60.80803471002475,0.0,12.298133871678873,8.152191422152713,6.3564216053005955,4.258263414534151,2.649965499393847,2.3622643067806437,1.6003725045590518,1.514352665575373
2024-04-08,60.809183921459876,0.0,12.299373008324695,8.150576310406935,6.356350565807184,4.260903250447707,2.649935883327084,2.3617299051702836,1.596595412120549,1.515351742935688
2024-04-09,60.77845539353245,0.0,12.319573266178859,8.144803549698446,6.352798872820229,4.2565389683052945,2.648455197421666,2.3604102580780677,1.6017958983589022,1.5371685956060832
