date,THE HONGKONG AND SHANGHAI BANKING,MORGAN STANLEY HONG KONG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,HANG SENG BANK LTD,SINOPAC SECURITIES (ASIA) LTD,HANG SENG SECURITIES LTD
2024-03-01,97.38976324302477,0.0,0.0,0.0,1.6433012937510951,0.0,0.9669354632241296,0.0,0.0,0.0
2024-03-04,84.7917544791695,0.0,0.0,12.934791440886356,1.4307294236596693,0.0,0.8427246562844687,0.0,0.0,0.0
2024-03-05,73.97766975055899,0.0,5.150645384145756,11.289175091116217,1.2487062544086138,7.5619019461654755,0.771901573604956,0.0,0.0,0.0
2024-03-06,73.94881526254571,0.0,5.162648358874911,11.285581448311586,1.2483087582045038,7.574653194344334,0.7799929777189537,0.0,0.0,0.0
2024-03-08,73.82255143777726,0.0,5.1691861156354335,11.27249865055068,1.246777926220273,7.565364209305059,0.9236216605112985,0.0,0.0,0.0
2024-03-11,73.68736491059443,0.0,5.15517721520844,11.265996937679876,1.245222600213444,7.555926596191761,1.0903117401120523,0.0,0.0,0.0
2024-03-12,73.62459716417546,0.0,5.153112339738366,11.253926975260601,1.244723833731784,7.5529001148835855,1.1707395722102065,0.0,0.0,0.0
2024-03-13,73.6206607838209,0.0,5.152995509459071,11.253671828594861,1.2446956136147844,7.552728877120517,1.1752473873898628,0.0,0.0,0.0
2024-03-14,73.61927454524249,0.0,5.152528241312123,11.25265135761404,1.2445827459416379,7.5520440037065315,1.1789191061831743,0.0,0.0,0.0
2024-03-15,73.51790634114495,0.0,5.172030584597228,11.295242695179985,1.249293497406028,7.5806285252786045,1.184898356393215,0.0,0.0,0.0
2024-03-18,73.53778632398777,0.0,5.173482530987291,11.2984136135626,1.2496442121116,7.544061362392079,1.1966119569586526,0.0,0.0,0.0
2024-03-19,73.46021305378896,0.0,5.180478980282134,11.3136932201885,1.251334190248042,7.554263705298045,1.2400168501943238,0.0,0.0,0.0
2024-03-20,73.19677968766682,0.0,5.204677907393269,11.296956484064753,1.2494830484734505,7.533226193104854,1.518876679296845,0.0,0.0,0.0
2024-03-21,73.16854421684172,0.0,5.212634705680307,11.302056321666237,1.2492082181874216,7.531569220877898,1.535987316746416,0.0,0.0,0.0
