date,CHINA GALAXY INTERNATIONAL SECURITIES,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,KGI ASIA LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,YUANTA SECURITIES (HONG KONG) CO LTD,HANG SENG SECURITIES LTD,NANYANG COMMERCIAL BANK LTD
2024-03-18,0.0,0.0,0.0,75.84269662921348,0.0,24.15730337078652,0.0,0.0,0.0
2024-03-19,0.0,0.0,0.0,75.67185289957567,0.0,24.328147100424328,0.0,0.0,0.0
2024-03-25,0.0,0.0,63.08652604390874,29.11106328024107,0.0,7.802410675850194,0.0,0.0,0.0
2024-03-26,0.0,0.0,62.984850112818314,29.225314279574516,0.0,7.789835607607178,0.0,0.0,0.0
2024-03-28,0.0,0.0,47.364204454414356,21.671206537413877,0.0,5.808364044223683,0.0,0.0,25.156224963948087
2024-04-02,0.0,0.0,47.0951890306729,22.27153840057066,0.0,5.746215423634778,0.0,0.0,24.88705714512166
2024-04-03,0.0,0.0,47.07653303755348,22.302329266360324,0.0,5.743939153858343,0.0,0.0,24.87719854222786
2024-04-05,0.0,0.0,46.87228839630828,22.639425731639978,0.0,5.719018695274907,0.0,0.0,24.76926717677684
2024-04-08,0.0,0.0,46.78003464021414,22.791686348606518,0.0,5.707762557077626,0.0,0.0,24.720516454101716
2024-04-12,0.0,0.0,46.79845632826652,22.761282192643932,0.0,5.7100102386390486,0.0,0.0,24.730251240450503
2024-04-18,0.0,0.0,46.76162744943732,22.82206657747698,0.0,5.705516644369245,0.0,0.0,24.710789328716455
2024-04-23,0.0,0.0,45.68309371876681,24.602137310678867,0.0,5.57392173445068,0.0,0.0,24.140847236103635
2024-04-24,0.0,41.093707312630904,27.329022857663237,10.017302613605318,0.0,2.9596575903833897,0.0,4.302886804480466,14.297422821236683
2024-04-25,0.0,39.855232378514366,28.34444101160789,9.312795162642892,0.0,2.9571434876638567,0.0,5.671536390519486,13.858851569051508
2024-04-26,0.0,39.94776912181303,28.492386685552407,9.450247875354108,0.0,2.965651558073654,0.0,5.245219546742209,13.898725212464589
2024-04-29,0.0,39.7494154497728,28.55252128645167,9.066043146424317,0.0,2.889663387303128,0.0,5.889619270304848,13.852737459743238
2024-04-30,0.0,2.24625,1.628,0.52375,0.0,0.17125,0.0,0.31625,0.7849999999999999
2024-05-02,0.0,39.43037696932461,28.753236494492473,9.128011585553168,0.0,3.3571773379558523,0.0,5.5514108921753635,13.77978672049853
2024-05-03,0.0,39.30102353249934,28.85574315457965,9.207418423584988,0.0,3.3461639401627155,0.0,5.55506954772111,13.734581401452193
2024-05-07,0.0,39.30102353249934,28.85574315457965,9.185548071034905,0.0,3.3680342927127986,0.0,5.55506954772111,13.734581401452193
2024-05-08,0.0,39.27525462254666,28.836823010010054,9.179525287406566,0.0,3.4313939764829304,0.0,5.551427197622066,13.725575905931722
2024-05-09,0.0,39.240948595885925,28.811634711971003,9.302528715552254,0.0,3.4283967331964886,0.0,5.502904310608376,13.713586932785955
2024-05-10,0.0,39.30254888268156,28.792772346368718,9.27461592178771,0.0,3.4261522346368714,0.0,5.499301675977654,13.704608938547485
2024-05-14,0.0,39.224664224664224,28.767660910518057,9.179312750741323,0.0,3.6412000697714983,0.0,5.4945054945054945,13.692656549799405
2024-05-17,0.0,39.241776459296744,28.780211150859436,9.314195968938138,0.0,3.81729342989268,0.0,5.147892854026699,13.698630136986301
2024-05-20,0.0,39.13271093272838,28.780211150859436,9.4232614955065,0.0,3.81729342989268,0.0,5.147892854026699,13.698630136986301
2024-05-22,0.0,39.048789048789054,28.724991224991225,9.433134433134432,0.0,3.839066339066339,0.0,5.177255177255177,13.776763776763776
2024-05-23,0.0,38.1647225795006,29.03712245531556,9.668692065463254,0.0,3.969485962655786,0.0,5.2335122189204775,13.926464718144322
2024-05-27,0.0,38.22405828002843,29.06005685856432,9.68372423596304,0.0,3.842395167022033,0.0,5.241648898365316,13.948116560056858
2024-05-28,0.0,38.19012959346707,29.034262382389493,9.76389135451802,0.0,3.8389845552991306,0.0,5.2369962719687555,13.935735842357536
2024-05-30,0.0,38.21557045787627,29.05360394368699,9.703779366700715,0.0,3.84154194608518,0.0,5.240484966913887,13.945019318736954
2024-05-31,0.0,2.15125,1.6355000000000002,0.5487500000000001,0.0,0.21625,0.0,0.295,0.7849999999999999
2024-06-03,0.0,37.730047876312206,26.56037246892432,13.133043440066764,0.0,2.7671629990776125,0.0,6.017481442438617,13.791891773180481
2024-06-04,0.0,39.66155473294553,27.90410717433457,10.245901639344263,0.0,2.798343028380046,0.0,5.552617662612374,13.83747576238322
2024-06-05,0.0,41.35669322533786,26.55280186644363,9.926486772020954,0.0,2.7952634590835057,0.0,5.5465070211735705,13.822247655940483
2024-06-06,0.0,40.215278815966506,25.978685688657283,12.299510924118488,0.0,2.7123422249749054,0.0,5.381970399162805,13.412211947120007
2024-06-07,92.7971208907167,2.913458072042716,1.917652647100235,0.8121477121695283,0.0,0.19649982748243494,0.0,0.3929996549648699,0.9701211955235174
2024-06-11,92.7045644577224,2.446597560202837,1.8877285281312353,1.3382873198860623,0.0,0.27047035567624544,0.0,0.38329513261547926,0.9690566457657479
2024-06-12,92.71628385677043,2.4122973075300456,1.8766776747370193,1.3195776238948789,0.0,0.26116479498563594,0.0,0.44506189914711924,0.9689368429348741
2024-06-13,92.73061401759813,2.4126701504325343,1.8769677326619278,1.302780057526959,0.0,0.2612051604247907,0.0,0.4466762802530444,0.9690866011026258
2024-06-14,92.66186961470683,2.410881554825547,1.8616762499594584,1.3435143270613346,0.0,0.29190045731071645,0.0,0.46178961235928156,0.9683681837768212
2024-06-17,92.67045709051762,2.411104984237459,1.8464028815870972,1.3482726077776284,0.0,0.2919275093022933,0.0,0.463376998892529,0.9684579276853856
2024-06-18,92.6675944217311,2.4110305031655397,1.8370785909449665,1.3605872967575423,0.0,0.29191849141466175,0.0,0.46336268478517734,0.9684280112010206
2024-06-19,92.6565991466441,2.492429284654264,1.8166628317641118,1.3109189713401517,0.0,0.3227495170339165,0.0,0.4323916974617063,0.9682485511017495
