date,CMBC SECURITIES CO LTD,BOCI SECURITIES LTD,CITIBANK N.A.,CMB WING LUNG BANK LTD,THE HONGKONG AND SHANGHAI BANKING,CHANGJIANG SECURITIES BROKERAGE (HK) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,CHINA MERCHANTS BANK CO LTD,BANK OF CHINA (HONG KONG) LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG)
2024-03-14,0.0,0.0,0.0,48.4158011229824,51.5841988770176,0.0,0.0,0.0,0.0,0.0
2024-03-18,0.0,0.0,62.7382526115546,18.040573510537815,19.22117387790759,0.0,0.0,0.0,0.0,0.0
2024-03-20,0.0,0.0,62.752061063493905,18.02253455097896,19.225404385527135,0.0,0.0,0.0,0.0,0.0
2024-03-27,0.0,0.0,62.779696210531064,18.03047142801308,19.18983236145585,0.0,0.0,0.0,0.0,0.0
2024-03-28,0.0,0.0,62.77407068499995,18.02253455097896,19.20339476402109,0.0,0.0,0.0,0.0,0.0
2024-04-02,0.0,0.0,62.75887639472843,18.02037267572767,19.2207509295439,0.0,0.0,0.0,0.0,0.0
2024-04-03,0.0,0.0,55.93194512741291,16.060110594315752,17.12991130588854,0.0,0.0,10.878032972382798,0.0,0.0
2024-05-09,0.0,0.0,55.92646135338523,16.06834037041885,17.128231826254826,0.0,0.0,10.8769664499411,0.0,0.0
2024-05-14,0.0,0.0,48.12268238968375,13.826221460517896,14.822582461687588,0.0,13.869280345483437,9.359233342627325,0.0,0.0
2024-06-03,0.0,0.0,48.12024664811055,13.830583167814437,14.821832212978848,0.0,13.868578348399103,9.35875962269706,0.0,0.0
2024-06-04,0.0,0.0,48.11781115309621,13.834944433595522,14.821082040214312,0.0,13.867876422374689,9.358285950719269,0.0,0.0
2024-06-13,0.0,0.0,48.129178906229235,13.83821291628751,14.800958662024385,0.0,13.871152685194444,9.360496830264426,0.0,0.0
2024-06-14,0.0,0.0,48.12836674573822,13.837979402023349,14.802396361499426,0.0,13.870918615084962,9.36033887565405,0.0,0.0
2024-06-19,0.0,0.0,44.639437072407404,12.84304475447969,13.71971783238781,0.0,12.856370335411285,8.675703923421702,7.265726081892107,0.0
2024-06-21,0.0,0.0,44.63315436771629,12.866258224201838,13.706840166749615,0.0,12.854560886558108,8.674482875637207,7.264703479136945,0.0
2024-06-25,0.0,0.0,44.649069635017725,12.861833247548487,13.702126096297103,0.0,12.850139932865053,8.671499538637768,7.265331549633861,0.0
2024-07-05,0.0,0.0,44.649767634728285,12.862034316819527,13.700777000078556,0.0,12.85034081933429,8.671635100346387,7.265445128692958,0.0
2024-07-08,0.0,0.0,44.47386666261809,12.811363407215879,14.040758998243152,0.0,12.799715977105325,8.637472569951733,7.236822384865816,0.0
2024-07-09,0.0,0.0,44.450333383005855,12.804584293549798,14.086244201252294,0.0,12.792943026659357,8.632902064340566,7.232993031192136,0.0
2024-07-10,0.0,0.0,44.4475663991391,12.803787222403997,14.085367348201222,0.0,12.79214668016949,8.632364675778607,7.238767674307588,0.0
2024-07-11,0.0,0.0,44.44618230619093,12.798011422962668,14.083679987493616,0.0,12.786376131786783,8.62847060864006,7.257279542925941,0.0
2024-07-12,0.0,0.0,44.45309707528372,12.800002489219539,14.085871073207556,0.0,12.788365387869021,8.629812993492635,7.242850980927522,0.0
2024-07-15,0.0,0.0,44.43719632178295,12.795423962687504,14.107271092185986,0.0,12.783791023896901,8.63605736687342,7.24026023257324,0.0
2024-07-16,0.0,0.0,44.4289047913556,12.793036466267857,14.12329780480912,0.0,12.781405698065724,8.634445966102064,7.238909273399632,0.0
2024-07-17,0.0,0.0,44.393010552842476,12.782700935730162,14.114994870982189,0.0,12.771079564058732,8.627470172654276,7.3107439037321615,0.0
2024-07-24,0.0,0.0,44.39576958888008,12.783495383597076,14.11587212123025,0.0,12.771873289654668,8.628006371952841,7.304983244685087,0.0
2024-07-30,0.0,0.0,44.399218866237256,12.784488582309036,14.116968837393419,0.0,12.772865585401641,8.628676714809648,7.297781413849003,0.0
2024-07-31,0.0,0.0,8.79451573850885,2.5320621709176745,2.7956619475970954,0.0,2.52976015073185,1.7089730069360054,1.444763871972101,0.0
2024-08-01,0.0,0.0,44.41424530438069,12.782105164627778,14.11278341794556,0.0,12.77048433460067,8.627068066914541,7.293313711530761,0.0
2024-08-02,0.0,0.0,44.39355453092469,12.77615050660219,14.152794746042819,0.0,12.7645350902427,8.623049070087314,7.289916056100287,0.0
2024-08-05,0.0,0.0,44.31785301402518,12.754364146313957,14.190669487541502,0.0,12.742768536988327,8.608344730644305,7.386000084486725,0.0
2024-08-19,0.0,0.0,44.312357518986815,12.762082719298212,14.19200986434587,0.0,12.741188410323618,8.607277280112779,7.38508420693271,0.0
