date,THE HONGKONG AND SHANGHAI BANKING,DEUTSCHE BANK AG,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,BNP PARIBAS,GOLDMAN SACHS (ASIA) SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,MERRILL LYNCH FAR EAST LTD
2024-03-01,687910087,897548030,149307633,103359924,30458283,35702888,24941811,31354058,74989469,7734406
2024-03-04,687594945,897957492,152853662,100778128,29264379,36379312,25288146,31632754,73716842,7897276
2024-03-05,688837621,896828479,153305192,100625779,28696317,36904410,26344902,31956414,72828141,5174340
2024-03-06,690175601,896405984,155835248,100159243,28739983,36593597,25579938,32153174,70877601,5194796
2024-03-07,691611915,896437921,154184697,99776507,29138440,36131742,26273670,32436598,71147542,5127889
2024-03-08,691027353,911880504,152077761,99781976,28883309,35877408,25975807,32855287,59345385,4969408
2024-03-11,690780274,913345488,141366604,100514737,28660896,35348245,24516952,33227266,58992961,5101089
2024-03-12,690829293,913420008,140972696,100007787,28499351,35361401,24789485,31674095,58331463,4945507
2024-03-13,689948250,914334734,141193889,101013321,27759755,33560191,24994106,32396210,57882659,7680866
2024-03-14,692840583,914928941,139395279,102355270,27467502,33105001,25964283,33281784,58474192,8150471
2024-03-15,696508221,915829776,137792698,110160228,27333244,32379532,24981506,25439231,58466872,8751672
2024-03-18,696244594,924029101,134855061,103009885,27228835,34451505,23676889,26631997,58235183,11195173
2024-03-19,689360138,924515622,132880222,102494464,27124656,34343300,24128943,33858598,58721107,12055150
2024-03-20,686548291,926016278,132963850,107006729,27021655,33384644,23668221,27327446,58521662,11431185
2024-03-21,687407787,933630738,133018332,102213126,26988506,33222957,23709338,28094496,56543801,10879924
2024-03-22,687021558,935503408,134937788,101598424,26986574,32200626,23593846,29351960,56744981,10334396
2024-03-25,685960656,936658804,135353737,101775829,26687287,33098409,24507980,27429707,56137825,10617421
2024-03-26,686130697,943951652,134924623,99329842,26817937,32573911,26213399,27516513,56549582,14003627
2024-03-27,686958568,945595356,137368962,100292780,25524449,32423528,25595483,27159639,56689803,14246822
2024-03-28,685443812,949618166,134407697,100731687,25497863,31863493,26043940,29706304,53685063,15340891
2024-04-02,687745332,950354418,139708020,100513004,25444342,32922072,28179204,23134117,62231777,16957230
2024-04-03,681626105,950388238,127234030,99726423,25293213,48417542,58335211,23025579,62432426,24333987
2024-04-05,681801516,953512380,120148091,100024308,25248379,52978275,55269237,25539879,61746441,26007188
2024-04-08,688762628,955559666,119791768,100040212,25258973,48610237,34468906,21813376,55233291,25258404
2024-04-09,689498691,955229420,120665568,100091271,25307564,33958515,35393360,21974895,54500907,24255050
2024-04-10,689750410,958100184,129676540,99946860,25313640,40718400,30722032,22311310,53132867,14977659
2024-04-11,689132106,965386932,134345911,99781064,25369998,33836540,25879034,21854588,52509709,15327005
2024-04-12,689034234,965693824,135766680,104245031,25225934,34446165,26572548,21791995,52756265,16165070
2024-04-15,697014834,957614834,135672005,104250256,25207452,34305732,26489920,22301071,52319721,15659871
2024-04-16,697827350,958892134,134282852,103388589,25254046,33360424,26553351,22856005,52448719,15075436
2024-04-17,698719057,958733486,135557079,103438179,25258818,33391248,26772842,22797873,51466326,15228981
2024-04-18,701660928,960289672,134025392,103064068,25364045,33967762,26640966,22537691,51458238,14915743
2024-04-19,704375297,960949383,133549327,103086294,25344370,33936510,24646784,22113810,51194544,15037399
2024-04-22,704582178,961210081,133787601,104705778,25291861,32422872,25086732,22421755,51433544,14897906
2024-04-23,703633254,962278431,131985827,105470017,25317702,32617278,25021441,23261912,51926824,15384986
2024-04-24,699772197,963030857,131322855,105065789,25634580,36163384,25205591,23396574,52260642,15480542
2024-04-25,699596767,964889189,130590902,104074967,25378722,36461974,24788587,24470701,53019697,16268870
2024-04-26,702157454,966320549,130933943,103890309,25248914,37392394,24840351,24495457,53116156,16312966
2024-04-29,700868867,966684505,129823464,104333721,25169822,37395882,24982694,24095260,52950136,16139677
2024-04-30,704195796,967881138,127897990,103898256,24871753,37392304,25120046,23739912,53700785,16407684
2024-05-02,703453364,968077859,127772527,104641579,24469290,37155268,24260409,23704749,53470808,17000851
2024-05-03,700556127,968815059,128308176,104329273,24433910,37756702,26154100,23816467,53639965,16888450
2024-05-06,700521109,970879608,128167732,104351084,24448390,38432468,24392561,22795166,52941160,16952817
2024-05-07,703089891,970875789,138671349,105036851,24156231,37907490,24501309,23976114,42772977,16883229
2024-05-08,703041827,971622995,136654129,106485231,24184128,36894535,24870520,24476010,40893144,17154657
2024-05-09,701267106,972095340,136373589,108008743,23998826,37166164,24431000,24049836,40529097,16943255
2024-05-10,702214101,972310282,135738398,108547137,23971839,37767846,23834469,24699143,40010463,17302862
2024-05-13,703076389,973211131,136766196,108464063,23870617,37548803,24268198,24208540,39575755,16336782
2024-05-14,702068281,973231273,136715977,108973948,23791515,39735053,25079405,23102921,39499239,16117939
2024-05-16,703154925,973868300,135979125,108922417,23772299,39640271,24132209,22929260,39203963,18451694
2024-05-17,698323445,974534759,133582250,108978333,23803379,38272526,23872043,25835509,38900476,19356456
2024-05-20,689333378,974370420,135127089,109950580,23541007,37056287,25034342,26703114,39144028,19296257
2024-05-21,691917737,974784105,135429119,109516542,23455894,36352951,25331735,26324330,38974336,18586461
2024-05-22,692800853,975621781,135551728,110341054,23387437,36690749,24899890,26225976,39010542,19747210
2024-05-23,693289665,975852308,136075739,110401736,23339121,36036739,24842921,25968547,38798169,19580402
2024-05-24,695724966,976677806,137275419,110108741,23358470,36704879,23914512,26024867,38600145,23274742
2024-05-27,685448044,978618808,130156224,109014487,23306757,38472794,24491058,27207253,43950464,27636428
2024-05-28,685761380,979450232,132090929,107448335,23398049,36947667,23373317,27550453,43711853,27227773
2024-05-29,684368809,979450651,132625204,105898522,23334483,36969472,23618431,27624809,43252866,26925632
2024-05-30,684842044,980032066,139689326,104861976,23484074,36258650,24098491,28079899,38787910,24468420
2024-05-31,684513108,979934027,139527696,101768618,23493833,36112295,24368728,28353233,38823566,28039031
2024-06-03,682087541,979929886,138029446,102638721,23521699,36109911,24314581,28577737,38891859,28927021
2024-06-04,679357375,980201474,139018582,99764505,23471807,36890189,25469973,29006739,39693472,30344593
2024-06-05,679564475,980206794,140162500,98558631,23482668,37017909,24789601,29806820,40008057,30268743
2024-06-06,679674100,984093606,131590598,99981570,23433691,37269935,23490471,30646211,43373959,31476763
2024-06-07,683267172,981697822,133266038,99554026,23421704,36952196,25382352,29956009,44290184,31131968
2024-06-11,683409132,981906647,134078575,96576255,23332720,36131211,28281723,30529394,48056650,31369161
2024-06-12,678928323,982697208,139423853,96660041,22958064,35863984,30026573,32094671,44286868,36878041
2024-06-13,680065893,982645093,137787528,90863928,22778476,35665629,30982078,33038391,47126472,37654624
2024-06-14,676821346,982615059,138234484,90861601,22750532,35200163,30858528,33786847,48307196,36928858
2024-06-17,677544045,983094334,139007860,95465951,22824984,36038162,30809236,33820543,48587785,36674112
2024-06-18,677076426,983228044,135911609,101371711,22855545,35423971,31266356,35882668,50086502,38571150
2024-06-19,677827341,983233174,136333267,102109046,22900094,35343838,31181556,36070414,48908898,40197882
2024-06-20,677141174,983234817,136404082,101876479,22881326,36131620,31155175,31822809,48739267,40909559
2024-06-21,676832556,983560623,136411791,102738479,22909832,36144148,31832905,31759169,46091577,42902722
2024-06-24,675919025,983713402,138201033,102613993,22977364,35891179,29335462,31830839,47199616,44496541
2024-06-25,676286000,983651587,138508234,101821347,23006752,35920930,28354545,31977246,46904385,47340672
2024-06-26,676964230,984197827,137834445,101585027,22995620,36095368,24947075,31721171,46691824,46944805
2024-06-27,665793800,984152773,144366628,101155702,23029250,33064840,23205944,31781771,47276371,46002646
2024-06-28,667048444,984038383,144896941,100985042,23046293,33223887,24237801,33195416,43061935,47103393
2024-07-02,666909819,983919186,141278795,100648874,23065593,32093756,26170514,33046764,48396623,46906759
2024-07-03,666653624,985242366,140328935,101880135,23122685,31983960,23303549,32532710,47502851,46600160
2024-07-04,665509560,985197429,141406628,102780177,23195549,32419028,25625344,31456066,45959013,47257381
2024-07-05,666711786,986776975,140013188,102578425,23217231,32811303,25317253,31138052,45689936,46481615
2024-07-08,666417386,986927912,141095701,102517407,23276402,33328641,25268528,31259464,45284942,45967009
2024-07-09,671942505,987349416,141419054,102423015,23233903,36428757,24849794,31487329,45640167,46514412
2024-07-10,670663977,988350189,142348706,102117905,23270025,36644233,24078111,32596408,45109474,45465296
2024-07-11,669527185,989043689,143692773,102772615,23227408,36307045,24936243,31747869,45061401,45584341
2024-07-12,668983984,989090364,145043259,101614638,23200579,36827811,25668386,30465693,45585725,44745598
2024-07-15,669538068,989067339,143137855,102084079,23187069,36692985,22361416,29977379,45420791,45833469
2024-07-16,668133857,989944320,140864794,101539550,23197852,36978636,23531084,30061335,46033795,45699326
2024-07-17,669128896,990700564,141005118,106477348,23260270,36872352,23805501,23993793,46281880,46208179
2024-07-18,671205367,998554823,139599929,97497243,23578466,36637028,23981532,24023767,43806002,45973688
2024-07-19,666554702,998557713,138993924,96432426,23679391,35776522,23729547,29469680,44316002,46090930
2024-07-22,768612042,998560983,147960728,95590233,23715481,35749471,23526666,21258215,43702520,45630633
2024-07-23,770044521,998576221,147897302,93297702,23837020,35979513,23504611,20961634,42851649,45788650
2024-07-24,770949711,998550452,151729725,92915204,23883639,36086586,24079745,20983793,38400004,45607611
2024-07-25,768887827,998808952,153137493,92783470,23923201,36001796,22316327,21226709,38544393,45756153
2024-07-26,772801463,998885854,147168352,92623692,23979696,35000974,22470782,21587525,38533048,45791260
2024-07-29,771735687,998827542,147674594,92681685,24051930,35152215,24202899,21686079,38795195,45748162
2024-07-30,769310386,998852692,146914575,92364120,24044937,35096513,25459798,21723829,39473668,46178870
2024-07-31,769036066,999847100,146623557,92211948,24039596,35304210,25526328,21541175,39765085,46155086
2024-08-01,767353074,997320354,149385276,92557107,24043577,35089992,25368699,21889314,40227985,45706519
2024-08-02,763798466,998395852,150734863,91896738,24024268,34829109,25833573,22370824,41421635,45982042
2024-08-05,769633496,999629591,149527042,92016160,24129819,34629603,26183216,22856145,44911987,46000797
2024-08-06,768577919,1000287411,149494223,92175090,24200594,34648664,25194030,21817245,45096779,46428181
2024-08-07,766861453,1000206005,156291235,92146373,24347030,34792410,25653270,20761260,45608598,45902253
2024-08-08,767708787,999942781,150684307,91919484,24376191,34737047,24677524,20522135,45480648,45826859
2024-08-09,768030281,1000137891,153874924,92171568,24149166,34834252,23041075,21246298,44348641,45050374
2024-08-12,897529021,1000115369,155966656,91828358,24160565,34826028,22960621,20940494,41119969,44813186
2024-08-13,897219014,1000314769,154640230,92300341,24081007,34269688,23102566,21330008,42624488,44858214
2024-08-14,896550832,1003324755,153751768,91699165,24123363,34935551,23115354,22080298,41585825,44903373
2024-08-15,898180393,1003323675,153391395,92000975,24116524,34726567,23037006,22724991,42794713,44656733
2024-08-16,897382746,1003674055,154203589,92008651,24140554,34809541,22996243,22521808,42446059,44734506
2024-08-19,897081374,1003662199,155285802,91807436,24147699,34974202,23487443,22670755,40795417,45306695
2024-08-20,897584813,1004193399,153744256,90953290,23860606,34759166,22548679,22239429,42984246,46505607
2024-08-21,899117196,1004200800,154550181,90914634,23687600,34881942,24365059,22832217,42724555,46717474
2024-08-22,883549814,1000208980,151103840,90533272,23661275,34921625,39850857,25170821,44494105,49711489
2024-08-23,890446022,989760974,150267898,90964376,24092944,35302625,39912417,24911090,40571733,53357459
2024-08-26,890662220,984982697,155406512,94290177,23988919,35562513,39557168,26476013,41455169,49645968
2024-08-27,913613042,968053715,160639175,94336926,23967038,37951992,22446294,27269068,41231807,46732548
2024-08-28,930641478,967791915,158682444,91448555,23937510,34841712,20434519,24650271,39887758,45732377
2024-08-29,936462557,958171482,157638030,91383196,24069744,34657563,20380981,24115381,39843053,45621090
2024-08-30,939313006,957602352,159027234,91284069,24181086,34904887,20498058,24176470,37735626,46183821
2024-09-02,959823600,956569165,158876089,91638252,24140320,34656450,20637905,23324234,38132779,45747609
2024-09-03,972264537,956333865,154744741,92795736,24008061,34354111,20918549,22095179,37664487,45542642
2024-09-04,971246787,955730145,159726024,92718887,24035246,35902136,22073496,21261221,37641090,45744172
2024-09-05,971709079,953657779,162640735,92564112,24439785,35983413,21474267,21516281,37670892,45202285
2024-09-09,971794767,953413851,157054234,92630078,24607567,36705653,21801947,21592521,38747769,45574851
2024-09-10,972391389,952305699,151728573,93113984,24605446,36231488,21094656,21490025,38852014,45781683
2024-09-11,975332806,949654241,158517101,93762121,24603011,36487522,22607650,20413787,37899618,46383202
2024-09-12,977979043,949626391,157809979,93830972,24735591,36055713,22047318,20230647,37642372,45699052
2024-09-13,977169396,949404796,158851056,93764513,24771357,36054051,22412858,19732756,37646739,45503878
2024-09-16,980203358,949155636,156432673,93739970,24726160,36151871,21667382,19503118,37996152,44908516
2024-09-17,982534234,948821053,156732358,93795671,24746722,35528444,20498287,19551318,36412707,44852137
