date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BRIGHT SMART SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,ICBC (ASIA) SECURITIES LTD,CHINA CONSTRUCTION BANK (ASIA),DAH SING SECURITIES LTD
2024-03-01,43192670.0,32931901.0,28646090.0,13317666.0,7932980.0,10815100.0,10514030.0,6110750.0,0.0,0.0
2024-03-04,43063670.0,32969501.0,28935190.0,13231066.0,7981880.0,10788200.0,10504030.0,6074850.0,0.0,3925050.0
2024-03-05,43200470.0,33353001.0,29219490.0,13538266.0,8133080.0,10982500.0,10538430.0,6090250.0,4610850.0,3967750.0
2024-03-06,43493770.0,33643901.0,29149690.0,13526166.0,8159980.0,10725900.0,10486430.0,6090750.0,4608150.0,0.0
2024-03-07,43478970.0,33625101.0,28754090.0,13234766.0,8184480.0,10798700.0,10410430.0,6086950.0,4588850.0,3968050.0
2024-03-08,43499570.0,33558801.0,28227290.0,13135366.0,7897180.0,10661200.0,10393930.0,6078450.0,4566350.0,0.0
2024-03-11,43451970.0,33579801.0,28320790.0,13039466.0,7893980.0,10698300.0,10401530.0,6075450.0,4562350.0,3969050.0
2024-03-12,43632870.0,33934401.0,28402490.0,13629466.0,8009080.0,10869900.0,10588530.0,6107450.0,4596350.0,4018950.0
2024-03-13,43739170.0,33777901.0,28377990.0,13102366.0,7961180.0,10651100.0,10525530.0,6116850.0,4591350.0,4008450.0
2024-03-14,43724770.0,33823701.0,28188290.0,13078866.0,7992680.0,10640500.0,10521230.0,6116750.0,4579350.0,3987450.0
2024-03-15,43917670.0,33922401.0,28198490.0,13704366.0,8063030.0,10820300.0,10468230.0,6125350.0,4582850.0,3999950.0
2024-03-18,43927470.0,33885301.0,28228490.0,13154066.0,8180330.0,10774550.0,0.0,6109450.0,4564350.0,3821950.0
