date,CCB INTERNATIONAL SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,FIRST SHANGHAI SECURITIES LTD
2024-03-01,0.0,0.0,51.29886804108339,35.45810737131393,0.0,0.0,7.636473426640751,5.606551160961934,0.0
2024-03-04,0.0,0.0,51.25776925894303,35.43440490176537,0.0,0.0,7.63715764068736,5.670668198604236,0.0
2024-03-05,0.0,0.0,51.185917281922414,35.4560070966282,0.0,0.0,7.641813549768085,5.716262071681317,0.0
2024-03-06,0.0,0.0,51.15255580922422,35.46395570331337,0.0,0.0,7.64352670855957,5.739961778902842,0.0
2024-03-07,0.0,0.0,51.1230491380392,35.48081854153015,0.0,0.0,7.64716114673027,5.748971173700373,0.0
2024-03-08,0.0,0.0,51.07248859913837,35.49992791065251,0.0,0.0,7.651279778461384,5.776303711747741,0.0
2024-03-11,0.0,0.0,51.027677275763516,35.486867615500756,0.0,0.0,7.648464900289042,5.836990208446682,0.0
2024-03-12,0.0,0.0,50.878532169991985,35.409491004107544,0.0,0.0,7.8075799957137395,5.904396830186736,0.0
2024-03-13,0.0,0.0,50.85453190808621,35.36105398917484,0.0,0.0,7.905081083029647,5.879333019709302,0.0
2024-03-14,0.0,0.0,50.53665151301071,35.65040424408365,0.0,0.0,7.89787868884774,5.915065554057902,0.0
2024-03-15,0.0,0.0,43.0091111058188,30.254468027315124,0.0,14.98321277396421,6.704999884714759,5.048208208187106,0.0
2024-03-18,0.0,0.0,42.929027271825404,30.20494586552813,0.0,15.126377374098945,6.692515039436926,5.047134449110592,0.0
2024-03-19,0.0,27.727132366022904,30.43640188772941,22.459256923344995,0.0,10.864341215673074,4.8878231262947365,3.6250444809348794,0.0
2024-03-20,0.0,24.422924087440954,25.9562799817719,21.11038572265804,11.350128077233467,9.522967776983046,4.448850812781636,3.1884635411309565,0.0
2024-03-21,0.0,24.345740296589156,25.767161812771583,21.274029838110177,11.272374749460774,9.437186306365417,4.705606053381372,3.1979009433215224,0.0
2024-03-22,0.0,24.22416366348738,25.758559091607054,21.304471998927347,11.261438718528554,9.44023323991361,4.821876320105322,3.1892569674307323,0.0
2024-03-25,0.0,24.16100517722019,25.798729528151764,21.38237536617903,11.232077315900437,9.352457255317267,4.85822012283759,3.215135234393723,0.0
2024-03-26,0.0,24.11253610633691,25.73496667552017,21.405152544241854,11.07906582338727,9.332778188948595,5.077843955689414,3.257656705875785,0.0
2024-03-27,0.0,24.14779658425723,26.009564227929705,21.204936397922395,11.052187871723692,9.233357880830107,5.096135975740474,3.256021061596394,0.0
2024-03-28,0.0,24.136592413732178,26.032058238141293,21.21166849140268,11.047059842871967,9.175573661477108,5.142537029660081,3.2545103227146917,0.0
2024-04-02,0.0,24.13716380337983,26.032674499473025,21.212170638830024,11.047321361794067,9.175790876389287,5.140291452843989,3.254587367289779,0.0
2024-04-03,0.0,24.163844314136774,26.097949187747666,20.92921645381888,11.078419738912512,9.203987640307613,5.254870332527647,3.271712332548905,0.0
2024-04-24,0.0,24.183943760695083,26.119657419606852,20.863445504149244,11.087634750505783,9.211643502317594,5.259241325158057,3.274433737567383,0.0
2024-04-26,0.0,24.153400372083215,26.180672736332,20.794368493423622,11.081472159538691,9.206523601426483,5.259168494252109,3.324394142943875,0.0
2024-04-29,0.0,24.159253557182094,26.1523302042909,20.78752856414539,11.084157574706685,9.208754653200815,5.28420118338528,3.3237742630888354,0.0
2024-04-30,0.0,24.131962936790593,25.87028632314878,20.764046690022962,11.071636760021127,9.174146314249892,5.667901293152176,3.3200196826144714,0.0
2024-05-02,0.0,24.03522496377769,25.911706465896238,20.68222788174779,11.027253810283263,9.15722429400214,5.689616477435361,3.4967461068575165,0.0
2024-05-03,0.0,23.999147880149376,25.967215834800523,20.64646352278207,11.010701805527583,9.147727358011862,5.7565987673546,3.4721448313739836,0.0
2024-05-06,0.0,23.993711688173942,25.969828195416255,20.65594402018462,11.008207704941261,9.147542884701231,5.755294805389734,3.4694707011929586,0.0
2024-05-07,0.0,23.993372007945958,25.96898863746499,20.655651592907624,11.008051861170548,9.14930098941467,5.755213327380954,3.4694215837152598,0.0
2024-05-08,0.0,23.99190017142289,25.97117059210249,20.58360358510449,11.00737658915077,9.15109910356344,5.825641201274498,3.4692087573814234,0.0
2024-05-09,0.0,24.010027657432495,25.996932530547262,20.55193294275624,11.015693398728027,9.164152352475064,5.789431141319432,3.471829976741478,0.0
2024-05-10,0.0,24.010367809423983,26.015245799647204,20.52011205480552,11.015849458941727,9.165698889794859,5.800846824950922,3.471879162435786,0.0
2024-05-13,0.0,24.00583324183915,26.02071982353116,20.520958120755914,11.013769019596841,9.16396786753781,5.7997512843833725,3.475000642355757,0.0
2024-05-14,0.0,23.994730786567604,26.104486981622095,20.516186669642458,10.828398589760715,9.163033124252978,5.9141072169178885,3.4790566312362596,0.0
2024-05-16,0.0,24.1492287552447,25.919700767496888,20.45313338710987,10.887655390182939,9.217630434809228,5.881064991429169,3.4915862737272083,0.0
2024-05-17,0.0,24.095621749657685,26.1144774965212,20.36865393872699,10.896927701096203,9.197634323886565,6.140318042443735,3.1863667476676216,0.0
2024-05-20,0.0,24.109481030241632,26.096698551228346,20.382746318166753,10.903195378273473,9.192466815606492,6.117705348971606,3.197706557511691,0.0
