date,THE HONGKONG AND SHANGHAI BANKING,BNP PARIBAS,STANDARD CHARTERED BANK (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,MORGAN STANLEY HONG KONG SECURITIES LTD,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD
2024-03-01,31.681700727052544,24.807712794398526,16.992518022594457,2.667496895844686,10.744743430470894,3.7468280721725598,2.940472336765579,1.8687698878432153,3.048773731756799,1.5009841011007425
2024-03-04,31.55488130139456,24.827868885945172,17.009797039096444,2.6923496793009307,10.953884703498506,3.751619396745521,2.936125929084528,1.868998632178987,3.05737004581191,1.3471043869434427
2024-03-05,31.26889376713997,24.906212984641183,17.059158900819327,2.6200325846052075,11.025864428390232,3.7655624322896224,2.9393434272165915,1.8734138725794875,3.1721554361905975,1.3693621661277822
2024-03-06,31.22715470773596,24.825643578640157,17.005557695873193,2.617379015430771,11.239293590201562,3.760552902770325,2.9235762348777956,1.8678075903396225,3.1448833932593607,1.3881512908712514
2024-03-07,31.150551203374356,24.786447027326293,17.041372044362795,2.5950861771363485,11.405163957846158,3.7183737368098555,2.9258272245923713,1.8749315627459122,3.1127954634649253,1.3894516023409862
2024-03-08,31.19969825388632,24.834207805129342,17.06753221620581,2.6167422319210916,11.420169342458092,3.724253305755898,2.9379296796815044,1.8751565565674175,3.1182999401599143,1.2060106682346112
2024-03-11,31.137438432524107,24.8288565635856,17.82692631258269,2.6278462937458733,10.578328271156721,3.8421151198866244,2.9409316110834065,1.8742505678647023,3.1271989212350886,1.2161079063351903
2024-03-12,30.987927345508865,24.750353806580826,17.789782009624258,2.6328625241261037,10.769238255676306,3.737473991781934,2.9336662449950075,1.8664129868119546,3.1113180474888513,1.4209647874058975
2024-03-13,31.00804363513449,24.810247475446143,17.834588972660505,2.656322432650056,10.542952558809713,3.77265261402734,2.9394726572628183,1.8880988653984279,3.120510901959232,1.427109886651272
2024-03-14,30.88157949388964,24.77443411052317,17.81556894786234,2.664479600613541,10.747104793127978,3.7223725312405316,2.935603173355392,1.884327903136094,3.1187219702161064,1.4558074760352102
