date,THE HONGKONG AND SHANGHAI BANKING,ABN AMRO CLEARING HONG KONG LTD,BNP PARIBAS,HANG SENG SECURITIES LTD,CATHAY SECURITIES (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,EDDID SECURITIES AND FUTURES LTD,CINDA INTERNATIONAL SECURITIES LTD,WEBULL SECURITIES LTD
2024-03-15,0.0,55.28455284552846,0.0,44.71544715447154,0.0,0.0,0.0,0.0,0.0
2024-03-26,0.0,49.75609756097561,0.0,44.71544715447154,0.0,5.528455284552845,0.0,0.0,0.0
2024-05-17,0.0,33.5483870967742,0.0,59.13978494623656,0.0,7.311827956989248,0.0,0.0,0.0
2024-05-20,0.0,33.5483870967742,0.0,59.13978494623656,0.0,7.311827956989248,0.0,0.0,0.0
2024-05-24,0.0,32.60188087774294,0.0,57.47126436781609,0.0,9.926854754440962,0.0,0.0,0.0
2024-05-30,0.0,85.70478723404256,0.0,12.189716312056738,0.0,2.105496453900709,0.0,0.0,0.0
2024-06-03,0.0,82.75862068965517,0.0,14.701951349906443,0.0,2.5394279604383856,0.0,0.0,0.0
2024-06-04,0.0,82.28508651469376,0.0,15.105740181268882,0.0,2.6091733040373524,0.0,0.0,0.0
2024-06-05,0.0,78.77591312931885,0.0,18.09805857189865,0.0,3.126028298782494,0.0,0.0,0.0
2024-06-06,0.0,70.86720867208672,0.0,24.841915085817526,0.0,4.290876242095754,0.0,0.0,0.0
2024-06-07,0.0,70.78804347826086,0.0,24.90942028985507,0.0,4.302536231884058,0.0,0.0,0.0
2024-06-11,0.0,57.369464639788504,0.0,36.35161929940516,0.0,6.278916060806345,0.0,0.0,0.0
2024-06-12,0.0,93.70636152055857,0.0,5.333591931730023,0.0,0.9212567882079131,0.038789759503491075,0.0,0.0
2024-06-13,0.0,89.82120451693852,0.0,8.626097867001254,0.0,1.4899623588456712,0.06273525721455457,0.0,0.0
2024-06-14,0.0,84.30851063829788,0.0,13.297872340425531,0.0,2.2969052224371374,0.09671179883945842,0.0,0.0
2024-06-17,0.0,81.06215348701488,0.0,16.049022468631456,0.0,2.7721038809454335,0.11672016340822876,0.0,0.0
2024-06-18,0.0,52.103321033210335,0.0,40.59040590405904,0.0,7.011070110701106,0.2952029520295203,0.0,0.0
2024-06-19,0.0,92.92797210417348,0.0,5.993243979514003,0.0,1.0351966873706004,0.04358722894192001,0.0,0.0
2024-06-20,0.0,92.84059569773856,0.0,6.067291781577496,0.0,1.0479867622724766,0.0441257584114727,0.0,0.0
2024-06-24,0.0,90.00615953187557,0.0,8.469356328919002,0.0,1.4628888204496457,0.061595318755774564,0.0,0.0
2024-06-25,0.0,80.42232277526395,0.0,16.59125188536953,0.0,2.865761689291101,0.12066365007541478,0.0,0.0
2024-06-26,0.0,79.9876657415973,0.0,16.959605303731113,0.0,2.929386370644465,0.12334258402713535,0.0,0.0
2024-07-04,0.0,79.46345975948196,0.0,16.959605303731113,0.0,2.929386370644465,0.6475485661424607,0.0,0.0
2024-07-17,0.0,79.3360223394353,0.0,17.064846416382252,0.0,2.94756438101148,0.6515668631709587,0.0,0.0
2024-07-18,0.0,52.39456754824875,0.0,39.313795568263046,0.0,6.790564689063617,1.5010721944245888,0.0,0.0
2024-07-26,0.0,97.80870595202843,0.0,1.8096272167933407,0.0,0.3125719738097588,0.06909485736847301,0.0,0.0
2024-07-31,0.0,97.78619864379738,0.0,1.8282143332003724,0.0,0.31578247573460977,0.06980454726765058,0.0,0.0
2024-08-01,0.0,97.73346038660495,0.0,1.871766947998911,0.0,0.3233052001089028,0.07146746528723115,0.0,0.0
