date,SOUTH CHINA SECURITIES LTD,SOLID KING SECURITIES LTD,CITIBANK N.A.,KARL-THOMSON SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,PHILLIP SECURITIES (HONG KONG) LTD,REALINK FINANCIAL TRADE LTD,BANK OF CHINA (HONG KONG) LTD,CHIEF SECURITIES LTD,HANG SENG BANK LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2024-03-04,98.88490545062831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6402951453532906,0.47479940401839515
2024-03-05,98.88150613298734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6437137921964574,0.47478007481620044
2024-03-14,98.09101298630793,0.0,0.0,0.0,0.0,0.0,0.0,0.7994347756154399,0.638567720286206,0.47098451779042677
2024-03-18,98.09302040617561,0.0,0.0,0.0,0.0,0.0,0.0,0.7986630952377356,0.6373290614795929,0.4709874371070543
2024-03-19,98.09122763706876,0.0,0.0,0.0,0.0,0.0,0.0,0.7986333233807834,0.6391691594967945,0.47096988005366414
2024-03-26,98.08948846903183,0.0,0.0,0.0,0.0,0.0,0.0,0.7985812047163631,0.6409911816062573,0.4709391446455463
2024-03-27,98.06927050126022,0.0,0.0,0.0,0.0,0.0,0.0,0.7983357036036925,0.6615994273564675,0.4707943677796149
2024-04-02,98.06867943386686,0.0,0.0,0.0,0.0,0.0,0.0,0.7983233085617822,0.6622101993933145,0.47078705817803584
2024-04-03,98.06872741008455,0.0,0.0,0.0,0.0,0.0,0.0,0.7983034772952844,0.6621937493325422,0.4707753632876143
2024-04-08,98.06950069868337,0.0,0.0,0.0,0.0,0.0,0.0,0.7975284296779863,0.6621947774373967,0.47077609420124333
2024-04-10,98.0695606416858,0.0,0.0,0.0,0.0,0.0,0.0,0.7975036660074928,0.6621742159468457,0.4707614763598734
2024-04-15,98.06956663578129,0.0,0.0,0.0,0.0,0.0,0.0,0.7975011897250248,0.6621721598680192,0.4707600146256643
