date,HAITONG INTERNATIONAL SECURITIES CO LTD,HSBC BROKING SECURITIES (HONG KONG) LTD,SUN SECURITIES LTD,KINGSTON SECURITIES LTD,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,GET NICE SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-04,0.0,0.0,70.74089699009161,0.0,0.0,29.259103009908383,0.0,0.0
2024-03-05,0.0,0.0,70.75051919323649,0.0,0.0,29.24948080676351,0.0,0.0
2024-03-06,0.0,0.0,55.500911567486156,0.0,0.0,22.93724870144046,21.561839731073384,0.0
2024-03-07,0.0,0.0,55.50378117090972,0.0,0.0,22.935769551873147,21.56044927721713,0.0
2024-03-08,0.0,0.0,55.506650404254124,0.0,0.0,22.93429059306475,21.55905900268113,0.0
2024-03-12,0.0,0.0,55.51525588452807,0.0,0.0,22.92985486082411,21.55488925464781,0.0
2024-03-18,0.0,0.0,55.513466403461756,0.0,0.0,22.932339143086857,21.554194453451398,0.0
2024-03-19,0.0,0.0,55.548208484464304,0.0,0.0,22.900375819002697,21.551415696533,0.0
2024-03-21,0.0,0.0,55.55787745025794,0.0,0.0,22.900375819002697,21.54174673073936,0.0
2024-03-22,0.0,0.0,55.56360616988376,0.0,0.0,22.897423893557505,21.538969936558733,0.0
2024-03-25,0.0,0.0,55.55930868000705,0.0,0.0,22.905885232701284,21.534806087291667,0.0
2024-03-26,0.0,0.0,55.56074049080303,0.0,0.0,22.90514724027152,21.534112268925455,0.0
2024-03-27,0.0,0.0,55.5693294184621,0.0,0.0,22.900720284133186,21.52995029740471,0.0
2024-03-28,0.0,0.0,55.572191656613136,0.0,0.0,22.899245012335,21.52856333105186,0.0
2024-04-02,0.0,0.0,55.573622637403375,0.0,0.0,22.898507447711726,21.527869914884892,0.0
2024-04-03,0.0,0.0,55.603520223488914,0.0,0.0,22.862020603991063,21.53445917252003,0.0
2024-04-05,0.0,0.0,38.3715783793264,30.992514201738803,0.0,15.77599733491057,14.85991008402423,0.0
2024-04-09,0.0,0.0,38.37294852083872,30.991825166888283,0.0,15.775646598216714,14.85957971405628,0.0
2024-04-10,0.0,0.0,38.36356650763513,30.984247805123616,0.0,15.796239073544763,14.855946613696494,0.0
2024-04-11,0.0,0.0,38.366306355034034,30.98287050105286,0.0,15.795536903057506,14.8552862408556,0.0
2024-04-15,0.0,0.0,38.367676187392256,30.98218189493414,0.0,15.795185841222887,14.854956076450712,0.0
2024-04-17,0.0,0.0,38.370415669446544,30.980804774519832,0.0,15.794483764366465,14.854295791667155,0.0
2024-04-18,0.0,0.0,38.3695629291751,30.980116260220154,0.0,15.79635513931821,14.853965671286531,0.0
2024-04-19,0.0,0.0,38.3712684476221,30.981493319423812,0.0,15.792612306232526,14.854625926721557,0.0
2024-04-23,0.0,0.0,38.37263810881345,30.980804774519832,0.0,15.79226132499957,14.854295791667155,0.0
2024-04-24,0.0,0.0,38.38121451494843,30.969792216854664,0.0,15.799977642431564,14.849015625765341,0.0
2024-04-25,0.0,0.0,38.38036183788148,30.969104191946506,0.0,15.801848230139855,14.848685740032156,0.0
2024-04-29,0.0,0.0,38.3940482162146,30.96222562385928,0.0,15.798338471243332,14.845387688682795,0.0
2024-04-30,0.0,0.0,5.836179273290933,4.7064872769683905,0.0,2.4031524078791104,2.256608718224949,0.0
2024-05-03,0.0,0.0,38.39115307224192,30.958099949502653,0.0,15.807337417244893,14.843409561010535,0.0
2024-05-07,0.0,0.0,38.388595458235216,30.956037524602237,0.0,15.812946322314206,14.842420694848347,0.0
2024-05-08,0.0,0.0,38.38996360931011,30.955350110700074,0.0,15.812595177917013,14.842091102072807,0.0
2024-05-10,0.0,0.0,32.671623812634024,26.34442595720258,14.89540301436834,13.4572453991357,12.63130181665936,0.0
2024-05-13,0.0,0.0,32.67289618989459,26.34392809804677,14.895121519801622,13.45699108299137,12.631063109265641,0.0
2024-05-17,0.0,0.0,32.67671303314677,26.342434633475943,14.894277099934348,13.456228192228172,12.630347041214765,0.0
2024-05-20,0.0,0.0,32.693247687667096,26.33596490991501,14.890619053257295,13.452923331542824,12.627245017617774,0.0
2024-05-22,0.0,0.0,32.685837532112174,26.329995677413677,14.88724398925179,13.472539837894962,12.624382963327403,0.0
2024-05-24,0.0,0.0,32.68398551805748,26.32850379206711,14.886400462293775,13.47744257511805,12.62366765246358,0.0
2024-05-30,0.0,0.0,32.68652821963141,26.32750929575674,14.885838164092121,13.476933496933432,12.623190823586297,0.0
2024-05-31,0.0,0.0,5.843269390422664,4.7064872769683905,2.6610951738454727,2.407879152633598,2.256608718224949,0.0
2024-06-03,0.0,0.0,32.75266970595985,26.29721320706603,14.868708451281515,13.472743808639255,12.608664827053353,0.0
2024-06-04,0.0,0.0,32.76386880670565,26.292575624056003,14.86608631527221,13.471027998259313,12.606441255706818,0.0
2024-06-13,0.0,0.0,32.765136939934905,26.29207972269702,14.86580592766348,13.470773922691109,12.60620348701348,0.0
2024-06-17,0.0,0.0,32.79361150733164,26.28315669592382,14.860760758711585,13.460545854311171,12.601925183721788,0.0
2024-06-27,0.0,0.0,32.79487862550657,26.28266114979657,14.860480571954449,13.460292067391816,12.601687585350597,0.0
2024-06-28,0.0,0.0,32.79614569590157,26.28216562235515,14.860200395762469,13.460038290042146,12.60144999593866,0.0
2024-07-04,0.0,0.0,32.79741271851935,26.281670113598516,14.85992023013505,13.45978452226162,12.601212415485472,0.0
