date,ABN AMRO CLEARING HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,MERRILL LYNCH FAR EAST LTD,INTERACTIVE BROKERS HONG KONG LTD,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,TIGER BROKERS (HK) GLOBAL LTD,LONG BRIDGE HK LTD
2024-10-10,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-14,99.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-15,98.7,1.3,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-17,99.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-23,99.15,0.75,0.0,0.0,0.1,0.0,0.0,0.0
2024-11-04,99.15084915084915,0.7492507492507493,0.0,0.0,0.0999000999000999,0.0,0.0,0.0
2024-11-14,99.05094905094906,0.7492507492507493,0.0,0.0,0.0999000999000999,0.0,0.0999000999000999,0.0
2024-11-27,99.1008991008991,0.6993006993006993,0.0,0.0,0.0999000999000999,0.0,0.0999000999000999,0.0
2024-12-19,99.000999000999,0.6993006993006993,0.0999000999000999,0.0,0.0999000999000999,0.0,0.0999000999000999,0.0
2024-12-23,99.00199600798403,0.6986027944111777,0.09980039920159679,0.0,0.09980039920159679,0.0,0.09980039920159679,0.0
2025-01-15,98.60279441117764,0.6986027944111777,0.09980039920159679,0.0,0.09980039920159679,0.0,0.09980039920159679,0.39920159680638717
2025-01-20,98.65269461077844,0.6986027944111777,0.09980039920159679,0.0,0.09980039920159679,0.0,0.09980039920159679,0.34930139720558884
2025-01-22,99.33377748167888,0.4663557628247834,0.033311125916055964,0.0,0.06662225183211193,0.0,0.06662225183211193,0.033311125916055964
2025-02-04,99.16749916749916,0.4995004995004995,0.0333000333000333,0.1332001332001332,0.0666000666000666,0.0,0.0666000666000666,0.0333000333000333
2025-02-07,99.13391072618255,0.4996668887408394,0.06662225183211193,0.13324450366422386,0.06662225183211193,0.0,0.06662225183211193,0.033311125916055964
2025-02-13,99.13419913419914,0.4995004995004995,0.0666000666000666,0.1332001332001332,0.0666000666000666,0.0,0.0666000666000666,0.0333000333000333
2025-03-05,99.13477537437603,0.49916805324459235,0.06655574043261231,0.13311148086522462,0.06655574043261231,0.0,0.06655574043261231,0.033277870216306155
2025-03-28,99.16749916749916,0.4995004995004995,0.0333000333000333,0.1332001332001332,0.0666000666000666,0.0,0.0666000666000666,0.0333000333000333
2025-04-10,99.16777629826898,0.4993342210386152,0.033288948069241014,0.13315579227696406,0.06657789613848203,0.0,0.06657789613848203,0.033288948069241014
2025-04-14,99.10119840213049,0.4993342210386152,0.033288948069241014,0.13315579227696406,0.06657789613848203,0.06657789613848203,0.06657789613848203,0.033288948069241014
2025-04-24,98.96769896769896,0.4995004995004995,0.1665001665001665,0.1332001332001332,0.0666000666000666,0.0666000666000666,0.0666000666000666,0.0333000333000333
