date,BOCI SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,UBS SECURITIES HONG KONG LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,16.34615491358402,7.940913655004795,5.491924922714473,3.95855417887356,2.640443440795082,0.0,0.0,36.377991110971934
2024-03-04,17.865754503733783,16.36476171619054,7.934140883535642,5.4972897532831615,3.9580307807692976,2.6405219505107214,0.0,0.0,54.26049958802315
2024-03-05,17.865754503733783,16.346730651498707,7.957013249842375,5.483681402572343,3.9580831205797242,2.6405742903211475,0.0,0.786405416124839,55.03824263467292
2024-03-06,17.864838557051325,16.363348541309033,7.949895035624409,5.482294397596048,3.9580831205797242,2.6541826410319653,0.0,0.7858035083049376,55.058445801497435
2024-03-07,17.864838557051325,16.44957837898623,7.8958541813593355,5.470831979112706,3.957821421527593,2.6541826410319653,0.0,0.7838407654139542,55.07694792448311
2024-03-08,17.864838557051325,16.482238420692198,7.866439207899798,5.478054872951525,3.957821421527593,2.65010013581872,0.0,0.7766440414803486,55.0761366574215
2024-03-11,17.864838557051325,16.5103972387015,7.8201446455778045,5.486978810629195,3.961354358731363,2.627514958051796,0.0,0.7766440414803486,55.04787261022334
2024-03-12,17.864838557051325,16.570640360502082,7.781808246751496,5.482686946174245,3.9587897080204786,2.6253833669323776,0.0,0.7766440414803486,55.06079122691235
2024-03-13,17.862744964634274,16.528009584909928,7.808632399594936,5.439715961814317,3.9582663099162163,2.631363059424047,0.0,0.7905140912432974,55.01924637153701
2024-03-14,17.862744964634274,16.48456055489147,7.8045237244764785,5.478342741908869,3.9557299750427717,2.6531576181845784,0.0,0.7931310817646087,55.03219066090305
2024-03-15,17.862744964634274,16.481210807024194,7.980773299333936,5.522543711813813,3.954944877886378,2.4778493224778244,0.0,0.7931310817646087,55.07319806493503
2024-03-18,17.863765590937586,16.500419517450617,7.961151863332397,5.548190218922662,3.9526680961328373,2.4564948106734517,0.0,0.7931310817646087,55.07582117921416
2024-03-19,17.863765590937586,16.519052489962352,7.35881616548061,5.5972064513868185,3.9525372466067723,2.954334652747202,0.0,0.8022905485891975,55.04800314571053
2024-03-20,17.863765590937586,16.515362533327302,7.3604126605481355,5.605947199727998,3.9522232077442148,2.9543083519924624,0.0,0.8022905485891975,55.0543100928669
2024-03-21,17.863765590937586,16.543024123137563,7.353310881030644,5.587471246647541,3.9522232077442148,2.939786671589707,2.2185656479182634,0.8022905485891975,57.26043791759472
2024-03-22,17.863765590937586,16.55176487147874,7.350824583015966,5.572711420107347,3.952275547554641,2.904652762574044,2.2185656479182634,0.8022905485891975,57.216850972175784
2024-03-25,17.863765590937586,16.529023223848547,7.478427418300973,5.57862581868551,3.9538719117726404,2.71703809511073,2.2185656479182634,0.8191203622919387,57.15843806886619
2024-03-26,17.863765590937586,16.529180243279825,7.487995318836223,5.567215740012594,3.9557038051375586,2.681621551118765,2.2185656479182634,0.7974928722062883,57.1015407694471
2024-03-27,17.863765590937586,16.4912077108156,7.520388924737211,5.543113257311318,3.9565935819148046,2.745678753414821,2.2185656479182634,0.761218766590395,57.10053223364
2024-03-28,17.863765590937586,16.497566997782386,7.546735869359088,5.557951593567152,3.956750601346083,2.696474359332182,2.2185656479182634,0.761218766590395,57.099029426833134
2024-04-02,17.85125637624572,16.498456774559635,7.547049908221645,5.5470910829037114,3.956488902293952,2.7198964244979162,2.2185656479182634,0.761218766590395,57.10002388323123
2024-04-03,17.85125637624572,16.506831144227828,7.502634345093953,5.548033199491384,3.960990125990607,2.7563445338135715,2.2185656479182634,0.7285063850740063,57.07316175785533
2024-04-05,17.85125637624572,16.49139090015209,7.498970558364118,5.566385525939613,3.965360500161196,2.754466869284436,2.2185656479182634,0.7285063850740063,57.07490276313945
2024-04-08,17.85125637624572,16.5019897117634,7.514861448207623,5.578816230915841,3.964313703952672,2.7278122974267784,2.2185656479182634,0.7285063850740063,57.086121801504305
2024-04-09,17.85334996866277,16.5019897117634,7.543386644889914,5.578816230915841,3.966930694473983,2.7231278843936315,2.2185656479182634,0.7285063850740063,57.11467316809181
2024-04-10,17.853873366767033,16.573407383089982,7.541513089035896,5.547543194186173,3.969024286891032,2.6636201369295383,2.2185656479182634,0.7285063850740063,57.096053489891915
2024-04-11,17.853873366767033,16.59272077313726,7.568154628280759,5.543172820015584,3.968998116985819,2.5849804353710115,2.2185656479182634,0.7285063850740063,57.058972173549726
2024-04-12,17.85413506581916,16.62006832408496,7.458118891438064,5.518128220726636,3.9694168354692283,2.611701112409238,2.2185656479182634,0.7285063850740063,56.97864048293956
2024-04-15,17.85413506581916,16.62747440726027,7.476568674613306,5.533097406508536,3.9696893426922126,2.610211338215171,2.2185656479182634,0.7285063850740063,57.018248268100926
2024-04-16,17.86195785239518,16.617163464606303,7.347681891438734,5.535635887314207,3.9754205519338845,2.720072600299811,2.2185656479182634,0.7285063850740063,57.00500428098039
2024-04-17,17.86195785239518,16.596279880246243,7.35096440881952,5.61741684110518,3.975943950038147,2.6479437356291595,2.2185656479182634,0.7151597334153197,56.984232049567005
2024-04-18,17.86195785239518,16.607480599677455,7.331206130383622,5.655912771673666,3.9762056490902773,2.6589350958186664,2.2185656479182634,0.7151597334153197,57.02542348037245
2024-04-19,17.863266347655838,16.622475955364564,7.325003862848114,5.670620258403434,3.976467348142408,2.6106742053286753,2.2185656479182634,0.7151597334153197,57.00223335907661
2024-04-22,17.863266347655838,16.617477503468862,7.3429171106266775,5.669861331152254,3.976467348142408,2.5988454081723495,2.2185656479182634,0.7151597334153197,57.00256043055197
2024-04-23,17.863266347655838,16.64069020939289,7.382041118920279,5.674781273332319,3.9748971538296223,2.5276894358979005,2.2185656479182634,0.7151597334153197,56.997090920362425
2024-04-24,17.863266347655838,16.664688012473313,6.465455838434384,5.676456147265958,3.9748971538296223,2.5607999663522016,2.2185656479182634,1.6208886380827983,57.04501775201237
2024-04-25,17.863030818508918,16.685754786169866,6.4470060552591395,5.680721841815695,3.9711025175737205,2.54956054163118,2.2185656479182634,1.620365239978536,57.03610744885532
2024-04-26,17.863030818508918,16.69426000536413,6.431042413079142,5.718772883995558,3.9685640367680493,2.5240335524794393,2.2185656479182634,1.6412488243385985,57.059518182452095
2024-04-29,17.86525526045203,16.676987867923476,6.428948820662093,5.768809742763026,3.9887148637821443,2.494370933206871,2.2185656479182634,1.6412488243385985,57.0829019610465
2024-04-30,17.868814367561015,16.631321383326597,6.432036555438378,5.716469932336805,4.011587360938403,2.5436218050411687,2.2185656479182634,1.6412488243385985,57.06366587689923
2024-05-02,17.871693057134458,16.597483695886044,6.4154318029204696,5.700087571673397,4.006772098379191,2.5615350528197323,2.2185656479182634,1.654595475997285,57.02616440272884
2024-05-03,17.87161454741882,16.548102000695586,6.449406385135191,5.68875600271612,4.005699132265454,2.535516776037426,2.2185656479182634,1.6546216459024983,56.972282138089355
2024-05-06,17.868997556897508,16.548102000695586,6.48876526832808,5.68875600271612,4.00643188961142,2.583315793870311,2.2185656479182634,1.6546216459024983,57.057555805939785
2024-05-07,17.86407761471744,16.548102000695586,6.513312639417979,5.68875600271612,4.002585018224714,2.5721438613348337,2.2185656479182634,1.6546216459024983,57.06216443092744
2024-05-08,17.86407761471744,16.565897536240502,6.502068347094587,5.658869970962748,3.999470799504354,2.622801470253957,2.2185656479182634,1.6686241415557306,57.10037552824758
2024-05-09,17.86407761471744,16.56615923529263,6.507511687378914,5.6305541335221605,3.999235270357436,2.643528035182741,2.2185656479182634,1.6424542363426196,57.07208586071221
2024-05-10,17.861329774670065,16.579872265624303,6.512544971418458,5.640917415986553,4.019988005191433,2.6216020773281348,2.2185656479182634,1.6424542363426196,57.09727439447983
2024-05-13,17.86135594457528,16.60563556902012,6.495482193219508,5.542963460773879,4.02349477248999,2.658563221465588,2.2185656479182634,1.6607731699917971,57.06683397945442
2024-05-14,17.861748493153478,16.594268827710234,6.4895603100484545,5.627221553112703,3.9899449540067815,2.644507365375626,2.2185656479182634,1.6686839659590478,57.094501117284594
2024-05-16,17.85329561376964,16.55401951349247,6.482075717157505,5.675164819463122,3.990938363608671,2.622956448432629,2.2185656479182634,1.6605453871368223,57.05756151097913
2024-05-17,17.854080710926034,16.545226425340864,6.486594448520748,5.689148184915644,3.9914355918077202,2.603159726405972,2.2185656479182634,1.6618020921550611,57.0500128279903
2024-05-20,17.858032366613212,16.381461203765323,6.494891538458848,5.602185589892476,3.9855473631347706,2.821585741131184,2.2185656479182634,1.6806967637189272,57.042966214633005
2024-05-21,17.892210262821536,16.440736039073016,6.491259050935648,5.733741703398785,3.97065668706851,2.793360687091783,2.2185656479182634,1.6806888865774583,57.221218964885004
2024-05-22,17.9474287628212,16.436313325092,6.508404264336018,5.741252466194948,3.9820405958362137,2.7593921501251644,2.2185656479182634,1.6483283332667544,57.24172554559056
2024-05-23,17.94776897158897,16.37287747485542,6.539999243239617,5.730470465247146,3.9768851245092307,2.763554656738646,2.2185656479182634,1.6541723347998945,57.204293918897186
2024-05-24,17.968809575380313,16.28285300092232,6.548798481318947,5.555681668328778,3.9735877164523785,2.8419503501009657,2.2185656479182634,1.6585170624633752,57.048763502885336
2024-05-27,17.973520158318674,16.162366757321156,6.557251360702781,5.531683865248355,3.9737447358836575,2.922841527114692,2.2185656479182634,1.6620769284996093,57.00205098100719
2024-05-28,17.963837293389822,16.110314815852277,6.523511287008675,5.5455277451060905,3.9734830368315257,2.9780448485693327,2.2185656479182634,1.6501957915328567,56.963480466208836
2024-05-29,17.96229326898225,16.102463844288344,6.529873949893234,5.537101035627469,3.967097579959527,2.971491642604917,2.2185656479182634,1.6483900680731522,56.93727703734716
2024-05-30,17.970405939598315,16.203244149264034,6.532061492269997,5.552305750556286,3.966966730433461,2.897931702837592,2.2185656479182634,1.6474217815802672,56.98890319445822
2024-05-31,17.968050648129132,16.229492564192785,6.516621248194261,5.551505134646102,3.9630412446514947,2.8981934018897233,2.2185656479182634,1.6485209175992177,56.99399080722098
2024-06-03,17.968050648129132,16.280209840495793,6.522183399848257,5.581757545072458,3.945795277116055,2.823483556487334,2.2185656479182634,1.6342844891632853,56.97433040423058
2024-06-04,17.968050648129132,16.30818546916861,6.516372686434548,5.571131307400484,3.936060072376778,2.77041648439524,2.2185656479182634,1.6364827612011867,56.92526507702424
2024-06-05,17.968050648129132,16.318810450685135,6.50511962719291,5.558255714035634,3.936060072376778,2.7584568377128478,2.2185656479182634,1.6282566440460235,56.891575642096726
2024-06-06,17.973808027276018,16.336972364903033,6.489365344254616,5.578615900291434,3.9413463932298254,2.778094289696378,2.2185656479182634,1.6282566440460235,56.945024611615594
2024-06-07,17.973808027276018,16.3351143016329,6.593980063742132,5.579715036310385,3.939017271665859,2.778094289696378,2.2185656479182634,1.523616016352347,56.94191065459429
2024-06-11,17.973808027276018,16.38059759689329,6.579272577012365,5.584294769722679,3.9419221311445143,2.8130494320895303,2.2185656479182634,1.525290890285986,57.01680107234264
2024-06-12,17.97299676021441,16.387270922722628,6.57822578080384,5.576103589390976,3.9426810583956944,2.8098043638431043,2.2185656479182634,1.5259189680111007,57.01156709130002
2024-06-13,17.972813570877918,16.44133794689292,6.570003170415975,5.578223351713238,3.9424455292487766,2.7897059028093403,2.2185656479182634,1.5254217398120515,57.038516859688485
2024-06-14,17.972290172773654,16.465126390731637,6.57139017539227,5.581756288917008,3.9426657751710503,2.784388151900131,2.2185656479182634,1.5260759874423795,57.062258590246394
2024-06-17,17.972290172773654,16.486795072248093,6.566946551656988,5.580788002424122,3.9426657751710503,2.7863979744505927,2.2185656479182634,1.5254740796224777,57.07992327626524
2024-06-18,17.972290172773654,16.485722106134354,6.5711337364910865,5.596018887258153,3.942142377066788,2.7644675938820056,2.2185656479182634,1.5254740796224777,57.07581460114679
2024-06-19,17.97221166305802,16.511028404475432,6.579481936254068,5.572465972566353,3.942377906213706,2.7524870374453485,2.2185656479182634,1.5293472255940184,57.07796579352521
2024-06-20,17.97090316779736,16.530053925565362,6.57670792630148,5.5877753671160235,3.9411740905739028,2.768747446350463,2.2185656479182634,1.5324091045039523,57.12633667612681
2024-06-21,17.97090316779736,16.512127540494383,6.5809997907564295,5.598897576831596,3.9412525479497313,2.7754469420850194,2.2185656479182634,1.5306033810442476,57.12879659487703
