date,THE HONGKONG AND SHANGHAI BANKING,BNP PARIBAS,PO KAY SECURITIES & SHARES CO LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIC SECURITIES BROKERAGE (HK) LTD,SHANGHAI COMMERCIAL BANK LTD,BOCI SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,12.552960227805174,11.658946785224055,8.18032674233442,2.386562275092678,1.8663898147113385,0.0,1.4157586976477343,0.7321649726159077,1.0650470922399669,0.5450822353946304,40.4032388430659
2024-03-04,12.565573962021062,11.658531833506949,8.18032674233442,2.384008726064346,1.8651768789228806,0.0,1.4158863750991508,0.7321649726159077,1.057705638783512,0.5453695096603177,40.40474463900855
2024-03-05,12.557429864266275,11.652850186918911,8.18032674233442,2.381876512625689,1.8628786847973817,0.0,1.4244023653505498,0.7496567834599824,1.0580248324120534,0.5389856370894875,40.40643160925475
2024-03-06,12.566550949879302,11.651286138139058,8.18032674233442,2.381972270714251,1.8630063622487985,0.4307274791622699,1.424881155793362,0.7538063006310219,1.0566842191721793,0.5389856370894875,40.84822725516415
2024-03-07,12.567409101949636,11.649083702102121,8.18032674233442,2.3836903942586014,1.8636447495058814,0.4307274791622699,1.409432184171953,0.7578600597134992,1.0579609936863452,0.5410603956750074,40.84119580255974
2024-03-08,12.567504860038198,11.648189959942206,8.180358661697275,2.404329071247741,1.86332555587734,0.4307274791622699,1.3985157620758335,0.7668932394012239,1.0579609936863452,0.5407412020464659,40.8585467851749
2024-03-11,12.550384367142206,11.657433807424768,8.180358661697275,2.392084803656889,1.86332555587734,0.4307274791622699,1.3985476814386877,0.7684892075439315,1.057865235597783,0.5407731214093201,40.83998992095047
2024-03-12,12.548954635041243,11.658614823850371,8.180358661697275,2.392499755373993,1.870060541439566,0.4307274791622699,1.3906635988137124,0.7742346928576785,1.0573226064292622,0.5407731214093201,40.84420991607469
2024-03-13,12.548028973518472,11.652385217560214,8.180358661697275,2.403371458442754,1.8467743767372142,0.4307274791622699,1.3906635988137124,0.7811611945970293,1.0573226064292622,0.5418902991092154,40.83268386606742
2024-03-14,12.538133971033686,11.653917346977213,8.17994370998017,2.4004987157858806,1.850253587288317,0.4307274791622699,1.3900571309194836,0.7857256634851728,1.0573226064292622,0.5418902991092154,40.828470510170675
2024-03-15,12.52708987148615,11.65135103020374,8.17994370998017,2.376611381803534,1.84977664816855,0.4307274791622699,1.4023780049811858,0.7872897122650262,1.0570034128007209,0.5443800094118391,40.806551260263184
2024-03-18,12.48613975481585,11.65850096748307,8.180007548705879,2.3820376734887394,1.8534473748967772,0.4307274791622699,1.4023780049811858,0.7975358277412087,1.0595569618290528,0.5451141547574845,40.79544574786152
2024-03-19,12.406720805066085,11.646378376503417,8.180007548705879,2.40885367285168,1.8582352793249002,0.4307274791622699,1.4009541779623507,0.801206554469436,1.060003832909011,0.5450822353946304,40.73816996234966
2024-03-20,12.4068484825175,11.645452714980648,8.174580363278514,2.4405117757208696,1.856958504810734,0.4307274791622699,1.399358209819643,0.8039197003120387,1.060003832909011,0.5453375902974635,40.763698653808696
2024-03-21,12.407806063403125,11.644654730909293,8.174580363278514,2.4288128823637436,1.8566393111821924,0.4307274791622699,1.4055944872566357,0.8055156684547463,1.060003832909011,0.5453375902974635,40.759672409216996
2024-03-22,12.408699805563042,11.64516544071496,8.174580363278514,2.427089236769619,1.856320117553651,0.4307274791622699,1.405658325982344,0.8071116365974539,1.060003832909011,0.5453375902974635,40.76069382882832
2024-03-25,12.410327693068602,11.657582072865225,8.174580363278514,2.431589866932055,1.8587779084934204,0.4307274791622699,1.4072223747621972,0.8527563254788895,1.0628765755658844,0.5453375902974635,40.831778249904524
2024-03-26,12.414133757895332,11.649187280434584,8.174612282641368,2.4303130924178884,1.8620017641416897,0.4307274791622699,1.4067116649565308,0.854799164701555,1.0628765755658844,0.5453375902974635,40.83070065221456
2024-03-27,12.415474371135206,11.645356956892085,8.174644202004222,2.4273445916724525,1.8562562788279426,0.4307274791622699,1.4076054071164472,0.8663858934176119,1.0628765755658844,0.5471250746172961,40.833796830411416
2024-03-28,12.408228675767315,11.648909581977753,8.174676121367076,2.413098980030645,1.8572138597135672,0.4307274791622699,1.4095524882505504,0.8721313787313589,1.063834156451509,0.5471250746172961,40.825497796069335
2024-04-02,12.408228675767315,11.645238855249525,8.174676121367076,2.4127797864021034,1.8571181016250045,0.4307274791622699,1.4097440044276754,0.8721313787313589,1.063834156451509,0.5471250746172961,40.82160363380113
2024-04-03,12.414419723467143,11.644166364657625,8.17470804072993,2.3868470277287,1.8737161703091632,0.4307274791622699,1.4140528630580829,0.9053275160996757,1.0655897214084873,0.5497743817341906,40.85932928835527
