date,GLORY SUN SECURITIES LTD,CCB INTERNATIONAL SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL
2024-03-01,0.0,0.0,0.0,0.0,0.0,100.0
2024-03-04,0.0,0.0,0.0,0.0,0.0,100.0
2024-03-14,0.0,77.60198715510104,0.0,0.0,8.561774117752366,13.836238727146597
2024-03-19,0.0,55.705312535141125,0.0,28.215714308663593,6.146283474433324,9.932689681761955
2024-03-21,0.0,55.80931228171825,0.0,28.26839199781115,5.628249078589477,10.294046641881126
2024-03-22,0.0,55.97869077407378,0.0,28.354185164258617,5.354750181612721,10.312373880054887
2024-03-25,0.0,55.98140195666914,0.0,28.355558425623972,5.355009525039553,10.308030092667334
2024-04-02,0.0,55.98049819995803,0.0,28.355100657055683,5.354923074439404,10.30947806854689
2024-04-03,0.0,56.08643612719568,0.0,28.21466696858927,5.365056772231747,10.333840131983308
2024-04-09,0.0,55.86505775644021,0.0,28.190298206892106,5.504986225451499,10.439657811216188
2024-04-10,0.0,55.59011189842573,0.0,28.083619224726668,5.564461829491166,10.76180704735644
2024-04-12,0.0,55.57140338787481,0.0,28.07416785525409,5.562589144056796,10.791839612814307
2024-04-16,0.0,55.56249899854188,0.0,28.06966943870275,5.561697832043455,10.806133730711917
2024-04-17,0.0,55.473611799900816,0.0,28.040762130253245,5.552800396742869,10.932825673103073
2024-04-18,0.0,55.38500854509735,0.0,27.995975019565876,5.543931383666885,11.075085051669888
2024-04-22,0.0,55.43370527863926,0.0,28.02059021005851,5.548805831761358,10.996898679540877
2024-04-23,0.0,55.41598747083453,0.0,28.011634225077508,5.547032313740531,11.025345990347429
2024-04-29,0.0,55.40624750339538,0.0,28.00671087321243,5.546057361987697,11.040984261404489
2024-04-30,44.293168542527425,30.876905542100015,0.0,15.607636415443796,3.0907180510044165,6.131571448924348
2024-05-02,44.389216587394365,30.94386093288477,0.0,15.650404690302603,3.0974201550941003,5.919097634324163
2024-05-03,44.37931588244741,30.936959120675194,0.0,15.64691397676784,3.0967292971468336,5.9400817229627245
2024-05-06,44.38327563439095,30.93971947606981,0.0,15.648310075306043,3.09700560334059,5.931689210892609
2024-05-09,44.33303922355017,30.904699517838203,0.0,15.719722289065356,3.093500173792145,5.949038795754124
2024-05-13,44.32711329733198,30.900568536241956,0.0,15.717621059010142,3.0930866705876063,5.961610436828316
2024-05-14,44.22629604213641,30.90270660475728,0.0,15.701337706203713,3.3607528942044613,5.808906752698138
2024-05-16,44.22747852126484,30.903532850878758,0.0,15.701757513101136,3.360842750704075,5.806388364051193
2024-05-17,44.22826687581327,30.9040837061728,0.0,15.702037396837845,3.360902657706636,5.804709363469457
2024-05-20,45.40339255979066,30.47814232648356,0.0,16.124723233727973,2.482204614906037,5.511537265091768
2024-05-21,45.35649980349325,30.334244271599747,0.0,16.08978987487547,2.452221440257378,5.7672446097741545
2024-05-22,45.37474741009628,30.306216683277405,0.0,16.096263040953854,2.4532080060713013,5.76956485960116
