date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,UOB KAY HIAN (HONG KONG) LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,PHILLIP SECURITIES (HONG KONG) LTD,VALUABLE CAPITAL LTD,SINO-RICH SECURITIES & FUTURES LTD
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,57.34030631303698,0.0,42.65969368696302,0.0
2024-03-05,0.0,0.0,0.0,0.0,0.0,0.0,56.93620178041543,0.0,43.06379821958457,0.0
2024-03-06,0.0,0.0,0.0,0.0,0.0,0.0,56.29383536360281,0.0,43.70616463639719,0.0
2024-03-08,0.0,0.0,0.0,0.0,0.0,0.0,55.924695459579176,0.0,44.07530454042082,0.0
2024-03-12,0.0,0.0,0.0,0.0,0.0,0.0,55.74012550756737,0.0,44.25987449243263,0.0
2024-03-13,0.0,77.1149309066397,0.0,0.0,0.0,0.0,12.723289518031683,0.0,10.161779575328616,0.0
2024-03-28,0.0,77.24132119986518,0.0,0.0,0.0,0.0,12.5968992248062,0.0,10.161779575328616,0.0
2024-04-08,0.0,70.1055368614255,0.0,0.0,0.0,0.0,11.433159987763842,0.0,9.2230039767513,9.238299174059346
2024-04-09,0.0,70.07874015748031,0.0,0.0,0.0,0.0,11.42878984787096,0.0,9.257702010549652,9.234767984099076
2024-04-10,0.0,70.08638483296384,0.0,0.0,0.0,0.0,11.421145172387433,0.0,9.257702010549652,9.234767984099076
2024-04-17,0.0,69.86678915939366,0.0,0.0,0.0,0.0,11.61384167815036,0.0,9.271168274383708,9.24820088807227
2024-04-18,0.0,69.9050681365794,0.0,0.0,0.0,0.0,11.57556270096463,0.0,9.271168274383708,9.24820088807227
2024-05-08,0.0,57.17237492955983,0.0,0.0,0.0,18.00137749671279,9.6800450817106,0.0,7.582493269050153,7.563709222966628
2024-05-09,0.0,56.90514770036146,0.0,0.0,0.0,17.917237940919854,10.102206157297768,0.0,7.547052224853545,7.528355976567369
2024-05-14,0.0,56.894510561405696,0.0,0.0,0.0,17.91388871580784,10.119010530251106,0.0,7.545641472988971,7.5269487195463896
2024-05-16,0.0,56.89096573208723,0.0,0.0,0.0,17.91277258566978,10.12461059190031,0.0,7.545171339563862,7.526479750778817
2024-05-17,0.0,56.86604361370716,0.0,0.0,0.0,17.91277258566978,10.149532710280374,0.0,7.545171339563862,7.526479750778817
2024-05-20,40.75775393208879,33.54034984565632,0.0,0.0,0.0,10.565191827135086,6.243569013670439,0.0,4.453917389387035,4.439217992062326
2024-05-22,40.684256945465236,33.529325297662794,0.0,0.0,0.0,10.565191827135086,6.32809054828752,0.0,4.453917389387035,4.439217992062326
2024-05-30,40.68276191526109,33.52809319075442,0.0,0.0,0.0,10.564803586521148,6.331532723330762,0.0,4.453753720648219,4.439054863484364
2024-05-31,35.43286925908145,29.20147223555769,0.0,12.904464714354297,0.0,9.20147223555769,5.514482317170747,0.0,3.879020643302929,3.866218594975196
2024-06-11,35.39209104568268,29.167865477446377,0.0,12.889613503404624,0.0,9.190882644416739,5.623221764010102,0.0,3.8745564400115082,3.861769125027972
2024-06-28,35.39322250639386,29.168797953964194,0.0,12.89002557544757,0.0,9.191176470588236,5.620204603580563,0.0,3.874680306905371,3.8618925831202042
2024-07-05,35.39209104568268,29.167865477446377,0.0,12.889613503404624,0.0,9.190882644416739,5.620024935264218,0.0,3.8777532687573926,3.861769125027972
2024-07-08,35.39828666410945,29.165068405574736,0.0,12.888377445339472,0.0,9.190001278608873,5.619485999232834,0.0,3.8773814090269787,3.861398798107659
2024-07-12,35.39602378060474,29.163203989004664,0.0,12.887553538323852,0.0,9.189413795307805,5.619126765965608,0.0,3.8835261778431245,3.8611519529502014
2024-07-16,35.39715518619146,29.164136167492412,0.0,12.887965478663896,0.0,9.189707527569123,5.61610995684833,0.0,3.883650311650951,3.8612753715838264
2024-07-17,29.979154822815996,24.700181380113158,15.306315817970168,10.91529277998863,0.0,7.783101870651615,4.756490430168657,0.0,3.2892065296840736,3.2702563686077046
2024-07-18,29.979154822815996,24.700181380113158,15.306315817970168,10.91529277998863,0.0,7.680229567665611,4.759197596036709,0.0,3.389371666802025,3.2702563686077046
2024-07-25,29.979154822815996,24.700181380113158,15.306315817970168,10.91529277998863,0.0,7.680229567665611,4.756490430168657,0.0,3.392078832670078,3.2702563686077046
2024-07-29,29.980778081598398,24.701518802284973,15.307144597558004,10.915883802149606,0.0,7.6806454232883015,4.756747976283942,0.0,3.3868478761133822,3.2704334407233935
