date,UBS SECURITIES HONG KONG LTD,REALINK FINANCIAL TRADE LTD,PHILLIP SECURITIES (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-25,0.0,72.24178403755869,0.0,0.0,27.758215962441312,0.0,0.0,0.0
2024-03-28,0.0,54.630161352023265,0.0,0.0,21.139047000281952,24.23079164769478,0.0,0.0
2024-04-16,0.0,41.030758407029126,0.0,24.902804642273765,15.872483422751655,18.193953527945457,0.0,0.0
2024-04-18,0.0,41.09618526657378,0.0,24.87517477528575,15.854872771580434,18.17376718656004,0.0,0.0
2024-04-24,0.0,41.207806126153166,0.0,23.76775671230979,16.840582406620246,18.183854754916794,0.0,0.0
2024-04-29,0.0,36.81443284450405,0.0,19.73618571135858,16.463350894902135,16.245181742500893,10.740848806734343,0.0
2024-04-30,0.0,36.80713201643391,0.0,19.732271743724,16.479917406064967,16.241960090835878,10.738718742941252,0.0
2024-05-02,0.0,36.9139392850763,0.0,19.68347780742279,16.488621861795874,16.201796992720674,10.712164052984361,0.0
2024-05-10,0.0,37.440289026164535,0.0,19.397598323891543,16.63904539642355,15.966484849111055,10.556582404409317,0.0
2024-05-13,0.0,37.47681969424925,0.0,19.41652465283937,16.655280192159196,15.884492948679297,10.566882512072882,0.0
2024-05-14,0.0,37.5864346768414,0.0,19.382483805886082,16.62608032997364,15.856644422588015,10.548356764710867,0.0
2024-05-17,0.0,37.5864346768414,0.0,17.40527565885348,16.62608032997364,17.833852569620614,10.548356764710867,0.0
2024-05-31,0.0,37.625394443285394,0.0,17.40527565885348,16.62608032997364,17.833852569620614,10.509396998266874,0.0
2024-06-07,0.0,37.621730108739754,0.0,17.403580560268686,16.634200110206447,17.832115731960315,10.508373488824798,0.0
2024-07-03,0.0,37.60707990516357,0.0,17.396803466354466,16.6666634215998,17.82517176301173,10.504281443870434,0.0
2024-07-04,0.0,37.53399970190445,0.0,17.362997014575008,16.828601471317242,17.79053288174643,10.483868930456874,0.0
2024-07-15,0.0,38.31580275425456,0.0,17.72465428989203,15.096208074547098,18.161095385618847,10.702239495687465,0.0
2024-07-16,0.0,38.43792547259444,0.0,17.689562920300354,15.066320517457827,18.125139947507435,10.681051142139944,0.0
2024-07-17,0.0,39.86851510662894,0.0,17.275712050326362,14.72350836745778,17.701098665680846,10.43116580990607,0.0
2024-07-23,0.0,39.90337393171518,0.0,17.265697146725188,14.714973001937585,17.690837161190885,10.425118758431157,0.0
2024-07-24,0.0,39.71732723443376,0.0,17.661759895825423,14.642819989843286,17.604092374946184,10.37400050495135,0.0
2024-07-30,0.0,39.726941692733064,0.0,17.661759895825423,14.642819989843286,17.604092374946184,10.364386046652044,0.0
2024-08-06,0.0,38.94071455268786,0.0,17.312219901570085,16.33210511127978,17.25569366587623,10.15926676858604,0.0
2024-08-16,0.0,38.933376249245974,0.0,17.327802256138273,16.329027357198274,17.252441863291835,10.157352274125643,0.0
2024-08-26,0.0,38.933376249245974,0.0,17.327802256138273,16.404406594854123,17.17706262563599,10.157352274125643,0.0
2024-09-03,0.0,38.944881969876214,0.0,17.3245374800683,16.401315798150577,17.173826250809938,10.15543850109496,0.0
2024-09-05,0.0,31.74383295034432,18.490360363916093,14.121168068621968,13.368653402648636,13.998323888762359,8.277661325706623,0.0
2024-09-10,0.0,31.719476449094387,18.476173025984345,14.110333137369272,13.435124156353234,13.98758321375229,8.27131001744648,0.0
2024-09-19,0.0,31.72434475875301,18.479008751591014,14.112498793262407,13.421838167164735,13.989730029970065,8.272579499258766,0.0
2024-10-03,0.0,29.786003345197297,17.34995066648164,13.250232257333778,12.63779629111661,13.134964603362691,7.767129077436548,6.0739237590714374
2024-10-07,0.0,29.773132189682077,17.34245338963581,13.244506554626351,12.675547327973016,13.129288710221287,7.763772738383473,6.071299089477985
2024-10-08,0.0,29.78324623270019,17.33995573702661,13.242599086541501,12.673721801149018,13.127397835760373,7.762654603203773,6.070424703618535
2024-10-16,0.0,29.830748313900134,17.34245338963581,13.244506554626351,12.675547327973016,13.071672586003228,7.763772738383473,6.071299089477985
2024-10-17,0.0,29.822157128352345,17.337458803735505,13.240692167802987,12.70069656552717,13.067907974957452,7.761536790044382,6.069550569580161
2024-10-23,0.0,29.842362363440238,17.332467093864953,13.236879977415969,12.697039847831304,13.064145531685664,7.7593021292302415,6.067803056531627
2024-11-05,0.0,29.825188141113856,17.32249229228224,13.22926217836671,12.68973272574164,13.114176949258766,7.754836665731004,6.064311047505784
2024-11-12,0.0,29.961224876331865,17.288911934389443,13.203616714012533,12.665133161238776,13.08875458231554,7.739803598534809,6.052555133177035
2024-11-15,0.0,29.88826387505173,17.354244756590063,13.307547155486727,12.63429127140936,13.056881097710773,7.720955776972385,6.037816066778962
2024-11-18,0.0,29.524546550934406,17.1430568638663,13.14560447918431,12.480541604564651,14.11491239353157,7.626997647233955,5.9643404606848085
2024-11-19,0.0,29.5559133712142,17.055029810180635,13.15957034356961,12.493800907457906,14.129908048741688,7.63510055455761,5.970676964278353
2024-11-20,0.0,29.50993147444573,17.134570803398514,13.84626068223454,12.474363556415593,13.450263284030367,7.623222173365083,5.961388026110172
2024-11-25,0.0,29.22651911025135,17.04054673546858,13.856059181082841,12.837023163679406,13.445628271795588,7.628616852506284,5.9656066852159535
2024-11-26,0.0,29.24100407235853,17.048992204900564,13.862926385878449,13.069950004255167,13.1761663585151,7.63239767312409,5.968563300968096
