date,CMB WING LUNG BANK LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,UOB KAY HIAN (HONG KONG) LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,HANG SENG SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD
2024-03-01,66.6542407789808,11.456430737168755,6.337380457595783,5.063176486393291,4.7149986671689925,3.200024940200937,0.0,0.0,1.4331226267180581,1.1406253057733828
2024-03-04,64.31706148800141,11.108277192147163,6.119468720474338,4.875694585894965,4.547475027483129,3.0037118381195294,3.5473051057443867,0.0,1.380671951102041,1.1003340910330333
2024-03-05,64.28395912397609,11.109604206632754,6.311861794226299,4.868920051611327,4.541143418665156,2.8599221900640246,3.545457965262264,0.0,1.3793701207025435,1.099761128859547
2024-03-06,64.28502690139841,11.123568354722265,6.317775215680772,4.863251858242458,4.539433585411532,2.848143192365937,3.5443831923027496,0.0,1.3786283313406558,1.0997893685352176
2024-03-07,64.25906201529874,11.18011754152578,6.325337770963614,4.871001143656302,4.524003877511492,2.820252657864755,3.5441469435144666,0.0,1.3767235849856254,1.0993544646792226
2024-03-08,64.26422945732823,11.123870899079623,6.260464909543412,4.85977199306539,4.526776267088848,2.8290701470666835,3.562690602191764,0.0,1.3768342952744612,1.1962914293615954
2024-03-11,62.695997335795475,10.827667615173391,6.13569979203972,4.726379547739926,4.4010361232998765,2.7583277735869496,3.4757506997200505,2.4693755628194918,1.3430460756224107,1.166719474202709
2024-03-12,62.730724231624166,10.762535814081943,6.006464946947606,4.733050711292008,4.399293140505066,2.8201740672601163,3.4952103825041445,2.470780673642361,1.3391079906722634,1.242658041470324
2024-03-13,62.90374921318341,10.950443955990492,6.06856797102678,4.736537170215917,4.444523708926871,2.2265580182688134,3.600802305389301,2.477603112902339,1.3451252150576913,1.2460893290383772
2024-03-14,62.88460868226004,10.853557261955462,6.187684812784547,4.818956596362472,4.583766961899995,2.1384462513935,3.5997066430680977,2.476849220811779,1.343765544119199,1.1126580253449094
2024-03-15,62.81727863987784,10.910897583888108,6.229780600748965,4.807083330681389,4.566479572105663,2.182801097387323,3.5958524662524978,2.474197278365032,1.3421369142346502,1.0734925164585378
2024-03-18,62.84108118288556,10.936989311452038,6.215426194380735,4.808714873986151,4.539832417194722,2.1730502769015145,3.597214996352983,2.4751347940996036,1.3386566715835284,1.0738992811631656
2024-03-19,62.84298270860541,10.971530914480079,6.179307289965395,4.8040464309214785,4.520071366282765,2.19692140089365,3.5980901654844395,2.4752141788272763,1.3386616163702099,1.0731739281692914
2024-03-20,62.531026536381916,10.931545472270274,6.130790678701019,4.780198868772443,4.528252459915734,2.617289995125514,3.5802290394372536,2.4629270736107616,1.3320920257291198,1.1056478500559617
2024-03-21,62.47850481008156,10.963456913749921,6.149322696363259,4.793961789792074,4.523844730349752,2.6171364353835895,3.5772218953022934,2.4608583856517896,1.3309731607966606,1.104719182529107
2024-03-22,62.52976709717787,10.936012556427448,6.14707259682096,4.791350551481411,4.52687604069798,2.585171945931953,3.58299196425306,2.462877467725731,1.3320651960253147,1.1058145834582698
2024-03-25,62.52621828530284,10.942034946166256,6.091986914748825,4.764234632093195,4.540439350746504,2.6573450396598974,3.5828969118070613,2.4628121305634267,1.3277585195656538,1.1042732693463395
2024-03-26,62.588090437907006,11.002188041951879,6.15353981105355,4.660285994295007,4.554811180689052,2.591768963103291,3.5864748516302623,2.4652715352897996,1.3300303711216672,1.0675388129584882
2024-03-27,62.46030436748269,11.102589868813602,6.251748775763721,4.665598088396443,4.533849895297037,2.5596534438652614,3.572578913124575,2.4602619890812765,1.3280451336447134,1.0653695245306807
2024-03-28,62.386457755049165,11.201177130833448,6.274529890548421,4.637509590614261,4.528263245450794,2.5573909352124193,3.568355064825126,2.4573532294229232,1.3250417947528257,1.0639213632906181
2024-04-02,62.38589828186689,11.318138066168387,6.2310255123420335,4.628104863366857,4.50826076488412,2.5136993566691417,3.568344636699157,2.457346048077861,1.3252642158283254,1.0639182540972236
2024-04-03,62.348413816244395,11.30191435643811,6.260036740407418,4.609869985305231,4.504345810945889,2.572876928413072,3.5662006026217883,2.4521002657525437,1.3209624933287292,1.0632790005428279
2024-04-05,62.26382511493307,11.50054773624167,6.216864292683747,4.5788668280643305,4.477964761951339,2.57064027895572,3.5613773747526287,2.4487838403301887,1.3183477909563086,1.062781981130995
2024-04-08,62.30614500396795,11.416725559221213,6.209223901475524,4.570511519255558,4.476435249172239,2.6242755311460852,3.5639057242043846,2.4505223197522406,1.3187187036512236,1.0635364881535807
2024-04-09,62.270884624085944,11.410264590079228,6.205709968884694,4.572660550923643,4.485836141165516,2.6613574479607425,3.561888833740513,2.4491355167667836,1.3181982964935355,1.064064029899398
2024-04-10,62.20961313486056,11.317990497697819,6.271855462631976,4.559187799351038,4.462785833593563,2.7986767599750006,3.5582786994227558,2.4466532079158836,1.3131013264101206,1.0618572781412727
2024-04-11,62.18189454024281,11.29500218579303,6.3819153256016445,4.5715569119698225,4.453370316638657,2.7423710887515798,3.5565858787759503,2.4455926281921805,1.310840441860962,1.0608706821733607
